country,city,origin,origin_clean,latitude,longitude,address
Australia,Brisbane,"Brisbane, Queensland, Australia","Brisbane, Queensland, Australia",-27.4689682,153.0234991,"City of Brisbane, Queensland, Australia"
Australia,Melbourne,"Melbourne, Victoria, Australia","Melbourne, Victoria, Australia",-37.8142454,144.9631732,"Melbourne, City of Melbourne, Victoria, Australia"
Australia,Newcastle,"Newcastle, New South Wales, Australia","Newcastle, New South Wales, Australia",-32.9192953,151.7795348,"Newcastle, Newcastle-Maitland, City of Newcastle, New South Wales, 2300, Australia"
Australia,Sydney,"Sydney, Australia","Sydney, Australia",-33.8698439,151.2082848,"Sydney, Council of the City of Sydney, New South Wales, Australia"
België / Belgique / Belgien,Antwerp,"Antwerp, Belgium","Antwerp, Belgium",51.2211097,4.3997081,"Antwerpen, Vlaanderen, België / Belgique / Belgien"
Brasil,Belo Horizonte,"Belo Horizonte, Minas Gerais, Brazil","Belo Horizonte, Minas Gerais, Brazil",-19.9227318,-43.9450948,"Belo Horizonte, Região Geográfica Imediata de Belo Horizonte, Região Metropolitana de Belo Horizonte, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Região Sudeste, Brasil"
Canada,Ajax,"Ajax, Ontario, Canada","Ajax, Ontario, Canada",43.8505287,-79.0208814,"Ajax, Durham Region, Golden Horseshoe, Ontario, Canada"
Canada,Burlington,"Burlington, Ontario, Canada","Burlington, Ontario, Canada",43.3248924,-79.7966835,"Burlington, Halton Region, Golden Horseshoe, Ontario, Canada"
Canada,Hanna,"Hanna, Alberta, Canada","Hanna, Alberta, Canada",51.6445566,-111.927479,"Hanna, Alberta, T0J 1P0, Canada"
Canada,London,"London, Ontario, Canada","London, Ontario, Canada",42.9832406,-81.243372,"London, Southwestern Ontario, Ontario, Canada"
Canada,Mississauga,"Mississauga, Ontario, Canada","Mississauga, Ontario, Canada",43.5896231,-79.6443879,"Mississauga, Peel Region, Golden Horseshoe, Ontario, Canada"
Canada,Montreal,"Montreal, Quebec","Montreal, Quebec",45.5031824,-73.5698065,"Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, Canada"
Canada,Montreal,"Montreal, Quebec, Canada","Montreal, Quebec, Canada",45.5031824,-73.5698065,"Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, Canada"
Canada,Sherbrooke,"Sherbrooke, Quebec, Canada","Sherbrooke, Quebec, Canada",45.403271,-71.889038,"Sherbrooke, Estrie, Québec, Canada"
Canada,St Catharines,"St. Catharines, Ontario, Canada","St Catharines, Ontario, Canada",43.1579812,-79.2441003,"St. Catharines, Niagara Region, Golden Horseshoe, Ontario, Canada"
Canada,Timmins,"Timmins, Ontario, Canada","Timmins, Ontario, Canada",48.477473,-81.330414,"Timmins, Cochrane District, Northeastern Ontario, Ontario, Canada"
Canada,Vancouver,"Vancouver, British Columbia, Canada","Vancouver, British Columbia, Canada",49.2608724,-123.113952,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada"
Canada,Victoria,"Victoria, British Columbia, Canada","Victoria, British Columbia, Canada",48.4283182,-123.364953,"Victoria, Capital Regional District, British Columbia, Canada"
Canada,Windsor,"Windsor, Ontario, Canada","Windsor, Ontario, Canada",42.2858536,-82.9780695,"Windsor, Southwestern Ontario, Ontario, Canada"
Canada,Winnipeg,"Winnipeg, Manitoba, Canada","Winnipeg, Manitoba, Canada",49.8955367,-97.1384584,"Winnipeg, Manitoba, Canada"
Deutschland,Berlin,"Berlin, Germany","Berlin, Germany",52.510885,13.3989367,"Berlin, Pankow, Deutschland"
Deutschland,Cologne,"Cologne, West Germany","Cologne, West Germany",51.09475995,6.818900536179124,"Beachclub Cologne, 13, Rostocker Straße, Gewerbepark Top West, Horrem, Dormagen, Rhein-Kreis Neuss, Nordrhein-Westfalen, 41540, Deutschland"
Deutschland,Cologne,"Cologne, Germany","Cologne, Germany",50.938361,6.959974,"Köln, Nordrhein-Westfalen, Deutschland"
Deutschland,Hamburg,"Hamburg, West Germany","Hamburg, West Germany",51.2515879,6.9791488,"AOK Rheinland/Hamburg, Johannes-Flintrop-Straße, Kaldenberg, Mettmann, Kreis Mettmann, Nordrhein-Westfalen, 40822, Deutschland"
Italia,Catania,"Catania, Italy","Catania, Italy",37.5023612,15.0873718,"Catania, Sicilia, Italia"
Norge,Bergen,"Bergen, Norway","Bergen, Norway",60.3943055,5.3259192,"Bergen, Vestland, Norge"
Norge,Jessheim,"Jessheim, Norway","Jessheim, Norway",60.1415121,11.1751516,"Jessheim, Ullensaker, Akershus, 2066, Norge"
Norge,Kolbotn,"Kolbotn, Akershus, Norway","Kolbotn, Akershus, Norway",59.810882,10.8008001,"Kolbotn, Kolbotnveien, Rasten, Kullebund, Kolbotn, Nordre Follo, Akershus, 1410, Norge"
Norge,Oslo,"Oslo, Norway","Oslo, Norway",59.9133301,10.7389701,"Oslo, Norge"
Polska,Olsztyn,"Olsztyn, Poland","Olsztyn, Poland",53.77664395,20.477753092192152,"Olsztyn, powiat olsztyński, województwo warmińsko-mazurskie, Polska"
Schweiz/Suisse/Svizzera/Svizra,Zürich,"Zürich, Switzerland","Zürich, Switzerland",47.3744489,8.5410422,"Zürich, Bezirk Zürich, Zürich, Schweiz/Suisse/Svizzera/Svizra"
Suomi / Finland,Espoo,"Espoo, Finland","Espoo, Finland",60.2049651,24.6559808,"Espoo, Helsingin seutukunta, Uusimaa, Manner-Suomi, Suomi / Finland"
Suomi / Finland,Helsinki,"Helsinki, Finland","Helsinki, Finland",60.1674881,24.9427473,"Helsinki, Helsingin seutukunta, Uusimaa, Manner-Suomi, Suomi / Finland"
Suomi / Finland,Kemi,"Kemi, Finland","Kemi, Finland",65.7333404,24.5666495,"Kemi, Kemi-Tornion seutukunta, Lappi, Manner-Suomi, Suomi / Finland"
Sverige,Fagersta,"Fagersta, Sweden","Fagersta, Sweden",59.966667,15.833333,"Fagersta kommun, Västmanlands län, Sverige"
Sverige,Gothenburg,"Gothenburg, Sweden","Gothenburg, Sweden",57.7072326,11.9670171,"Göteborg, Göteborgs Stad, Västra Götalands län, 411 10, Sverige"
Sverige,Lund,"Lund, Sweden","Lund, Sweden",55.7029296,13.1929449,"Lund, Lunds kommun, Skåne län, Sverige"
Sverige,Stockholm,"Stockholm, Sweden","Stockholm, Sweden",59.3251172,18.0710935,"Stockholm, Stockholms kommun, Stockholms län, 111 29, Sverige"
Sverige,Tumba,"Tumba, Sweden","Tumba, Sweden",59.2005555,17.8343123,"Tumba, Botkyrka kommun, Stockholms län, 147 30, Sverige"
Sverige,Umeå,"Umeå, Sweden","Umeå, Sweden",63.8256568,20.2630745,"Umeå, Umeå kommun, Västerbottens län, Sverige"
Sverige,Vällingby,"Vällingby, Sweden","Vällingby, Sweden",59.3659643,17.8716341,"Vällingby, Hässelby-Vällingby stadsdelsområde, Stockholms kommun, Stockholms län, 162 68, Sverige"
Sverige,Örebro,"Örebro, Sweden","Örebro, Sweden",59.2747287,15.2151181,"Örebro, Örebro kommun, Örebro län, 703 61, Sverige"
United Kingdom,Abingdon,"Abingdon, Oxfordshire, England","Abingdon, Oxfordshire, England",51.6714842,-1.2779715,"Abingdon, Vale of White Horse, Oxfordshire, England, OX14 3UJ, United Kingdom"
United Kingdom,Belfast,"Belfast, Northern Ireland","Belfast, Northern Ireland",54.596391,-5.9301829,"Belfast, County Antrim, Northern Ireland / Tuaisceart Éireann, United Kingdom"
United Kingdom,Billingham,"Billingham, UK","Billingham, UK",54.6072779,-1.2910885,"Billingham, Stockton-on-Tees, Tees Valley, England, United Kingdom"
United Kingdom,Birmingham,"Birmingham, England","Birmingham, England",52.4796992,-1.9026911,"Birmingham, West Midlands, England, United Kingdom"
United Kingdom,Birmingham,"Birmingham, England[1]","Birmingham, England",52.4796992,-1.9026911,"Birmingham, West Midlands, England, United Kingdom"
United Kingdom,Blackpool,"Blackpool, Lancashire, England","Blackpool, Lancashire, England",53.84036055,-3.016109110103628,"The Blackpool Sixth Form College, Blackpool Old Road, Little Carleton, Carleton, Blackpool, Lancashire, England, FY3 7LR, United Kingdom"
United Kingdom,Blackwood,"Blackwood, Caerphilly, Wales","Blackwood, Caerphilly, Wales",51.6663189,-3.1974329,"Blackwood, Caerphilly, Cymru / Wales, United Kingdom"
United Kingdom,Bolton,"Bolton, Greater Manchester, England","Bolton, Greater Manchester, England",53.5782863,-2.4300367,"Bolton, Greater Manchester, England, United Kingdom"
United Kingdom,Bradford,"Bradford, West Yorkshire, England","Bradford, West Yorkshire, England",53.7944229,-1.7519186,"Bradford, West Yorkshire, England, United Kingdom"
United Kingdom,Brentwood,"Brentwood, Essex, England","Brentwood, Essex, England",51.6201654,0.3018662,"Brentwood, Essex, England, United Kingdom"
United Kingdom,Bridgend,"Bridgend, Wales","Bridgend, Wales",51.5049859,-3.5756674,"Bridgend, Cymru / Wales, CF31 1DB, United Kingdom"
United Kingdom,Bridport,"Bridport, Dorset, England","Bridport, Dorset, England",50.733785,-2.7589005,"Bridport, Dorset, England, United Kingdom"
United Kingdom,Brighton,"Brighton, England","Brighton, England",50.8214626,-0.1400561,"Brighton, Brighton and Hove, England, BN1 1HH, United Kingdom"
United Kingdom,Brighton,"Brighton, East Sussex, England","Brighton, East Sussex, England",50.8717279,-0.0057692,"Brighton Road, Wallands Park, Lewes, East Sussex, England, BN7 1HA, United Kingdom"
United Kingdom,Bury,"Bury, Greater Manchester, England","Bury, Greater Manchester, England",53.5927543,-2.2972827,"Bury, Greater Manchester, England, United Kingdom"
United Kingdom,Camberley,"Camberley, Surrey, England","Camberley, Surrey, England",51.3392845,-0.7460981,"Camberley, Surrey Heath, Surrey, England, GU15 3SA, United Kingdom"
United Kingdom,Camden,"Camden, London, England","Camden, London, England",51.54279655,-0.1624803135779896,"London Borough of Camden, London, Greater London, England, United Kingdom"
United Kingdom,Canterbury,"Canterbury, England","Canterbury, England",51.2800275,1.0802533,"Canterbury, Kent, England, United Kingdom"
United Kingdom,Cardiff,"Cardiff, Wales","Cardiff, Wales",51.4816546,-3.1791934,"Cardiff, Cymru / Wales, CF10 2AF, United Kingdom"
United Kingdom,Chester,"Chester, England","Chester, England",53.1908873,-2.8908955,"Chester, Cheshire West and Chester, England, CH1 2ET, United Kingdom"
United Kingdom,Chichester,"Chichester, England","Chichester, England",50.8364862,-0.7791721,"Chichester, West Sussex, England, United Kingdom"
United Kingdom,Coventry,"Coventry, England","Coventry, England",52.4081812,-1.510477,"Coventry, West Midlands, England, United Kingdom"
United Kingdom,Crawley,"Crawley, England","Crawley, England",51.1103444,-0.1801094,"Crawley, West Sussex, England, United Kingdom"
United Kingdom,Crosby,"Crosby, Liverpool, England","Crosby, Liverpool, England",53.4844386,-3.0291758,"Crosby, Sefton, Liverpool City Region, England, L23 3DL, United Kingdom"
United Kingdom,Davyhulme,"Davyhulme, England","Davyhulme, England",53.4546079,-2.3677347,"Davyhulme, Urmston, Trafford, Greater Manchester, England, M41 5TH, United Kingdom"
United Kingdom,Downpatrick,"Downpatrick, County Down, Northern Ireland","Downpatrick, County Down, Northern Ireland",54.3279335,-5.71649,"Downpatrick, Newry, Mourne and Down District Council, Northern Ireland / Tuaisceart Éireann, BT30 6BW, United Kingdom"
United Kingdom,Dundee,"Dundee, Scotland","Dundee, Scotland",56.4605938,-2.97019,"Dundee, Dundee City, Alba / Scotland, DD1 1SA, United Kingdom"
United Kingdom,East Kilbride,"East Kilbride, Scotland","East Kilbride, Scotland",55.7601174,-4.1796401,"East Kilbride, South Lanarkshire, Alba / Scotland, G74 1LW, United Kingdom"
United Kingdom,Edinburgh,"Edinburgh, Scotland","Edinburgh, Scotland",55.9533456,-3.1883749,"City of Edinburgh, Alba / Scotland, United Kingdom"
United Kingdom,Fife,"Fife, Scotland","Fife, Scotland",56.3333331,-3.0000001,"Fife, Alba / Scotland, United Kingdom"
United Kingdom,Folkestone,"Folkestone, England","Folkestone, England",51.0791335,1.1794073,"Folkestone, Folkestone and Hythe, Kent, England, United Kingdom"
United Kingdom,Glasgow,"Glasgow, Scotland","Glasgow, Scotland",55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom"
United Kingdom,Godalming,"Godalming, Surrey, England","Godalming, Surrey, England",51.1857892,-0.6149074,"Godalming, Waverley, Surrey, England, United Kingdom"
United Kingdom,Grangemouth,"Grangemouth, Falkirk, Scotland","Grangemouth, Falkirk, Scotland",56.0189027,-3.7230303,"Grangemouth, Falkirk, Alba / Scotland, FK3 8BG, United Kingdom"
United Kingdom,Hemel Hempstead,"Hemel Hempstead, Hertfordshire, England","Hemel Hempstead, Hertfordshire, England",51.7511784,-0.472528,"Hemel Hempstead, Dacorum, Hertfordshire, England, HP1 1EW, United Kingdom"
United Kingdom,Hertfordshire,"Hertfordshire, England","Hertfordshire, England",51.8400523,-0.0978551922452396,"Hertfordshire, England, United Kingdom"
United Kingdom,Hounslow,"Hounslow, London, England","Hounslow, London, England",51.46195515,-0.3623923948849139,"Hounslow, Whitton Road, Inwood Business Park, Worton, London Borough of Hounslow, London, Greater London, England, TW3 2DQ, United Kingdom"
United Kingdom,Kilmarnock,"Kilmarnock, Scotland","Kilmarnock, Scotland",55.6100589,-4.4964652,"Kilmarnock, East Ayrshire, Alba / Scotland, KA1 1HZ, United Kingdom"
United Kingdom,King's Cross,"King's Cross, London, England","King's Cross, London, England",51.5323954,-0.1230224,"London King's Cross, Euston Road, King's Cross, London Borough of Camden, London, Greater London, England, N1C 4AP, United Kingdom"
United Kingdom,Kippax,"Kippax, West Yorkshire, England","Kippax, West Yorkshire, England",53.7701302,-1.3701581,"Kippax, West Yorkshire, England, United Kingdom"
United Kingdom,Larne,"Larne, Northern Ireland","Larne, Northern Ireland",54.8508458,-5.8183116,"Larne, County Antrim, Northern Ireland / Tuaisceart Éireann, BT40 1JS, United Kingdom"
United Kingdom,Leeds,"Leeds, England","Leeds, England",53.7974185,-1.5437941,"Leeds, West Yorkshire, England, United Kingdom"
United Kingdom,Leicester,"Leicester, England","Leicester, England",52.6362,-1.1331969,"Leicester, Leicestershire, England, LE1 5YA, United Kingdom"
United Kingdom,Liverpool,"Liverpool, England","Liverpool, England",53.4071991,-2.99168,"Liverpool, Liverpool City Region, England, United Kingdom"
United Kingdom,London,"London, England","London, England",51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom"
United Kingdom,Manchester,"Manchester, England","Manchester, England",53.4794892,-2.2451148,"Manchester, Greater Manchester, England, United Kingdom"
United Kingdom,Marston Green,"Marston Green, England","Marston Green, England",52.4668809,-1.7550948,"Marston Green, Farlow Croft, Bickenhill and Marston Green, Marston Green, Solihull, West Midlands, England, B37 7AF, United Kingdom"
United Kingdom,Melton,"Melton, Suffolk, England","Melton, Suffolk, England",52.105752,1.3316632,"Melton, East Suffolk, Suffolk, England, United Kingdom"
United Kingdom,Meriden,"Meriden, West Midlands, England","Meriden, West Midlands, England",52.4373156,-1.647117,"Meriden, Solihull, West Midlands, England, United Kingdom"
United Kingdom,Newcastle,"Newcastle, England","Newcastle, England",54.9738474,-1.6131572,"Newcastle upon Tyne, Tyne and Wear, North East, England, United Kingdom"
United Kingdom,Newport,"Newport, Wales","Newport, Wales",51.5882332,-2.9974967,"Newport, Cymru / Wales, United Kingdom"
United Kingdom,Pontypridd,"Pontypridd, Wales","Pontypridd, Wales",51.6001047,-3.3449362,"Pontypridd, Rhondda Cynon Taf, Cymru / Wales, United Kingdom"
United Kingdom,Reading,"Reading, Berkshire, England","Reading, Berkshire, England",51.45200635,-0.9684735493619272,"Reading, Oxfordshire, England, United Kingdom"
United Kingdom,Ripley,"Ripley, Surrey, England","Ripley, Surrey, England",51.3002078,-0.4926788,"Ripley, Guildford, Surrey, England, United Kingdom"
United Kingdom,Rusholme,"Rusholme, Manchester, England","Rusholme, Manchester, England",53.4524593,-2.2188914,"Rusholme, Manchester, Greater Manchester, England, M14 5AU, United Kingdom"
United Kingdom,Salford,"Salford, England","Salford, England",53.4877463,-2.2891921,"Salford, Greater Manchester, England, United Kingdom"
United Kingdom,Solva,"Solva, Pembrokeshire, Wales","Solva, Pembrokeshire, Wales",51.8735554,-5.1979167,"Solva, Pembrokeshire, Cymru / Wales, SA62 6TA, United Kingdom"
United Kingdom,Southampton,"Southampton, England","Southampton, England",50.9025349,-1.404189,"Southampton, England, United Kingdom"
United Kingdom,Southampton,"Southampton, Hampshire, UK","Southampton, Hampshire, UK",50.8995203,-1.3275406,"Southampton, Bursledon Road, Old Netley, Bursledon, Hedge End, Southampton, Hampshire, England, SO19 8NJ, United Kingdom"
United Kingdom,St Albans,"St Albans, Hertfordshire, England","St Albans, Hertfordshire, England",51.753051,-0.3379675,"St Albans, Hertfordshire, England, United Kingdom"
United Kingdom,Suffolk,"Suffolk, England","Suffolk, England",52.241001350000005,1.0465716091328372,"Suffolk, England, United Kingdom"
United Kingdom,Sunderland,"Sunderland, England","Sunderland, England",54.9058512,-1.3828727,"Sunderland, North East, England, United Kingdom"
United Kingdom,Tanworth-in-Arden,"Tanworth-in-Arden, England","Tanworth-in-Arden, England",52.333736,-1.8383326,"Tanworth in Arden CP, Stratford-on-Avon, Warwickshire, England, United Kingdom"
United Kingdom,Teignmouth,"Teignmouth, Devon, England","Teignmouth, Devon, England",50.5463385,-3.4957798,"Teignmouth, Teignbridge, Devon, England, United Kingdom"
United Kingdom,Ventnor,"Ventnor, Isle of Wight, England","Ventnor, Isle of Wight, England",50.594976,-1.2029747,"Ventnor, Isle of Wight, England, United Kingdom"
United Kingdom,Warrington,"Warrington, Cheshire, England","Warrington, Cheshire, England",53.27989905,-2.6006713,"Warrington Road, Acton Bridge, Cheshire West and Chester, England, CW8 4QT, United Kingdom"
United Kingdom,Washington,"Washington, Tyne and Wear, England","Washington, Tyne and Wear, England",54.898614,-1.528827,"Washington, Sunderland, Tyne and Wear, North East, England, NE38 7QZ, United Kingdom"
United Kingdom,Wigan,"Wigan, Greater Manchester, England","Wigan, Greater Manchester, England",53.5457188,-2.6264624,"Wigan, Greater Manchester, England, United Kingdom"
United Kingdom,Wilmslow,"Wilmslow, Cheshire, England","Wilmslow, Cheshire, England",53.3261292,-2.2327511,"Wilmslow, Cheshire East, England, United Kingdom"
United Kingdom,Woking,"Woking, Surrey, England","Woking, Surrey, England",51.3201891,-0.5564726,"Woking, Surrey, England, United Kingdom"
United Kingdom,York,"York, North Yorkshire, England","York, North Yorkshire, England",53.9590555,-1.0815361,"York, York and North Yorkshire, England, YO1 8RS, United Kingdom"
United States,Agoura Hills,"Agoura Hills, California, U.S.","Agoura Hills, California, US",34.1481692,-118.7655456,"Agoura Hills, Los Angeles County, California, 91301, United States"
United States,Akron,"Akron, Ohio, U.S.","Akron, Ohio, US",41.083064,-81.518485,"Akron, Summit County, Ohio, United States"
United States,Albuquerque,"Albuquerque, New Mexico, U.S.","Albuquerque, New Mexico, US",35.0841034,-106.650985,"Albuquerque, Bernalillo County, New Mexico, United States"
United States,Alexandria,"Alexandria, Virginia, U.S.","Alexandria, Virginia, US",38.8051095,-77.0470229,"Alexandria, Virginia, United States"
United States,Amherst,"Amherst, Massachusetts, U.S.","Amherst, Massachusetts, US",42.3731948,-72.5198761,"Amherst, Hampshire County, Massachusetts, United States"
United States,Amityville,"Amityville, New York, U.S.","Amityville, New York, US",40.6789893,-73.4170673,"Village of Amityville, Town of Babylon, Suffolk County, New York, United States"
United States,Ann Arbor,"Ann Arbor, Michigan, U.S.","Ann Arbor, Michigan, US",42.2813722,-83.7484616,"Ann Arbor, Washtenaw County, Michigan, United States"
United States,Athens,"Athens, Georgia, U.S.","Athens, Georgia, US",33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States"
United States,Atlanta,"Atlanta, Georgia, U.S.","Atlanta, Georgia, US",33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States"
United States,Austin,"Austin, Texas, U.S.","Austin, Texas, US",30.2711286,-97.7436995,"Austin, Travis County, Texas, United States"
United States,Bakersfield,"Bakersfield, California, U.S.","Bakersfield, California, US",35.3738712,-119.019463,"Bakersfield, Kern County, California, United States"
United States,Berkeley,"Berkeley, California, U.S.","Berkeley, California, US",37.8708393,-122.272863,"Berkeley, Alameda County, California, United States"
United States,Boca Raton,"Boca Raton, Florida, U.S.","Boca Raton, Florida, US",26.3586885,-80.0830984,"Boca Raton, Palm Beach County, Florida, United States"
United States,Boston,"Boston, Massachusetts, U.S.","Boston, Massachusetts, US",42.3554334,-71.060511,"Boston, Suffolk County, Massachusetts, United States"
United States,Boston,"Boston, Massachusetts, United States","Boston, Massachusetts, United States",42.3554334,-71.060511,"Boston, Suffolk County, Massachusetts, United States"
United States,Bremerton,"Bremerton, Washington, U.S.[1]","Bremerton, Washington, US",47.5653663,-122.6246836,"Bremerton, Kitsap County, Washington, United States"
United States,Bridgeport,"Bridgeport, Connecticut, U.S.","Bridgeport, Connecticut, US",41.1792695,-73.1887863,"Bridgeport, Connecticut, United States"
United States,Brooklyn,"Brooklyn, New York, U.S.","Brooklyn, New York, US",40.6526006,-73.9497211,"Brooklyn, Kings County, City of New York, New York, United States"
United States,Brooklyn,"Brooklyn, New York, United States","Brooklyn, New York, United States",40.6526006,-73.9497211,"Brooklyn, Kings County, City of New York, New York, United States"
United States,Buffalo,"Buffalo, New York, US","Buffalo, New York, US",42.8867166,-78.8783922,"Buffalo, Erie County, New York, United States"
United States,Buffalo,"Buffalo, New York, U.S.","Buffalo, New York, US",42.8867166,-78.8783922,"Buffalo, Erie County, New York, United States"
United States,Buffalo,"Buffalo, New York, United States","Buffalo, New York, United States",42.8867166,-78.8783922,"Buffalo, Erie County, New York, United States"
United States,Burlington,"Burlington, Vermont, U.S.","Burlington, Vermont, US",44.4761601,-73.212906,"Burlington, Chittenden County, Vermont, United States"
United States,Calabasas,"Calabasas, California, U.S.","Calabasas, California, US",34.1446643,-118.644097,"Calabasas, Los Angeles County, California, 91302, United States"
United States,Cambridge,"Cambridge, Massachusetts, United States","Cambridge, Massachusetts, United States",42.3656347,-71.1040018,"Cambridge, Middlesex County, Massachusetts, United States"
United States,Carle Place,"Carle Place, New York, U.S.","Carle Place, New York, US",40.750055,-73.61182581359841,"Carle Place, Town of North Hempstead, Nassau County, New York, 11514, United States"
United States,Charlottesville,"Charlottesville, Virginia, U.S.","Charlottesville, Virginia, US",38.029306,-78.4766781,"Charlottesville, Virginia, United States"
United States,Chicago,"Chicago, Illinois","Chicago, Illinois",41.8755616,-87.6244212,"Chicago, Cook County, Illinois, United States"
United States,Chicago,"Chicago, Illinois, U.S.","Chicago, Illinois, US",41.8755616,-87.6244212,"Chicago, Cook County, Illinois, United States"
United States,Cincinnati,"Cincinnati, Ohio, U.S.","Cincinnati, Ohio, US",39.1014537,-84.5124602,"Cincinnati, Hamilton County, Ohio, United States"
United States,Cleveland,"Cleveland, Ohio, U.S.","Cleveland, Ohio, US",41.4996574,-81.6936772,"Cleveland, Cuyahoga County, Ohio, United States"
United States,Coral Springs,"Coral Springs, Florida, U.S.","Coral Springs, Florida, US",26.271192,-80.2706044,"Coral Springs, Broward County, Florida, United States"
United States,Dallas,"Dallas, Texas, United States","Dallas, Texas, United States",32.7762719,-96.7968559,"Dallas, Dallas County, Texas, United States"
United States,Dallas,"Dallas, Texas, U.S.","Dallas, Texas, US",32.7762719,-96.7968559,"Dallas, Dallas County, Texas, United States"
United States,Dayton,"Dayton, Ohio, U.S.","Dayton, Ohio, US",39.7589478,-84.1916069,"Dayton, Montgomery County, Ohio, United States"
United States,Denver,"Denver, Colorado, U.S.","Denver, Colorado, US",39.7392364,-104.984862,"Denver, Colorado, United States"
United States,Detroit,"Detroit, Michigan, U.S.","Detroit, Michigan, US",42.3315509,-83.0466403,"Detroit, Wayne County, Michigan, United States"
United States,Downey,"Downey, California, U.S.","Downey, California, US",33.9404441,-118.1292846,"Downey, Los Angeles County, California, United States"
United States,East Brunswick,"East Brunswick, New Jersey, U.S.","East Brunswick, New Jersey, US",40.4278841,-74.415984,"East Brunswick Township, Middlesex County, New Jersey, United States"
United States,El Cerrito,"El Cerrito, California, U.S.","El Cerrito, California, US",37.9154056,-122.301411,"El Cerrito, Contra Costa County, California, 94530, United States"
United States,El Paso,"El Paso, Texas","El Paso, Texas",31.7601164,-106.4870404,"El Paso, El Paso County, Texas, United States"
United States,El Sobrante,"El Sobrante, California, U.S.","El Sobrante, California, US",37.9744635,-122.30572940306472,"El Sobrante, Richmond, Contra Costa County, California, 94803, United States"
United States,Eureka,"Eureka, California, U.S.","Eureka, California, US",40.7906871,-124.1673746,"Eureka, Humboldt County, California, United States"
United States,Evanston,"Evanston, Illinois, U.S.","Evanston, Illinois, US",42.0470043,-87.6846053,"Evanston, Evanston Township, Cook County, Illinois, United States"
United States,Flint,"Flint, Michigan, U.S.","Flint, Michigan, US",43.0161693,-83.6900211,"Flint, Genesee County, Michigan, United States"
United States,Forest Hills,"Forest Hills, Queens, New York, U.S.","Forest Hills, Queens, New York, US",40.723100900000006,-73.84661252338407,"Forest Hills, Queens, Queens County, City of New York, New York, United States"
United States,Fort Lauderdale,"Fort Lauderdale, Florida, U.S.","Fort Lauderdale, Florida, US",26.1223084,-80.1433786,"Fort Lauderdale, Broward County, Florida, United States"
United States,Freeport,"Freeport, New York, U.S.","Freeport, New York, US",40.6576071,-73.5835826,"Village of Freeport, Town of Hempstead, Nassau County, New York, 11520, United States"
United States,Fullerton,"Fullerton, California, United States","Fullerton, California, United States",33.8708215,-117.929416,"Fullerton, Orange County, California, United States"
