artist,country,city,latitude,longitude,address,state,state_pop
Nirvana,United States,Aberdeen,46.975371,-123.815722,"Aberdeen, Grays Harbor County, Washington, 98520, United States",Washington,4900780
Close Your Eyes,United States,Abilene,32.44645,-99.7475905,"Abilene, Taylor County, Texas, United States",Texas,17044714
A Loss For Words,United States,Abington,42.1048228,-70.9453218,"Abington, Plymouth County, Massachusetts, 02351, United States",Massachusetts,6018664
Hoobastank,United States,Agoura Hills,34.1481692,-118.7655456,"Agoura Hills, Los Angeles County, California, 91301, United States",California,29950111
Linkin Park,United States,Agoura Hills,34.1481692,-118.7655456,"Agoura Hills, Los Angeles County, California, 91301, United States",California,29950111
Beyond Fear,United States,Akron,41.083064,-81.518485,"Akron, Summit County, Ohio, United States",Ohio,10861837
Blakroc,United States,Akron,41.083064,-81.518485,"Akron, Summit County, Ohio, United States",Ohio,10861837
Dan Auerbach,United States,Akron,41.083064,-81.518485,"Akron, Summit County, Ohio, United States",Ohio,10861837
Devo,United States,Akron,41.083064,-81.518485,"Akron, Summit County, Ohio, United States",Ohio,10861837
If These Trees Could Talk,United States,Akron,41.083064,-81.518485,"Akron, Summit County, Ohio, United States",Ohio,10861837
Joseph Arthur,United States,Akron,41.083064,-81.518485,"Akron, Summit County, Ohio, United States",Ohio,10861837
The Black Keys,United States,Akron,41.083064,-81.518485,"Akron, Summit County, Ohio, United States",Ohio,10861837
Falling Up,United States,Albany,44.6365071,-123.1059324,"Albany, Linn County, Oregon, United States",Oregon,2858547
Limp Wrist,United States,Albany,42.6511674,-73.754968,"City of Albany, Albany County, New York, United States",New York,18002855
One King Down,United States,Albany,42.6511674,-73.754968,"City of Albany, Albany County, New York, United States",New York,18002855
Demi Lovato,United States,Albuquerque,35.0841034,-106.650985,"Albuquerque, Bernalillo County, New Mexico, United States",New Mexico,7757158
Flake Music,United States,Albuquerque,35.0841034,-106.650985,"Albuquerque, Bernalillo County, New Mexico, United States",New Mexico,7757158
The Shins,United States,Albuquerque,35.0841034,-106.650985,"Albuquerque, Bernalillo County, New Mexico, United States",New Mexico,7757158
PlayRadioPlay!,United States,Aledo,32.6979939,-97.60399378280016,"Aledo, Parker County, Texas, United States",Texas,17044714
ABACABB,United States,Alexandria,38.8051095,-77.0470229,"Alexandria, Virginia, United States",Virginia,6213526
Pentagram,United States,Alexandria,38.8051095,-77.0470229,"Alexandria, Virginia, United States",Virginia,6213526
Pig Destroyer,United States,Alexandria,38.8051095,-77.0470229,"Alexandria, Virginia, United States",Virginia,6213526
Probot,United States,Alexandria,38.8051095,-77.0470229,"Alexandria, Virginia, United States",Virginia,6213526
Scream,United States,Alexandria,38.8051095,-77.0470229,"Alexandria, Virginia, United States",Virginia,6213526
Xasthur,United States,Alhambra,34.093042,-118.12706,"Alhambra, Los Angeles County, California, United States",California,29950111
Tobacco,United States,Allegheny County,40.4597204,-79.9760405,"Allegheny County, Pennsylvania, United States",Pennsylvania,11895604
Oktober Skyline,United States,Allentown,40.6022059,-75.4712794,"Allentown, Lehigh County, Pennsylvania, United States",Pennsylvania,11895604
Pissed Jeans,United States,Allentown,40.6022059,-75.4712794,"Allentown, Lehigh County, Pennsylvania, United States",Pennsylvania,11895604
Death,United States,Altamonte Springs,28.6619154,-81.3885899,"Altamonte Springs, Seminole County, Florida, United States",Florida,13018365
By The End Of Tonight,United States,Alvin,29.4238472,-95.2441009,"Alvin, Brazoria County, Texas, 77511, United States",Texas,17044714
The Envy Corps,United States,Ames,42.0267567,-93.6170448,"Ames, Story County, Iowa, United States",Iowa,2779769
Dinosaur Jr.,United States,Amherst,42.3731948,-72.5198761,"Amherst, Hampshire County, Massachusetts, United States",Massachusetts,6018664
Lich King,United States,Amherst,42.3731948,-72.5198761,"Amherst, Hampshire County, Massachusetts, United States",Massachusetts,6018664
Orchid,United States,Amherst,42.3731948,-72.5198761,"Amherst, Hampshire County, Massachusetts, United States",Massachusetts,6018664
Taking Back Sunday,United States,Amityville,40.6789893,-73.4170673,"Village of Amityville, Town of Babylon, Suffolk County, New York, United States",New York,18002855
Mount Eerie,United States,Anacortes,48.516844,-122.6125717,"Anacortes, Skagit County, Washington, 98221, United States",Washington,4900780
Buckcherry,United States,Anaheim,33.8347516,-117.911732,"Anaheim, Orange County, California, United States",California,29950111
Morgion,United States,Anaheim,33.8347516,-117.911732,"Anaheim, Orange County, California, United States",California,29950111
New Years Day,United States,Anaheim,33.8347516,-117.911732,"Anaheim, Orange County, California, United States",California,29950111
No Doubt,United States,Anaheim,33.8347516,-117.911732,"Anaheim, Orange County, California, United States",California,29950111
36 Crazyfists,United States,Anchorage,61.2163129,-149.894852,"Anchorage, Alaska, United States",Alaska,553120
The Ataris,United States,Anderson,40.1053196,-85.6802541,"Anderson, Madison County, Indiana, United States",Indiana,5555097
Boys Like Girls,United States,Andover,42.65717,-71.1408776,"Andover, Essex County, Massachusetts, United States",Massachusetts,6018664
Piebald,United States,Andover,42.65717,-71.1408776,"Andover, Essex County, Massachusetts, United States",Massachusetts,6018664
Andrew W.K.,United States,Ann Arbor,42.2813722,-83.7484616,"Ann Arbor, Washtenaw County, Michigan, United States",Michigan,9310462
Iggy Pop,United States,Ann Arbor,42.2813722,-83.7484616,"Ann Arbor, Washtenaw County, Michigan, United States",Michigan,9310462
Laughing Hyenas,United States,Ann Arbor,42.2813722,-83.7484616,"Ann Arbor, Washtenaw County, Michigan, United States",Michigan,9310462
Supercontinent,United States,Ann Arbor,42.2813722,-83.7484616,"Ann Arbor, Washtenaw County, Michigan, United States",Michigan,9310462
Tally Hall,United States,Ann Arbor,42.2813722,-83.7484616,"Ann Arbor, Washtenaw County, Michigan, United States",Michigan,9310462
Taproot,United States,Ann Arbor,42.2813722,-83.7484616,"Ann Arbor, Washtenaw County, Michigan, United States",Michigan,9310462
The Stooges,United States,Ann Arbor,42.2813722,-83.7484616,"Ann Arbor, Washtenaw County, Michigan, United States",Michigan,9310462
Steely Dan,United States,Annandale-on-Hudson,42.0128695,-73.9081901,"Annandale-on-Hudson, Town of Red Hook, Dutchess County, New York, 12504, United States",New York,18002855
Jimmie's Chicken Shack,United States,Annapolis,38.9786401,-76.492786,"Annapolis, Anne Arundel County, Maryland, United States",Maryland,4797431
Moss Icon,United States,Annapolis,38.9786401,-76.492786,"Annapolis, Anne Arundel County, Maryland, United States",Maryland,4797431
Slick Shoes,United States,Antelope Valley,34.915437,-118.0055620731188,"Antelope Valley, California, United States",California,29950111
Sadus,United States,Antioch,38.0049214,-121.805789,"Antioch, Contra Costa County, California, United States",California,29950111
Jeff Loomis,United States,Appleton,44.2613967,-88.4069744,"Appleton, Outagamie County, Wisconsin, United States",Wisconsin,4902265
David Byrne,United States,Arbutus,39.24034445,-76.69140064069009,"Arbutus, Relay, Baltimore County, Maryland, United States",Maryland,4797431
Ash Borer,United States,Arcata,40.866517,-124.08284,"Arcata, Humboldt County, California, 95521, United States",California,29950111
