year,artist,title,album_length,tracks,subgenre,style
2007,!!!,Myth Takes,60.22,13,indie,Alternative Rock
2007,!!!,Myth Takes,60.22,13,indie,Indie Rock
2010,!!!,"Strange Weather, Isn't It?",40.8,9,indie,Indie Rock
1985,'Til Tuesday,Voices Carry,38.62,10,indie,New Wave
1985,'Til Tuesday,Voices Carry,38.62,10,indie,Pop Rock
2007,*shels,Sea of the Dying Dhow,59.23,11,indie,Post Rock
2007,*shels,Sea of the Dying Dhow,59.23,11,punk,Hardcore
2006,+44,When Your Heart Stops Beating,43.9,12,indie,Pop Rock
2006,+44,When Your Heart Stops Beating,43.9,12,punk,Punk
1999,...And You Will Know Us by the Trail of Dead,Madonna,45.57,13,classic,Art Rock
1999,...And You Will Know Us by the Trail of Dead,Madonna,45.57,13,indie,Indie Rock
2002,...And You Will Know Us by the Trail of Dead,Source Tags and Codes,45.9,11,indie,Alternative Rock
2005,...And You Will Know Us by the Trail of Dead,Worlds Apart,44.95,12,indie,Alternative Rock
2005,...And You Will Know Us by the Trail of Dead,Worlds Apart,44.95,12,indie,Indie Rock
2006,...And You Will Know Us by the Trail of Dead,So Divided,46.37,11,indie,Alternative Rock
2006,...And You Will Know Us by the Trail of Dead,So Divided,46.37,11,indie,Indie Rock
2009,...And You Will Know Us by the Trail of Dead,The Century of Self,53.58,13,indie,Alternative Rock
2006,...Of Sinking Ships,...Of Sinking Ships,35.97,8,indie,Post Rock
2009,009 Sound System,009 Sound System,75.93,11,indie,Pop Rock
2001,10 Years,Into the Half Moon,39.33,9,metal,Nu Metal
2005,10 Years,The Autumn Effect,52.8,13,indie,Alternative Rock
2005,10 Years,The Autumn Effect,52.8,13,metal,Hard Rock
2008,10 Years,Division,53.62,13,indie,Alternative Rock
2010,10 Years,Feeding the Wolves,37.87,10,metal,Hard Rock
1987,"10,000 Maniacs",In My Tribe,46.77,12,roots,Folk Rock
1987,"10,000 Maniacs",In My Tribe,46.77,12,roots,Soft Rock
1992,"10,000 Maniacs",Our Time in Eden,47.92,13,indie,Alternative Rock
1992,"10,000 Maniacs",Our Time in Eden,47.92,13,roots,Folk Rock
1992,"10,000 Maniacs",Our Time in Eden,47.92,13,roots,Soft Rock
2004,100 Demons,100 Demons,25.63,9,metal,Heavy Metal
2004,100 Demons,100 Demons,25.63,9,metal,Metalcore
2004,100 Demons,100 Demons,25.63,9,punk,Hardcore
1994,108,Songs of Separation,32.85,15,punk,Hardcore
2007,108,A New Beat From A Dead Heart,34.65,13,punk,Hardcore
2010,108,18.61,23.55,10,punk,Hardcore
1973,10cc,10cc,35.23,10,classic,Art Rock
1974,10cc,Sheet Music,37.79,10,classic,Art Rock
1975,10cc,The Original Soundtrack,41.78,8,classic,Art Rock
1976,10cc,How Dare You!,42.2,9,classic,Art Rock
1976,10cc,How Dare You!,42.2,9,classic,Prog Rock
1976,10cc,How Dare You!,42.2,9,indie,Pop Rock
1977,10cc,Deceptive Bends,51.21,9,indie,Pop Rock
1996,12 Rods,Gay?,38.07,6,indie,Alternative Rock
1998,12 Rods,Split Personalities,51.08,10,indie,Alternative Rock
2002,12 Stones,12 Stones,41.33,12,indie,Alternative Rock
2004,12 Stones,Potter's Field,42.77,11,indie,Alternative Rock
2007,12 Stones,Anthem For The Underdog,38.83,11,indie,Alternative Rock
2007,12 Stones,Anthem For The Underdog,38.83,11,punk,Grunge
1996,16,Drop Out,44.73,10,metal,Stoner Rock
