year,artist,title,rating,votes,album_length,tracks,avg_song_length,subgenre,style,country,city,state,state_pop
2007,*shels,Sea of the Dying Dhow,4.0,303,59.23,11,5.38,indie,Post Rock,United Kingdom,London,London,8855333
2007,*shels,Sea of the Dying Dhow,4.0,303,59.23,11,5.38,punk,Hardcore,United Kingdom,London,London,8855333
1973,10cc,10cc,3.75,30,35.23,10,3.52,classic,Art Rock,United Kingdom,Stockport,North West (England),7516113
1974,10cc,Sheet Music,3.88,41,37.79,10,3.78,classic,Art Rock,United Kingdom,Stockport,North West (England),7516113
1975,10cc,The Original Soundtrack,3.71,38,41.78,8,5.22,classic,Art Rock,United Kingdom,Stockport,North West (England),7516113
1976,10cc,How Dare You!,3.61,28,42.2,9,4.69,classic,Art Rock,United Kingdom,Stockport,North West (England),7516113
1976,10cc,How Dare You!,3.61,28,42.2,9,4.69,classic,Prog Rock,United Kingdom,Stockport,North West (England),7516113
1976,10cc,How Dare You!,3.61,28,42.2,9,4.69,indie,Pop Rock,United Kingdom,Stockport,North West (England),7516113
1977,10cc,Deceptive Bends,3.28,23,51.21,9,5.69,indie,Pop Rock,United Kingdom,Stockport,North West (England),7516113
2008,5ive,Hesperus,3.52,22,44.78,7,6.4,classic,Psychedelic Rock,United Kingdom,London,London,8855333
2008,5ive,Hesperus,3.52,22,44.78,7,6.4,metal,Stoner Rock,United Kingdom,London,London,8855333
2004,65daysofstatic,The Fall of Math,3.9,602,43.75,11,3.98,indie,Post Rock,United Kingdom,Sheffield,Yorkshire and The Humber,5541262
2005,65daysofstatic,One Time for All Time,3.91,515,37.13,9,4.13,indie,Post Rock,United Kingdom,Sheffield,Yorkshire and The Humber,5541262
2007,65daysofstatic,The Destruction of Small Ideas,3.71,343,62.27,12,5.19,indie,Post Rock,United Kingdom,Sheffield,Yorkshire and The Humber,5541262
2010,65daysofstatic,We Were Exploding Anyway,3.68,455,51.12,9,5.68,indie,Post Rock,United Kingdom,Sheffield,Yorkshire and The Humber,5541262
1976,801,801 Live,4.07,20,46.53,10,4.65,classic,Prog Rock,United Kingdom,London,London,8855333
1976,801,801 Live,4.07,20,46.53,10,4.65,classic,Art Rock,United Kingdom,London,London,8855333
2002,A,Hi-Fi Serious,2.92,56,45.5,12,3.79,punk,Grunge,United Kingdom,Ipswich,East,6398497
1997,A,How Ace Are Buildings,2.28,20,58.87,14,4.2,indie,Alternative Rock,United Kingdom,Ipswich,East,6398497
1997,A,How Ace Are Buildings,2.28,20,58.87,14,4.2,indie,Pop Rock,United Kingdom,Ipswich,East,6398497
1997,A,How Ace Are Buildings,2.28,20,58.87,14,4.2,punk,Punk,United Kingdom,Ipswich,East,6398497
1999,A,'A' Vs Monkey Kong,2.58,20,50.3,14,3.59,indie,Alternative Rock,United Kingdom,Ipswich,East,6398497
1999,A,'A' Vs Monkey Kong,2.58,20,50.3,14,3.59,indie,Pop Rock,United Kingdom,Ipswich,East,6398497
1999,A,'A' Vs Monkey Kong,2.58,20,50.3,14,3.59,punk,Punk,United Kingdom,Ipswich,East,6398497
2002,A,Hi-Fi Serious,2.92,56,45.5,12,3.79,indie,Alternative Rock,United Kingdom,Ipswich,East,6398497
1980,A Certain Ratio,The Graveyard and The Ballroom,3.52,24,45.77,16,2.86,indie,New Wave,United Kingdom,Flixton,North West (England),7516113
1981,A Certain Ratio,To Each...,3.5,36,46.17,9,5.13,indie,New Wave,United Kingdom,Flixton,North West (England),7516113
1982,A Certain Ratio,Sextet,3.54,24,36.87,9,4.1,indie,New Wave,United Kingdom,Flixton,North West (England),7516113
1982,A Flock of Seagulls,A Flock of Seagulls,3.65,112,40.7,11,3.7,indie,New Wave,United Kingdom,Liverpool,North West (England),7516113
1984,A Flock of Seagulls,The Story of a Young Heart,3.0,20,42.5,9,4.72,indie,Pop Rock,United Kingdom,Liverpool,North West (England),7516113
2010,A Forest of Stars,Opportunistic Thieves of Spring,3.61,64,72.17,6,12.03,metal,Black Metal,United Kingdom,Manchester,North West (England),7516113
2010,A Forest of Stars,Opportunistic Thieves of Spring,3.61,64,72.17,6,12.03,indie,Post Rock,United Kingdom,Manchester,North West (England),7516113
2008,A Silent Film,The City That Sleeps,3.8,20,45.47,11,4.13,indie,Pop Rock,United Kingdom,Oxford,South East (England),9379833
2008,A Silent Film,The City That Sleeps,3.8,20,45.47,11,4.13,indie,Indie Rock,United Kingdom,Oxford,South East (England),9379833
1988,A.R. Kane,69,3.2,42,40.46,10,4.05,indie,Shoegaze,United Kingdom,London,London,8855333
2006,Acoustic Ladyland,Skinny Grin,3.8,22,46.8,13,3.6,classic,Art Rock,United Kingdom,London,London,8855333
1997,Acrimony,Tumuli Shroomaroom,3.76,49,65.2,9,7.24,classic,Psychedelic Rock,United Kingdom,Swansea,Wales,3131640
1997,Acrimony,Tumuli Shroomaroom,3.76,49,65.2,9,7.24,metal,Stoner Rock,United Kingdom,Swansea,Wales,3131640
1979,Adam and the Ants,Dirk Wears White Sox,3.92,33,40.65,11,3.7,indie,New Wave,United Kingdom,London,London,8855333
1979,Adam and the Ants,Dirk Wears White Sox,3.92,33,40.65,11,3.7,punk,Post-Punk,United Kingdom,London,London,8855333
1980,Adam and the Ants,Kings of the Wild Frontier,3.81,68,46.45,12,3.87,indie,New Wave,United Kingdom,London,London,8855333
1980,Adam and the Ants,Kings of the Wild Frontier,3.81,68,46.45,12,3.87,punk,Post-Punk,United Kingdom,London,London,8855333
1981,Adam and the Ants,Prince Charming,3.62,34,37.35,10,3.74,indie,New Wave,United Kingdom,London,London,8855333
1981,Adam and the Ants,Prince Charming,3.62,34,37.35,10,3.74,indie,Pop Rock,United Kingdom,London,London,8855333
1993,Adorable,Against Perfection,3.47,46,40.22,10,4.02,indie,Indie Rock,United Kingdom,Coventry,West Midlands (England),6021653
2007,Aereogramme,My Heart Has a Wish That You Would Not Go,3.8,149,47.22,10,4.72,indie,Indie Rock,United Kingdom,Glasgow,Scotland,2683040
