artist_id,master_id,main_release_id,release_country,artist,title,year,album_length,tracks,release_type,genres,styles,artist_profile
80393,23101,1262360,US,...And You Will Know Us by the Trail of Dead,Madonna,1999,0.0,13,"['LP', 'Album']",['Rock'],"['Art Rock', 'Indie Rock']","American alternative rock band from Austin, Texas, founded 1994."
371750,185850,2602287,US,108,Songs of Separation,1994,0.0,15,['Album'],['Rock'],"['Hardcore', 'Religious']","Metallic hardcore band from New York City, USA, that formed in 1992, devoted to Krishna Consciousness.

Current Lineup:
Vic DiCara a.k.a ""Vraja Kishor"" - Guitars, Vocals, etc. 
Robert Fish a.k.a ""Rasaraja"" - Vocals 
Tim Cohen a.k.a ""Trivikrama Dasa"" - Bass, Sounds, etc. 
Michael Justian - Drums, etc. 
"
371750,326966,1117204,US,108,A New Beat From A Dead Heart,2007,0.0,13,"['LP', 'Album']",['Rock'],['Hardcore'],"Metallic hardcore band from New York City, USA, that formed in 1992, devoted to Krishna Consciousness.

Current Lineup:
Vic DiCara a.k.a ""Vraja Kishor"" - Guitars, Vocals, etc. 
Robert Fish a.k.a ""Rasaraja"" - Vocals 
Tim Cohen a.k.a ""Trivikrama Dasa"" - Bass, Sounds, etc. 
Michael Justian - Drums, etc. 
"
39775,23978,5540610,UK,10cc,10cc,1973,0.0,10,"['LP', 'Album', 'Stereo']",['Rock'],['Art Rock'],"Major 70s UK (founded in Stockport, Greater Manchester, England) pop/artrock band. The original line-up of [a=Eric Stewart], [a=Kevin Godley], [a=Lol Creme] and [a=Graham Gouldman] had composed together and been in the band [a=Hotlegs] (Gouldman only briefly) before forming 10cc in 1972 and signing with [a=Jonathan King]'s [l=UK Records] after being turned down by [l=Apple Records]. The band's music is a blend of pop, artrock often drawing on other genres, on the debut album especially the 50s.

The original line-up lasted four years, reaching worldwide success in 1975 with the ballad ""I'm Not In Love."" In 1976 Godley and Creme left to form the more arty [a=Godley & Creme] while Stewart and Gouldman continued as 10cc. The first album by the new 10cc, the 1977 ""Deceptive Bends"" maintained the pop appeal of the group, but after 1978 hit ""Dreadlock Holiday"" from ""Bloody Tourists"" and Stewart's crisis following a car crash the band never returned to the major pop league.

PS: some releases may have 10CC as the artist. This isn't a ANV, as ANV doesn't apply for variations in capitalization [g2.5.7]"
39775,30571,5540194,UK,10cc,Sheet Music,1974,0.0,10,"['LP', 'Album', 'Stereo']",['Rock'],['Art Rock'],"Major 70s UK (founded in Stockport, Greater Manchester, England) pop/artrock band. The original line-up of [a=Eric Stewart], [a=Kevin Godley], [a=Lol Creme] and [a=Graham Gouldman] had composed together and been in the band [a=Hotlegs] (Gouldman only briefly) before forming 10cc in 1972 and signing with [a=Jonathan King]'s [l=UK Records] after being turned down by [l=Apple Records]. The band's music is a blend of pop, artrock often drawing on other genres, on the debut album especially the 50s.

The original line-up lasted four years, reaching worldwide success in 1975 with the ballad ""I'm Not In Love."" In 1976 Godley and Creme left to form the more arty [a=Godley & Creme] while Stewart and Gouldman continued as 10cc. The first album by the new 10cc, the 1977 ""Deceptive Bends"" maintained the pop appeal of the group, but after 1978 hit ""Dreadlock Holiday"" from ""Bloody Tourists"" and Stewart's crisis following a car crash the band never returned to the major pop league.

PS: some releases may have 10CC as the artist. This isn't a ANV, as ANV doesn't apply for variations in capitalization [g2.5.7]"
39775,30521,1615490,UK,10cc,Deceptive Bends,1977,0.0,9,"['LP', 'Album', 'Stereo']",['Rock'],['Pop Rock'],"Major 70s UK (founded in Stockport, Greater Manchester, England) pop/artrock band. The original line-up of [a=Eric Stewart], [a=Kevin Godley], [a=Lol Creme] and [a=Graham Gouldman] had composed together and been in the band [a=Hotlegs] (Gouldman only briefly) before forming 10cc in 1972 and signing with [a=Jonathan King]'s [l=UK Records] after being turned down by [l=Apple Records]. The band's music is a blend of pop, artrock often drawing on other genres, on the debut album especially the 50s.

The original line-up lasted four years, reaching worldwide success in 1975 with the ballad ""I'm Not In Love."" In 1976 Godley and Creme left to form the more arty [a=Godley & Creme] while Stewart and Gouldman continued as 10cc. The first album by the new 10cc, the 1977 ""Deceptive Bends"" maintained the pop appeal of the group, but after 1978 hit ""Dreadlock Holiday"" from ""Bloody Tourists"" and Stewart's crisis following a car crash the band never returned to the major pop league.

PS: some releases may have 10CC as the artist. This isn't a ANV, as ANV doesn't apply for variations in capitalization [g2.5.7]"
317719,107693,1611310,US,16,Bridges to Burn,2009,0.0,12,"['LP', 'Album', 'Limited Edition']",['Rock'],"['Hardcore', 'Downtempo', 'Southern Rock']","American sludge metal band from San Diego, California, USA.
"
21148,702877,3947624,UK,23 Skidoo,Seven Songs,1982,0.0,8,['Album'],"['Electronic', 'Rock']","['Tribal', 'Industrial']","23 Skidoo are a British band playing a fusion of industrial, post-punk, alternative dance, rock, and world music. The group was named after an early 20th century American slang phrase that appeared in the work of Aleister Crowley, William S. Burroughs, Robert Anton Wilson and filmmaker Julian Biggs. Formed in 1979 by Fritz Catlin, Johnny Turnbull and Sam Mills, and later augmented by Alex Turnbull and Tom Heslop, 23 Skidoo had interests in martial arts, Burundi and Kodo drumming, Fela Kuti, The Last Poets, William S. Burroughs, as well as the emerging confluence of industrial, post-punk and funk, heard in artists such as A Certain Ratio, Throbbing Gristle, Cabaret Voltaire, The Pop Group and This Heat.

Their first 7"", ""Ethics"" was released in 1980, followed by the ""Last Words"" 12"", produced by Stephen Mallinder from Cabaret Voltaire. A Peel Session was recorded on September 16, 1981 that included other associates Richard Heslop and Tim Soar. Their debut album, Seven Songs, was released in 1982 and is said to evoke the claustrophobic humidity of an African forest. An experimental EP Tearing Up The Plans was produced without the Turnbull brothers, who were traveling in Indonesia. Guitarist Sam Mills and vocalist Tom Heslop left the band soon after, and with the arrival of slap-bassist Peter ""Sketch"" Martin following the break-up of Linx, the lineup remained the same until their disintegration in 2003.

With the Turnbull brothers back from Indonesia where they were exposed to Gamelan, the band recruited Aswad's horn section for the ""Coup"" 12"", which featured samples from Francis Ford Coppola's Apocalypse Now. It has been alleged that The Chemical Brothers stole the bass line for their ""Block Rockin' Beats"" track. The Culling Is Coming (1983 - noted for featuring the band live at the first WOMAD Festival) and Urban Gamelan (1984) followed, criticized at the time for their shift towards more abstract sounds. After having been evicted from their rehearsal space at Genesis P-Orridge's 'Death Factory' the band shifted their focus towards hip hop and released a few singles and a compilation album Just Like Everybody in 1987.

In 1989 the Turnbull brothers formed the Ronin label, and released material by Deckwrecka, Roots Manuva, and Rodney P amongst others. They signed to Virgin Records in 1991 and were able to build a new studio with their advance. In 2000 they released a self-titled LP, which featured contributions from Pharoah Sanders and Roots Manuva. This was followed by a compilation of singles, The Gospel Comes To New Guinea in 2002, and for the first time on CD, reissues of Seven Songs and Urban Gamelan. In 2003 the Turnbull brothers liquidated the company. In 2008 LTM reissued the whole back catalog of 23 Skidoo.

For company credits, please use profile [l426106]."
513958,0,4834521,US,3,Summercamp Nightmare,2003,0.0,12,['Album'],['Rock'],"['Prog Rock', 'Heavy Metal']","American progressive rock/metal band from Woodstock, New York."
513958,429178,9441550,US,3,Wake Pig,2004,0.0,11,['Album'],['Rock'],"['Alternative Rock', 'Hard Rock', 'Heavy Metal']","American progressive rock/metal band from Woodstock, New York."
