master_id,artist,title,album_length
2776643,Slaughterhouse,Slaughterhouse,0.0
1730585,Kaddish,Kaddish,0.0
1524497,The Dismemberment Plan,!,40.5
1341154,Tool,72826,0.0
1273083,Nuclear Death,All Creatures Great and Eaten,0.0
854821,Skrewdriver,All Skrewed Up,28.06
797196,The Arrogant Sons of Bitches,Built to Fail,28.43
695662,Harry Pussy,Harry Pussy,21.08
614308,The Breathing Process,Odyssey: (Un)dead,55.75
561596,Peter Criss,One For All,0.0
538732,Diskreet,Engage the Mechanicality,0.0
533919,Savage Grace,Master Of Disguise,36.34
513572,Blue Cheer,What Doesn't Kill You...,54.88
506945,Dispatch,Who Are We Living For?,0.0
438030,Still Life,From Angry Heads With Skyward Eyes,62.83
415954,Annotations Of An Autopsy,II: The Reign of Darkness,45.77
389378,McFly,Wonderland,43.43
372571,Pendragon,Pure,63.45
347268,Lifetime,Background,0.0
334380,Sweep the Leg Johnny,Going Down Swingin',50.52
323986,Grim Reaper,Fear No Evil,35.66
320885,Nerves,Nerves,27.68
307511,Aus-Rotten,...And Now Back To Our Programming,44.53
305654,Arena,The Visitor,61.62
299004,Candiria,What Doesn't Kill You...,38.48
289806,Savage,Loose 'N Lethal,48.18
287552,Weekend,Sports,45.8
285724,PIG,Praise The Lard,51.93
274025,DOOM,War Crimes (Inhuman Beings),0.0
273429,Blitzkrieg,A Time Of Changes,45.9
269314,Iron Maiden,Visions Of The Beast,0.0
268419,Tank,Honour And Blood,47.23
248163,I Hate Myself,10 Songs,34.82
247020,Omen,The Curse,0.0
241990,Druid,Toward the Sun,47.45
239433,Rich Kids on LSD,Keep Laughing,0.0
232642,Sebadoh,Weed Forestin,113.53
229984,Gasp,Drome Triler of Puzzle Zoo People,0.0
227567,The Gates Of Slumber,Hymns of Blood and Thunder,53.51
214447,Miasma and The Carousel of Headless Horses,Perils,0.0
208510,Slaughter,Strappado,0.0
196603,Wishbone Ash,New England,37.59
184242,Treepeople,Guilt Regret Embarrassment,67.56
181664,Comus,To Keep From Crying,40.27
175620,Nucleus (UK),We'll Talk About It Later,45.5
164327,She and Him,Volume One,36.45
153697,Karp,Suplex,50.04
153488,The Mekons,Fear And Whiskey,35.2
152531,Combatwoundedveteran,I Know A Girl Who Develops Crime Scene Photos,18.4
149537,Saetia,Saetia,0.0
143639,Boys Life,Departures and Landfalls,0.0
139624,Gary Numan,Pure,55.25
138979,Bastro,Diablo Guapo,28.25
133334,Tygers Of Pan Tang,Wild Cat,0.0
126438,Atreyu,The Curse,43.37
125523,Guided by Voices,Tonics and Twisted Chasers,36.35
124822,Jewel,Spirit,54.18
119239,Julia,Julia,48.73
115328,Huey Lewis and the News,Sports,37.23
113832,Clikatat Ikatowi,Orchestrated and Conducted By,0.0
113624,Jaguar,Power Games,47.81
111770,Budgie,Nightflight,32.38
106047,Sadus,Illusions,28.83
101983,Spirit,Spirit,49.28
100828,The Atomic Bitchwax,The Atomic Bitchwax II,44.72
99905,John Denver,Spirit,40.75
88608,Free,Fire and Water,35.5
82562,Jan Dukes de Grey,Mice and Rats in the Loft,40.08
81384,Dave Matthews Band,Stand Up,56.38
81306,Badly Drawn Boy,Have You Fed The Fish?,71.17
74686,Catapilla,Changes,37.72
64980,Pere Ubu,Cloudland,49.03
64783,The Mighty Mighty Bosstones,Devils Night Out,25.57
64347,Rapeman,Two Nuns and a Pack Mule,43.92
60320,Born Against,Nine Patriotic Hymns For Children,21.47
57450,Jimi Hendrix,Crash Landing,29.73
54723,The Comsat Angels,Fiction,40.53
54716,The Comsat Angels,Sleep No More,38.02
54291,Skullflower,Xaman,67.98
53399,The Cramps,Flamejob,44.85
53277,The Exploited,Punks Not Dead,50.38
53133,The Creatures,Boomerang,51.8
52516,Cows,Daddy Has A Tail!,0.0
50432,Amebix,Arise!,60.98
50041,Roger Waters,The Pros and Cons of Hitch Hiking,42.22
48955,Wings,Venus and Mars,43.36
48878,Wings,Band on the Run,0.0
45430,My Dad Is Dead,"The Taller You Are, the Shorter You Get",72.1
44778,New Model Army,Vengeance,31.59
44762,Verbal Abuse,Just An American Band,44.43
42785,Sleep,Volume One,45.8
42628,Flipper,Gone Fishin',37.32
39034,The Fall,Shift-Work,51.78
38289,Jethro Tull,Stand Up,0.0
35691,Therapy?,Babyteeth,27.58
35452,Billy Bragg,Brewing Up With Billy Bragg,0.0
31333,Uriah Heep,...Very 'Eavy Very 'Umble...,39.02
30962,A Certain Ratio,The Graveyard and The Ballroom,0.0
28057,Hawkwind,"Quark, Strangeness and Charm",36.87
24497,The Jimi Hendrix Experience,Are You Experienced,60.14
23387,Kaleidoscope,Tangerine Dream,51.4
21939,Current 93,Christ and the Pale Queens Mighty in Sorrow,71.52
16963,Dag Nasty,Field Day,43.87
16739,Rich Kids on LSD,Riches to Rags,42.1
15538,Gentle Giant,The Power and the Glory,37.8
13357,Extreme Noise Terror,Retro-bution,30.98
13226,Godflesh,Pure,79.41
9788,The Nation of Ulysses,13-Point Program To Destroy America,39.18
7527,Queen,Live Magic,0.0
6579,Tar,Jackson,39.53
6523,Morbid Angel,Heretic,65.57
4407,Khan,Space Shanty,46.77
2614,Belle and Sebastian,"Fold Your Hands Child, You Walk Like A Peasant",40.67
0,Park,Scene 14,64.05
0,Ride,Ride,47.33
0,The Mountain Goats,Hot Garden Stomp,0.0
0,The Mountain Goats,Taboo VI: The Homecoming,0.0
0,The Mountain Goats,The Hound Chronicles,0.0
0,Cheap Trick,Cheap Trick At Budokan,41.63
0,Valium Aggelein,Hier Kommt der Schwartze Mond,0.0
0,Jon Anderson,Olias Of Sunhillow,43.82
0,Converge,Halo In A Haystack,7.1
0,Nonpoint,Vengeance,43.8
0,For the Fallen Dreams,Relentless,43.17
1406351,For the Fallen Dreams,Changes,34.28
378946,Good Luck,Into Lake Griffy,0.0
425243,Spitfire,The Dead Next Door,0.0
1564671,Quiet Riot,Guilty Pleasures,50.71
18344,Tragedy,Nerve Damage,32.75
18400,Tragedy,Vengeance,38.78
22721,Shipping News,"Very Soon, and in Pleasant Company",44.0
1604005,Valencia,Dancing With A Ghost,0.0
428460,Ash Borer,2009 Demo,24.78
316917,Disembodied,Heretic,35.73
429178,3,Wake Pig,57.43
0,Glocca Morra,"The Working Bones, A Health Decline",0.0
2171332,Karate High School,Arcade Rock,0.0
0,Stray from the Path,Our Oceania,0.0
0,Stray from the Path,People Over Profit,0.0
0,In Pieces,Lions Write History,0.0
2341150,Burden of a Day,Blessed Be Our Ever After,0.0
2237140,Turbid North,Orogeny,0.0
2201131,Blood Has Been Shed,Novella Of Uriel,0.0
407870,Loma Prieta,Dark Mountain,0.0
0,A Thorn For Every Heart,Things Aren't So Beautiful Now,0.0
404721,Latterman,...We Are Still Alive,0.0
0,Stray from the Path,Audio Prozac,0.0
295557,Rx Bandits,Mandala,52.77
1907658,Age Sixteen,"Open Up Finders, Please",0.0
286740,This Bike Is A Pipe Bomb,Dance Party With...,0.0
3384481,Forgive Durden,Wonderland,0.0
0,My Hero Is Me,The Crywolf Broadcast,0.0
3419971,Folly,Resist Convenience,0.0
200852,Akimbo,Forging Steel and Laying Stone,38.85
286891,Punch,Push Pull,0.0
2567321,In First Person,Lost Between Hands Held Tight,0.0
2533003,Math the Band,Banned the Math,1.43
286837,Candy Claws,Hidden Lands,45.28
0,Canvas Solaris,The Atomized Dream,0.0
0,Attila,Fallacy,34.38
0,Rosaline,The Vitality Theory,0.0
0,Your Best Friend,Your Best Friend,35.61
182452,Jim O'Rourke,The Visitor,38.06
421244,Verse,From Anger and Rage,0.0
310130,Aftershock,Through The Looking Glass,0.0
419778,Coke Bust,Lines In The Sand,0.0
184809,Yaphet Kotto,The Killer Was in the Government Blankets,33.04
