,artist,title,album_length
0,16,Bridges to Burn,46.57
1,3,Summercamp Nightmare,60.6
2,3,Wake Pig,
3,3,The End is Begun,53.53
4,A Certain Ratio,The Graveyard and The Ballroom,
5,A Day In Black And White,Notes,55.13
6,A Thorn For Every Heart,Things Aren't So Beautiful Now,
7,AFI,Answer That and Stay Fashionable,28.35
8,AFI,Shut Your Mouth and Open Your Eyes,28.43
9,Addaura,Addaura,
10,Aftershock,Through The Looking Glass,
11,Age Sixteen,"Open Up Finders, Please",
12,Akimbo,Forging Steel and Laying Stone,
13,Akron/Family,"Set 'Em Wild, Set 'Em Free",
14,Amebix,Arise!,
15,Angelcorpse,Of Lucifer and Lightning,36.43
16,Ankla,Steep Trails,
17,Annotations Of An Autopsy,II: The Reign of Darkness,
18,Annuals,Such Fun,4.55
19,Articles of Faith,Give Thanks,38.52
20,As I Lay Dying,Beneath the Encasing of Ashes,29.95
21,Asesino,Cristo Satánico,49.08
22,Ash Borer,2009 Demo,
23,Atomic Rooster,Atomic Roooster,40.23
24,Attila,Fallacy,
25,Aus-Rotten,...And Now Back To Our Programming,
26,Aus-Rotten,The Rotten Agenda,36.48
27,Automatic Loveletter,Truth or Dare,
28,Autopilot Off,Looking Up,
29,Badly Drawn Boy,Have You Fed The Fish?,
30,Barcelona,Absolutes,
31,Bastro,Diablo Guapo,
32,Beat Happening,Black Candy,30.05
33,Beck,Golden Feelings,42.58
34,Belle and Sebastian,"Fold Your Hands Child, You Walk Like A Peasant",
35,Berlin,Pleasure Victim,29.12
36,Big Black,Pigpile,46.03
37,Bill Fay,Time of the Last Persecution,39.27
38,Billy Bragg,Brewing Up With Billy Bragg,
39,Bleed The Dream,Built By Blood,
40,Blitzkrieg,A Time Of Changes,
41,Blood Has Been Shed,Novella Of Uriel,
42,Blue Cheer,What Doesn't Kill You...,
43,Bolt Thrower,...For Victory,39.58
44,Bone Awl,Meaningless Leaning Mess,
45,Born Against,Nine Patriotic Hymns For Children,
46,Bowling for Soup,Rock On Honorable Ones!!,
47,Boys Life,Departures and Landfalls,
48,Brazil,A Hostage and the Meaning of Life,
49,Broadway Calls,"Good Views, Bad News",34.15
50,Brother Von Doom,Relentless,
51,Buckethead,The Elephant Man's Alarm Clock,
52,Budgie,Never Turn Your Back on a Friend,41.48
53,Budgie,In for the Kill!,40.77
54,Budgie,Bandolier,34.33
55,Budgie,Power Supply,37.3
56,Budgie,Nightflight,
57,Budgie,You're All Living in Cuckooland,53.27
58,Burden of a Day,Blessed Be Our Ever After,
59,Butthole Surfers,Psychic... Powerless... Another Man's Sac,35.07
60,Butthole Surfers,Rembrandt Pussyhorse,32.8
61,Candy Claws,Hidden Lands,
62,Canvas Solaris,The Atomized Dream,
63,Cardiacs,A Little Man and a House and the Whole World Window,44.78
64,Cardiacs,On Land and in the Sea,47.32
65,Carmen,Fandangos in Space,46.75
66,Cat Stevens,Teaser and the Firecat,32.65
67,Cat Stevens,Teaser and the Firecat,32.65
68,Cat Stevens,Catch Bull at Four,39.67
69,Catapilla,Changes,
70,Century,Black Ocean,33.0
71,Charles Bronson,Youth Attack!,
72,Chasing Victory,I Call This Abandonment,
73,Cheap Trick,Cheap Trick At Budokan,
74,Cheap Trick,Special One,46.57
75,Cire,Adrenological,
76,City of Ships,Look What God Did To Us,
77,Clikatat Ikatowi,Orchestrated and Conducted By,
78,Coke Bust,Lines In The Sand,
