artist,title,album_length,tracks
...And You Will Know Us by the Trail of Dead,Madonna,45.57,13.0
108,Songs of Separation,32.85,14.0
10cc,10cc,35.23,10.0
10cc,Sheet Music,37.79,10.0
10cc,Deceptive Bends,51.21,12.0
23 Skidoo,Seven Songs,71.22,14.0
2:54,2:54,41.95,10.0
7 Seconds,The Crew,30.01,24.0
7 Seconds,New Wind,38.97,14.0
A Certain Ratio,The Graveyard and The Ballroom,45.75,14.0
A Global Threat,Until We Die,27.51,14.0
A Loss For Words,The Kids Can't Lose,34.56,11.0
A Place to Bury Strangers,Transfixiation,39.33,11.0
A Wake in Providence,Eternity,42.93,9.0
A.A. Bondy,Believers,40.91,10.0
A.R. Kane,69,40.46,10.0
A.R. Kane,"""i""",67.82,26.0
AFI,Answer That and Stay Fashionable,41.46,15.0
AFI,Bodies,36.15,11.0
Aaron West and The Roaring Twenties,In Lieu of Flowers,43.44,11.0
Abe Vigoda,Skeleton,32.28,14.0
Abriction,Banshee,80.87,13.0
Abyssal,Denouement,50.37,6.0
Acres,Lonely World,41.71,10.0
Adam Green,Friends of Mine,33.03,15.0
Adam and the Ants,Dirk Wears White Sox,70.54,19.0
Adam and the Ants,Kings of the Wild Frontier,137.33,39.0
Adam and the Ants,Prince Charming,57.65,16.0
Adolescents,Brats in Battalions,35.38,13.0
Adrenalin O.D.,The Wacky Hi-Jinks Of Adrenalin O.D.,24.54,15.0
Adrianne Lenker,Bright Future,43.62,12.0
Adult Jazz,Gist Is,51.4,9.0
Against All Authority,All Fall Down,29.07,15.0
Against All Authority,24 Hour Roadside Resistance,34.17,14.0
Against Me!,Shape Shift With Me,38.53,12.0
Agent Orange,Living in Darkness,34.97,15.0
Agent Orange,This Is the Voice,34.65,10.0
Agnostic Front,Victim in Pain,15.46,11.0
Agnostic Front,Something's Gotta Give,32.85,15.0
Aimee Mann,Lost in Space,39.0,10.0
Akasha,Canticles of the Sepulchral Deity,,
Akercocke,Renaissance in Extremis,54.35,9.0
Alabama Shakes,Boys and Girls,70.02,22.0
Alabama Shakes,Sound and Color,47.43,12.0
Alex G,Rules,34.24,13.0
Alex G,Trick,37.74,16.0
Alex G,DSU,37.83,15.0
Alex G,Beach Music,37.19,13.0
Alex G,Rocket,41.84,14.0
Alex G,God Save The Animals,44.09,13.0
Alice Cooper,Brutally Live,77.58,20.0
Alkaline Trio,This Addiction,36.62,11.0
All Saints,All Saints,58.71,13.0
All Them Witches,ATW,51.9,8.0
Allah-Las,Allah-Las,40.01,12.0
Alter Bridge,Blackbird,63.01,14.0
Amebix,No Sanctuary,50.42,13.0
Amebix,Arise!,,
Amebix,Monolith,136.85,27.0
American Football,American Football,42.12,9.0
American Music Club,Everclear,36.91,11.0
Amplifier,Trippin' with Dr. Faustus,,
Amusement Parks On Fire,Out Of The Angeles,101.0,17.0
Anacrusis,Suffering Hour,75.18,14.0
Anal Cunt,Morbid Florist,17.66,15.0
Anathema,Serenades,76.4,12.0
Anathema,Eternity,70.65,14.0
And So I Watch You From Afar,Heirs,43.39,10.0
Andrew Bird,Weather Systems,38.81,10.0
Andrew Bird,Armchair Apocrypha,48.57,12.0
Andrew Bird,Break It Yourself,60.33,14.0
Andrew McMahon in the Wilderness,Zombies on Broadway,38.31,11.0
Angel Witch,Angel of Light,47.68,8.0
Angels and Airwaves,I-Empire,56.8,13.0
Ani DiFranco,Ani DiFranco,46.97,13.0
Animal Collective,Merriweather Post Pavilion,54.82,11.0
Animal Collective,Isn't It Now?,,
Anna Burch,Quit The Curse,32.98,9.0
Anna Calvi,One Breath,60.98,16.0
Anna Calvi,Hunter,43.76,10.0
Annotations Of An Autopsy,II: The Reign of Darkness,,
Anti-Flag,American Spring,42.47,1.0
Anti-Flag,Lies They Tell Our Children,33.12,11.0
Antioch Arrow,Gems of Masochism,24.83,8.0
Anywhere,Anywhere,47.64,10.0
Arab Strap,Elephant Shoe,56.86,11.0
Arcane Roots,Left Fire,33.01,9.0
Architects,The Here and Now,39.26,10.0
Archive,Axiom,39.62,7.0
Arena,Immortal?,55.31,7.0
Armored Saint,Symbol Of Salvation,84.93,19.0
Art Bears,Winter Songs,32.98,14.0
Art Brut,It's a Bit Complicated,34.0,11.0
Art Brut,Brilliant! Tragic!,40.21,10.0
Articles of Faith,Give Thanks,,
Arzachel,Arzachel,44.25,6.0
As It Is,The Great Depression,46.38,12.0
As Living Arrows,Hope and Ruin,41.26,8.0
Asia,Alpha,42.11,10.0
Asobi Seksu,Asobi Seksu,44.71,12.0
