artist,title,album_length
16,Bridges to Burn,46:34
3,Summercamp Nightmare,60:36
3,Wake Pig,46:5657:31 (re-release)
3,The End is Begun,53:32
A Certain Ratio,The Graveyard and The Ballroom,
A Day In Black And White,Notes,
A Thorn For Every Heart,Things Aren't So Beautiful Now,
AFI,Answer That and Stay Fashionable,28:21
AFI,Shut Your Mouth and Open Your Eyes,28:26
Addaura,Addaura,
Aftershock,Through The Looking Glass,
Age Sixteen,"Open Up Finders, Please",
Akimbo,Forging Steel and Laying Stone,
Akron/Family,"Set 'Em Wild, Set 'Em Free",
Amebix,Arise!,
Angelcorpse,Of Lucifer and Lightning,36:26
Ankla,Steep Trails,
Annotations Of An Autopsy,II: The Reign of Darkness,
Annuals,Such Fun,4:33
Articles of Faith,Give Thanks,38:31
As I Lay Dying,Beneath the Encasing of Ashes,29:57
Asesino,Cristo Satánico,49:05
Ash Borer,2009 Demo,
Atomic Rooster,Atomic Roooster,40:14
Attila,Fallacy,
Aus-Rotten,...And Now Back To Our Programming,
Aus-Rotten,The Rotten Agenda,36:29
Automatic Loveletter,Truth or Dare,
Autopilot Off,Looking Up,
Badly Drawn Boy,Have You Fed The Fish?,
Barcelona,Absolutes,
Bastro,Diablo Guapo,
Beat Happening,Black Candy,30:03
Beck,Golden Feelings,42:35
Belle and Sebastian,"Fold Your Hands Child, You Walk Like A Peasant",
Berlin,Pleasure Victim,29:07
Big Black,Pigpile,46:02
Bill Fay,Time of the Last Persecution,39:16
Billy Bragg,Brewing Up With Billy Bragg,
Bleed The Dream,Built By Blood,
Blitzkrieg,A Time Of Changes,
Blood Has Been Shed,Novella Of Uriel,
Blue Cheer,What Doesn't Kill You...,
Bolt Thrower,...For Victory,39:35
Bone Awl,Meaningless Leaning Mess,
Born Against,Nine Patriotic Hymns For Children,
Bowling for Soup,Rock On Honorable Ones!!,
Boys Life,Departures and Landfalls,
Brazil,A Hostage and the Meaning of Life,
Broadway Calls,"Good Views, Bad News",34:09
Brother Von Doom,Relentless,
Buckethead,The Elephant Man's Alarm Clock,
Budgie,Never Turn Your Back on a Friend,41:29
Budgie,In for the Kill!,40:46
Budgie,Bandolier,
Budgie,Power Supply,
Budgie,Nightflight,
Budgie,You're All Living in Cuckooland,53:16
Burden of a Day,Blessed Be Our Ever After,
Butthole Surfers,Psychic... Powerless... Another Man's Sac,35:04
Butthole Surfers,Rembrandt Pussyhorse,32:48
Candy Claws,Hidden Lands,
Canvas Solaris,The Atomized Dream,
Cardiacs,A Little Man and a House and the Whole World Window,44:47
Cardiacs,On Land and in the Sea,47:19
Carmen,Fandangos in Space,46:45
Cat Stevens,Teaser and the Firecat,32:39
Cat Stevens,Teaser and the Firecat,32:39
Cat Stevens,Catch Bull at Four,39:40
Catapilla,Changes,
Century,Black Ocean,33:00
Charles Bronson,Youth Attack!,
Chasing Victory,I Call This Abandonment,
Cheap Trick,Cheap Trick At Budokan,
Cheap Trick,Special One,46:34
Cire,Adrenological,
City of Ships,Look What God Did To Us,
Clikatat Ikatowi,Orchestrated and Conducted By,
Coke Bust,Lines In The Sand,
Combatwoundedveteran,I Know A Girl Who Develops Crime Scene Photos,
Comets on Fire,Field Recordings from the Sun,36:44
Comus,To Keep From Crying,
Consider the Thief,Signs and Wonders,
Converge,Halo In A Haystack,
