artist,title,album_length
A Certain Ratio,The Graveyard and The Ballroom,
A Day In Black And White,Notes,55:08
A Thorn For Every Heart,Things Aren't So Beautiful Now,
Addaura,Addaura,
Aftershock,Through The Looking Glass,
Age Sixteen,"Open Up Finders, Please",
Akimbo,Forging Steel and Laying Stone,
Akron/Family,"Set 'Em Wild, Set 'Em Free",
Amebix,Arise!,
Ankla,Steep Trails,
Annotations Of An Autopsy,II: The Reign of Darkness,
Ash Borer,2009 Demo,
Attila,Fallacy,
Aus-Rotten,...And Now Back To Our Programming,
Automatic Loveletter,Truth or Dare,
Autopilot Off,Looking Up,
Badly Drawn Boy,Have You Fed The Fish?,
Barcelona,Absolutes,
Bastro,Diablo Guapo,
Belle and Sebastian,"Fold Your Hands Child, You Walk Like A Peasant",
Billy Bragg,Brewing Up With Billy Bragg,
Bleed The Dream,Built By Blood,
Blitzkrieg,A Time Of Changes,
Blood Has Been Shed,Novella Of Uriel,
Blue Cheer,What Doesn't Kill You...,
Bone Awl,Meaningless Leaning Mess,
Born Against,Nine Patriotic Hymns For Children,
Bowling for Soup,Rock On Honorable Ones!!,
Boys Life,Departures and Landfalls,
Brazil,A Hostage and the Meaning of Life,
Brother Von Doom,Relentless,
Buckethead,The Elephant Man's Alarm Clock,
Budgie,Bandolier,34:20
Budgie,Power Supply,37:18
Budgie,Nightflight,
Burden of a Day,Blessed Be Our Ever After,
Candy Claws,Hidden Lands,
Canvas Solaris,The Atomized Dream,
Catapilla,Changes,
Charles Bronson,Youth Attack!,
Chasing Victory,I Call This Abandonment,
Cheap Trick,Cheap Trick At Budokan,
Cire,Adrenological,
City of Ships,Look What God Did To Us,
Clikatat Ikatowi,Orchestrated and Conducted By,
Coke Bust,Lines In The Sand,
Combatwoundedveteran,I Know A Girl Who Develops Crime Scene Photos,
Comus,To Keep From Crying,
Consider the Thief,Signs and Wonders,
Converge,Halo In A Haystack,
Cows,Daddy Has A Tail!,
Crime In Stereo,Crime In Stereo Is Dead,
DOOM,War Crimes (Inhuman Beings),
Dag Nasty,Field Day,
Dead To Fall,Villainy and Virtue,
Disembodied,Heretic,
Diskreet,Engage the Mechanicality,
Dispatch,Who Are We Living For?,
Druid,Toward the Sun,
Ducktails,Landscapes,
Extreme Noise Terror,Retro-bution,
Five Iron Frenzy,The End Is Near,
Flake Music,"When You Land Here, It's Time To Return",
Flipper,Gone Fishin',
Foetus,Deaf,46:38
Foetus,Ache,41:10
Folly,Resist Convenience,
Forgive Durden,Wonderland,
Free,Fire and Water,
Fu Manchu,In Search Of...,
Gasp,Drome Triler of Puzzle Zoo People,
Gentle Giant,The Power and the Glory,
Glocca Morra,"The Working Bones, A Health Decline",
Goo Goo Dolls,Goo Goo Dolls,34:00
Good Luck,Into Lake Griffy,
Grand Belial's Key,Mocking the Philanthropist,
Grim Reaper,Fear No Evil,
Harry Pussy,Harry Pussy,
Hatfield And The North,Hatfield and the North,46:10
Hexen,State of Insurgency,
His Hero Is Gone,Fifteen Counts Of Arson,
His Hero Is Gone,Monuments To Thieves,
I Hate Myself,10 Songs,
I Shalt Become,Wanderings,
In First Person,Lost Between Hands Held Tight,
In Pieces,Learning to Accept Silence,
In Pieces,Lions Write History,
Infest,No Man's Slave,
International Superheroes of Hardcore,Takin' It Ova!,
Iron Maiden,Visions Of The Beast,
Jag Panzer,Chain of Command,43:32
Jaguar,Power Games,
Jan Dukes de Grey,Mice and Rats in the Loft,
Janus,Red Right Return,
Jethro Tull,Stand Up,
Jim O'Rourke,The Visitor,
Jimi Hendrix,Crash Landing,
John Cale,Slow Dazzle,35:49
Johnny Hobo and the Freight Trains,Love Songs For The Apocalypse,
Jon Anderson,Olias Of Sunhillow,
Jon Anderson,Olias Of Sunhillow,
Jonas Brothers,It's About Time,
Julia,Julia,
Kaddish,Kaddish,
Kaleidoscope,Tangerine Dream,
Karate High School,Arcade Rock,
Karp,Suplex,
Lair of the Minotaur,The Ultimate Destroyer,
Latterman,...We Are Still Alive,
Leviathan,The Blind Wound,
Life at These Speeds,Life at These Speeds,
Lifetime,Background,
Lifetime,Lifetime,
Loma Prieta,Dark Mountain,
Long Beach Dub Allstars,Right Back,42:04
Lucero,1372 Overton Park,
Macabre,Grim Reality,55:38
Macabre,Gloom,24:33
Magrudergrind,Rehashed,
Margot and the Nuclear So and So's,Animal!,
Math the Band,Banned the Math,
Melvins,Lysol,31:21
Miasma and The Carousel of Headless Horses,Perils,
Midsummer,Inside The Trees,
My Hero Is Me,The Crywolf Broadcast,
Nerves,Nerves,
Nora,Dreamers and Deadmen,
Nuclear Death,All Creatures Great and Eaten,
Nucleus (UK),We'll Talk About It Later,
Omar Rodriguez-Lopez,Old Money,45:25
Omar Rodriguez-Lopez,Xenophanes,44:53 (CD and digital editions) 41:58 (vinyl editions)
Omen,The Curse,
Order From Chaos,An Ending In Fire,
Other Lives,Other Lives,42:31
Outbreak,Failure,
Overcast,Fight Ambition To Kill,
Owen,I do perceive.,
Owls,Owls,35:37
PIG,Praise The Lard,
Paper Tongues,Paper Tongues,
Park,Scene 14,
Paul Baribeau,Grand Ledge,
Pendragon,Pure,
Pere Ubu,Cloudland,
Peter Criss,One For All,
Pillar,The Reckoning,
Prototype,Trinity,
Punch,Push Pull,
Quiet Riot,Guilty Pleasures,
Rich Kids on LSD,Keep Laughing,
Rich Kids on LSD,Riches to Rags,
Ride,Ride,
Roger Waters,The Pros and Cons of Hitch Hiking,
Rosaline,The Vitality Theory,
