artist,origin,city
Less Than Jake,"Gainesville, Florida, U.S.",Gainesville
Sparta,"El Paso, Texas",El Paso
Muse,"Teignmouth, Devon, England",Teignmouth
Finch,"Temecula, California, Estados Unidos",Temecula
Queens of the Stone Age,"Seattle, Washington, U.S.",Seattle
Transplants,"Los Angeles, California, United States[1]",Los Angeles
Dream Theater,"Boston, Massachusetts, United States",Boston
A Perfect Circle,"Los Angeles, California, U.S.",Los Angeles
Rooney,"Los Angeles, California, U.S.",Los Angeles
AFI,"Ukiah, California, U.S.",Ukiah
