artist,country,city,latitude,longitude,address
Less Than Jake,United States,Gainesville,29.6519684,-82.3249846,"Gainesville, Alachua County, Florida, United States"
Sparta,United States,El Paso,31.7601164,-106.4870404,"El Paso, El Paso County, Texas, United States"
Muse,United Kingdom,Teignmouth,50.5463385,-3.4957798,"Teignmouth, Teignbridge, Devon, England, United Kingdom"
Finch,United States,Temecula,33.4946353,-117.147366,"Temecula, Riverside County, California, United States"
Queens of the Stone Age,United States,Seattle,47.6038321,-122.330062,"Seattle, King County, Washington, United States"
Transplants,United States,Los Angeles,34.0536909,-118.242766,"Los Angeles, Los Angeles County, California, United States"
Dream Theater,United States,Boston,42.3554334,-71.060511,"Boston, Suffolk County, Massachusetts, United States"
AFI,United States,Ukiah,39.1501662,-123.2077861,"Ukiah, Mendocino County, California, 95482, United States"
Sublime,United States,Long Beach,33.7690164,-118.191604,"Long Beach, Los Angeles County, California, United States"
The Cure,United Kingdom,Crawley,51.1103444,-0.1801094,"Crawley, West Sussex, England, United Kingdom"
blink-182,United States,Poway,32.9628234,-117.035864,"Poway, San Diego County, California, 92064, United States"
Deftones,United States,Sacramento,38.5810606,-121.493895,"Sacramento, Sacramento County, California, United States"
Jimmy Eat World,United States,Mesa,33.4151005,-111.831455,"Mesa, Maricopa County, Arizona, United States"
Black Sabbath,United Kingdom,Birmingham,52.4796992,-1.9026911,"Birmingham, West Midlands, England, United Kingdom"
Raised Fist,Sverige,Luleå,65.5831187,22.1459535,"Luleå, Luleå kommun, Norrbottens län, 971 28, Sverige"
Yes,United Kingdom,London,51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
Brainiac,United States,Dayton,39.7589478,-84.1916069,"Dayton, Montgomery County, Ohio, United States"
Rise Against,United States,Chicago,41.8755616,-87.6244212,"Chicago, Cook County, Illinois, United States"
Joe Satriani,United States,Westbury,40.7556561,-73.5876273,"Village of Westbury, Town of North Hempstead, Nassau County, New York, United States"
Iron Maiden,United Kingdom,London,51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
Streetlight Manifesto,United States,New Brunswick,40.4951365,-74.4439254,"New Brunswick, Middlesex County, New Jersey, United States"
O.A.R.,United States,Rockville,39.0817985,-77.1516844,"Rockville, Montgomery County, Maryland, United States"
The Beatles,United Kingdom,Liverpool,53.4071991,-2.99168,"Liverpool, Liverpool City Region, England, United Kingdom"
Incubus,United States,Calabasas,34.1446643,-118.644097,"Calabasas, Los Angeles County, California, 91302, United States"
The Flower Kings,Sverige,Uppsala,59.8586126,17.6387436,"Uppsala, Uppsala kommun, Uppsala län, 753 20, Sverige"
Coheed and Cambria,United States,Nyack,41.091121,-73.9196794,"Village of Nyack, Town of Orangetown, Rockland County, New York, 10960, United States"
Pantera,United States,Arlington,32.7355816,-97.1071186,"Arlington, Tarrant County, Texas, United States"
Brand New,United States,Long Island,40.85149705,-73.09942966988302,"Long Island, New York, United States"
King Crimson,United Kingdom,London,51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
Revis,United States,Carbondale,37.7274692,-89.216655,"Carbondale, Jackson County, Illinois, 62901, United States"
Catch 22,United States,East Brunswick,40.4278841,-74.415984,"East Brunswick Township, Middlesex County, New Jersey, United States"
Radiohead,United Kingdom,Abingdon,51.6714842,-1.2779715,"Abingdon, Vale of White Horse, Oxfordshire, England, OX14 3UJ, United Kingdom"
Green Day,United States,Rodeo,38.02827435,-122.23731182159092,"Rodeo, Hercules, Contra Costa County, California, 94572, United States"
Big Black,United States,Evanston,42.0470043,-87.6846053,"Evanston, Evanston Township, Cook County, Illinois, United States"
Filter,United States,Cleveland,41.4996574,-81.6936772,"Cleveland, Cuyahoga County, Ohio, United States"
Melvins,United States,Montesano,46.9812063,-123.602662,"Montesano, Grays Harbor County, Washington, United States"
Poison the Well,United States,Coral Springs,26.271192,-80.2706044,"Coral Springs, Broward County, Florida, United States"
The Raveonettes,Danmark,Copenhagen,55.6867243,12.5700724,"København, Københavns Kommune, Region Hovedstaden, 1357, Danmark"
