artist_id,master_id,main_release_id,release_country,artist,title,year,album_length,tracks,release_type,genres,styles,artist_profile
132066,133400.0,1760271,US,Cheap Trick,All Shook Up,1980,33.95,10,"['LP', 'Album', 'Stereo']",['Rock'],"['Power Pop', 'Pop Rock']","Rockford, Illinois 1974 saw the formation of one of America's well known power-pop bands - Cheap Trick.

They became a success with their self-titled debut, in which they started off their defining sound; the catchiness of The Beatles with the speed and energy of Punk rock. The Los Angeles Times proclaimed: ""Cheap Trick gained fame by twisting the Beatlesque into something shinier, harder, more American."" 
They have often been referred to in the Japanese press as the ""American Beatles.""

The band is most known for their tracks ""Surrender,"" ""I Want You To Want Me,"" ""Dream Police"" and ""The Flame,"" - and did a cover of Big Star's ""In The Street,"" for American sitcom ""That 70's Show,"" (season 2 onwards), and also the theme tune to the American satirical late night television program ""The Colbert Report.""

Surprisingly, for the age of the band, the line-up hasn't changed a great deal. Also, the Illinois State Senate has declared April 1st to be ""Cheap Trick Day.""  They also took the 25th spot in ""VH1's 100 Greatest Artists of Hard Rock.""
 
[b]Current Line-Up[/b]

[u]Robin Zander[/u]
1974–present
Lead vocals, rhythm guitar, piano

[u]Rick Nielsen[/u]
1974–present
Lead guitar, backing vocals

[u]Tom Petersson[/u]
1974–1980, 1987–present
Electric bass, backing vocals 

Daxx Nielsen
2010-present (touring)
Drums, percussion

[b]Former Line-Up[/b]

[u]Bun E. Carlos[/u]
1974–2010
Drums, percussion

[u]Randy Hogan[/u] 'aka' Xeno
1974
Lead vocals

[u]Pete Comita[/u]
1980–1981
12- and 4-stringed electric basses, backing vocals 

[u]Jon Brant[/u]
1981–1987, special guest and fill-in duties in 1999, 2004-05, & 2007
12-, 8-, 6-, 5- & 4-string electric basses, backing vocals"
110593,277322.0,7021910,US,Jimi Hendrix,Nine To The Universe,1980,38.12,5,"['LP', 'Album']",['Rock'],"['Jazz-Rock', 'Fusion', 'Blues Rock', 'Psychedelic Rock']","American modern electric blues guitar virtuoso; lyricist, vocalist.
Born: 27 November 1942, Seattle, USA – Died: 18 September 1970, London, UK.

A  self-taught guitarist, Hendrix began his musical career backing such R&B greats as Ike and Tina Turner, Sam Cooke, Wilson Pickett, Little Richard, The Isley Brothers, and B.B. King. Brought to London from New York by former Animals bassist [a=Chas Chandler], Hendrix quickly established himself as the brightest new star on the burgeoning progressive rock scene of the early '60s. Along with bassist [a=Noel Redding] and drummer [a=Mitch Mitchell] he formed [url=http://www.discogs.com/artist/255672-Jimi-Hendrix-Experience-The]The Jimi Hendrix Experience[/url].

After a landmark appearance at the Monterey Pop festival, their debut album [url=http://www.discogs.com/Jimi-Hendrix-Experience-Are-You-Experienced/master/24497]Are You Experienced[/url] was released in September 1967. The album, and its 1968 successors - [url=http://www.discogs.com/Jimi-Hendrix-Experience-Axis-Bold-As-Love/master/24511]Axis: Bold As Love[/url] and the seminal blues-oriented developments of [url=http://www.discogs.com/Jimi-Hendrix-Experience-Electric-Ladyland/master/24535]Electric Ladyland[/url] - earned Hendrix international acclaim as a premier rock instrumentalist and innovator of his generation. A 'greatest hits' collection, ""Smash Hits"" (1969), and an in-concert memento of his historic Monterey appearance, ""Otis Redding / Jimi Hendrix Experience at Monterey"" (1970), followed before his untimely death. A posthumous studio album, ""The Cry Of Love"", was released in January of 1971, followed by the double album soundtrack to the documentary film ""Jimi Hendrix"" in June of 1973."
1369027,1092502.0,2121381,UK,Stray Trolleys,Barricades And Angels,1980,0.0,13,['Album'],['Rock'],['Glam'],
5296741,1381843.0,9145349,Finland,The Confederates (4),Rockabilly Special - 16 Great Original Rockabilly Tracks,1980,0.0,16,['Album'],['Rock'],['Rockabilly'],"The Confederates was a Finnish group. Ile Kallio's [a1042451] is the base of the band. Behind the artist names can be found e.g. Ile Kallio (""Jay Rox""), Alpo ""Aikka"" Hakala aka Teddy Guitar (""Bo Dene""), Richard Stanley (""Capt. D'Eath - Kapteeni Kuolema""), Maukka Siirala (""Cheroot Willys""), Jyri Rautakoura (""Red Sticks""), identity of ""Slick Jim"" is unclear. They made only 2 cassettes from order. Name of the group was decided beforehand by orderer. 
Source: Tapani Bagge & Jari Eklund - Teddy, Aikka and Alpo: pages 76-78.
"
11879,44304.0,1056697,US,Lou Reed,Growing Up In Public,1980,36.38,11,"['LP', 'Album']",['Rock'],[],"American musician, songwriter, poet, and photographer (March 2, 1942 in Brooklyn, New York - October 27, 2013, Southampton, New York).  Reed's music career began in 1958, when he recorded with his high school band, [a918897].  During his time at Syracuse University in the early 1960's he formed a series of bands, but was most deeply impacted by his professor, American poet and writer [a=Delmore Schwartz].  Following college, he became a stock songwriter/musician for [l206231], and then in 1964, with [a=John Cale], formed [a39766].  In 1970, he left the Velvet Underground during the recording of [url=https://www.discogs.com/master/35308-The-Velvet-Underground-Loaded]Loaded[/url].  He signed a contract with RCA Records in 1971 and continued to perform until shortly before his death. He was married to Bettye Kronstad (ca. 1973-1974), [a1870956] (1980-1994), and [a=Laurie Anderson] (2008)."
1762200,,10630836,UK,Entire Cosmos,The Hitch-Hikers Guide To The Entire Cosmos,1980,0.0,11,['Album'],['Rock'],"['Acid Rock', 'Art Rock', 'Experimental', 'Lo-Fi', 'Psychedelic Rock']",
274532,251671.0,1923604,UK,Kate & Anna McGarrigle,French Record,1980,36.17,11,"['LP', 'Album', 'Stereo']",['Rock'],['Folk Rock'],"
Kate & Anna McGarrigle were a Canadian singer-songwriter duo consisting of sisters [a=Kate McGarrigle] and [a=Anna McGarrigle], who performed together up until Kate's death on January 18th 2010.

Kate & Anna began their career as members of Montreal folk groups Mountain City Four (MC4) and Le Trio Canadien in the 1960s. After having had some initial success as songwriters during first half of the 1970s, the sisters released their first album on the Warner Bros label in 1975. They would go on to make another 10 albums in the next 30 years. A compilation album consisting of unused material, mainly from the 1970s, was also released by [a=Anna McGarrigle] alone shortly after her sister's death.

The sisters were made members of the Ordre du Canada=Order of Canada in 1996, received the Governor's General Award in 2004 and the MOJO roots award in 2010. 
"
1798419,,24138209,UK,The Russians (2),Sorry,1980,0.0,10,['Album'],['Rock'],"['New Wave', 'Punk']","Punk / Pop band based  in Northampton, UK"
80501,42315.0,916585,UK,Siouxsie & The Banshees,Kaleidoscope,1980,0.0,11,"['LP', 'Album', 'Stereo']",['Rock'],"['Post-Punk', 'New Wave']","U.K. band, formed in London in 1976, fronted by [a=Siouxsie Sioux] (Susan Janet Ballion) on vocals, with [a=Steven Severin] (Steven John Bailey) playing bass.
[a=Budgie (2)] (Peter Clarke) on drums (who also worked with Siouxsie as the band [a=The Creatures]) joined them in 1980 up to their demise. 
Guitarists for the band have included [a=Marco Pirroni] (1976), [a=Pete Fenton] (1976-1977), [a=John McKay] (1977-1979), [a=John McGeoch] (1980-1982), [a=John Valentine Carruthers] (1984-1987), [a=Jon Klein] (1987-1995), [a=Knox Chandler] (1995, 2003) and also [a=Robert Smith] of [a=The Cure] (1980, 1982-1984) (who also worked with Severin as the band [a=The Glove]). 
Multiinstrumentalist [a=Martin McCarrick] was the band's full-time keyboard player from 1987 onwards.
They disbanded in April 1996 and returned once for 'The Seven Year Itch' Tour in 2002."
268583,123323.0,1709420,US,Boz Scaggs,Middle Man,1980,41.48,9,"['LP', 'Album', 'Stereo']","['Rock', 'Funk / Soul', 'Pop']","['Soft Rock', 'Pop Rock', 'Ballad', 'Rhythm & Blues', 'AOR']","American singer, songwriter and guitarist, born June 8, 1944 in Canton, Ohio, USA.
Playing guitar since the age of 12, & a friend of [a=Steve Miller]'s from early on, Scaggs was busy musically in America & abroad.
Traveling to Sweden in the mid-sixties, he had his first solo release [r=2428613].
Enjoying his first serious fame with the [a=Steve Miller Band], he had his greatest commercial success in 1976 with the critically acclaimed album [m=108242]. Father of [a2937550]."
