artist_id,master_id,main_release_id,release_country,artist,title,year,album_length,tracks,release_type,genres,styles,artist_profile
218108,0,6577853,UK,Marillion,"Moles Club Bath, England 12 December 1990",2003,93.05,19,['Album'],['Rock'],['Prog Rock'],"Marillion formed in Aylesbury, Buckinghamshire, England in 1979. Recording consistently since 1982, their output is generally regarded as comprising two distinct eras, that of original vocalist [a=Fish] who helmed the band at arguably their most popular (critically and commercially), and his replacement, former [a=Europeans] member [a=Steve Hogarth], who joined the band after Fish's departure in 1989. The band's differing styles between the two vocalists has often been known to divide fans."
364997,0,3480533,UK,Defenestration,Ray Zero,2003,37.48,14,['Album'],['Rock'],['Nu Metal'],"Defenestration were a U.K. metal band from 2000 to 2004, based in Kettering."
475649,0,6130167,UK,Mercury Rain,Dark Waters,2003,0.0,7,['Album'],['Rock'],['Heavy Metal'],"British progressive metal/heavy metal band active from 1998-2006, 2008, then 2016-2019."
946379,0,1516333,UK,Ye Wiles,Smoothing Away The Horrors Of Indigestion,2003,42.53,14,['Album'],['Rock'],"['Folk Rock', 'Punk', 'Ska', 'Experimental', 'Indie Rock']",
2259690,0,8086239,UK,Popeye's Dik,A Fix From The Fez,2003,0.0,12,['Album'],['Rock'],['Psychobilly'],Wrexham [North Wales] psychobilly band
3391999,0,6577955,UK,Yfriday,Revolution,2003,35.48,10,['Album'],['Rock'],['Soft Rock'],"Christian rock and worship band from Newcastle upon Tyne, UK.
Split in 2010."
3311347,0,4608239,UK,Clear (11),Coming Round,2003,0.0,12,['Album'],['Rock'],['Indie Rock'],
2394796,0,3586490,UK,True Swamp Neglect,Sleep Function Lost,2003,0.0,11,['Album'],['Rock'],"['Indie Rock', 'Experimental']",
2310309,0,3724231,UK,Razorwire (2),League Of The Godless,2003,0.0,11,['Album'],['Rock'],"['Hardcore', 'Punk']",
384404,0,10108068,UK,Lindisfarne,Lindisfarne Acoustic 2,2003,43.58,12,['Album'],['Rock'],['Folk Rock'],"Folk rock group from Newcastle, England, renamed from 'Brethren' in 1970."
4950887,0,10195224,UK,Roadhouse (6),Roadhouse & Friends Live,2003,62.48,9,['Album'],['Rock'],['Blues Rock'],
2587448,0,3355836,UK,Emma McGlynn,Kamikaze Birdie,2003,0.0,11,['Album'],['Rock'],['Folk Rock'],
2522273,0,3264639,UK,Bile!,It's Now Or Never!,2003,0.0,10,['Album'],['Rock'],['Experimental'],
930883,0,2394623,UK,Owen Tromans,From A Lost Library,2003,37.3,7,['Album'],['Rock'],['Folk Rock'],Owen Tromans is a musician based in the United Kingdom. He played with the group San Lorenzo and now records under his own name.
