artist_id,master_id,main_release_id,release_country,artist,title,year,album_length,tracks,release_type,genres,styles,artist_profile
9204100,3600509,31708550,UK,Dukes Of Tijuana,"Tough Love, Taboos & Tattoos",2024,0.0,12,['Album'],['Rock'],"['Psychobilly', 'Rockabilly']",Neo-Rockabilly band from Germany.
10963049,3484108,30658042,UK,The Karma Effect,Promised Land,2024,0.0,10,['Album'],['Rock'],['Classic Rock'],"The Karma Effect are:
Henry Gottelier (lead vocals and guitar)
Robbie Blake (guitar)
Seb Emmins (keyboards & vocals)
Liam Quinn (bass)
Ash Powell (drums & vocals)

Coming together at the start of the Covid 19 pandemic, this group of school and music scene friends, The Karma Effect, are a 21st Century take on a classic 70s soulful Rock & Roll sound; big on keys, guitar riffs and huge vocal melody with a Gospel feel, all combining into a grandiose sonic soundscape that draws upon the best of yesteryear. The debut album epitomises this philosophy. It encapsulates the energy of good time, arena, rock n roll, brought bang up to date."
430864,3622343,31972004,UK,Field Music,Limits Of Language,2024,42.6,11,['Album'],['Rock'],['Art Rock'],"Band from Sunderland, England who formed in 2004. The band's core consists of brothers David and Peter Brewis (who each at one time played drums for fellow Sunderland band [a=The Futureheads]). The band's line-up is constantly shifting but previous members have included [a=Andrew Moore] (piano), [a=Ian Black (7)] (bass), [a=Andrew Lowther] (bass), [a=Kev Dosdale] (guitar) and [a=Tom English], later of [a=Maxïmo Park] (drums). The Brewis brothers have also been involved in multiple side-projects to equal acclaim, such as [a=School Of Language], [a=The Week That Was], Frozen By Sight (with [a=Paul Smith (6)] of Maxïmo Park), and the Ian Black-led [a=Slug (15)]. They released their 5th album proper, Commontime in February 2016."
1792464,3751104,33128328,UK,Solitary,Embrace The Darkness,2024,0.0,10,"['LP', 'Album']",['Rock'],['Thrash'],"Thrash Metal band from Preston, Lancashire, England. Formed in 1994.

[b][u]Line-up:[/u][/b]
Richard Sherrington - Vocals/ Guitar
Roy Miller- Drums
Andy Mellor - Lead Guitar
Gareth Harrop - Bass"
13623796,3480673,30575446,,Urzah,The Scorching Gaze,2024,41.8,9,"['FLAC', 'Album']",['Rock'],"['Doom Metal', 'Metalcore', 'Post-Metal', 'Progressive Metal', 'Sludge Metal']","Doom metal,  post-metal, sludge metal and stoner band from Bristol UK

E. Fairman,
T. McElveen,
J. Blake,
J. Brown"
149587,3535814,31118747,UK,The Revolutionary Army Of The Infant Jesus,The Dream We Carry,2024,0.0,14,['Album'],['Rock'],"['Ethereal', 'Neofolk']","Experimental music collective formed in Liverpool, UK in 1985, who have been compared with [a=Dead Can Dance], [a=Current 93], [a=Death In June], [a=Nico (3)], [a=John Tavener] and [a=Shirley & Dolly Collins]. They became active again in the mid-2010s after a long hiatus."
559801,3381031,29641720,UK,Smiley (6),Let's Take A Look At What You Could Have Won!,2024,0.0,10,"['LP', 'Album', 'Stereo']",['Rock'],[],"Born: January 10, 1968, London. 
Steve 'Smiley' Barnard, based in Hampshire in the UK, is an English musician, songwriter and music producer at his own studio called [l878517] "
3099700,3446750,30312107,UK,"The Reds, Pinks And Purples",Unwishing Well,2024,0.0,10,"['LP', 'Album', 'Limited Edition']",['Rock'],"['Lo-Fi', 'Indie Pop']","San Franciscan DIY kitchen pop project of Glenn Donaldson, with live support from friends.‎ "
257414,3631809,31529977,UK,Albert Lee,Lay It Down,2024,0.0,11,['Album'],['Rock'],[],"English guitarist, keyboardist and singer, born 21st December 1943, Lingen, Herefordshire, UK.

His father was a pianist and taught Albert from the age of seven and by the time he had mastered the piano, rock 'n' roll had arrived. He then went on to learn the guitar from the records of all the American stars including Buddy Holly, Gene Vincent, Rick Nelson and later James Burton and Chet Atkins.

Albert was a session man and top sideman, playing with Jimmy Page before his Led Zeppelin days. His first number one came as part of Chris Farlowe's Thunderbirds. He then discovered Country music and backed all the American touring stars, including George Hamilton IV and Skeeter Davis. He was also the main guitarist in Jon Derek's Country Fever. In the 1970s he was a major part of Head Hands & Feet with the elite of London musicians, including Dave Peacock of Chas & Dave. When in the UK, Albert Lee has toured with Hogan's Heroes, and also plays in Bill Wyman's Rhythm Kings."
7556538,3617311,31906669,UK,Sam Millar (3),Virtual Summer,2024,0.0,14,['Album'],['Rock'],['Arena Rock'],"Hard Rock guitarist, songwriter & producer from Northwest England, UK.
Contact: sammillarmusicuk@gmail.com"
