city,state,country,population
London,Greater London,United Kingdom,8825001
Birmingham,West Midlands,United Kingdom,1137100
Newcastle,North East,United Kingdom,879996
Leeds,West Yorkshire,United Kingdom,789194
Glasgow,Alba / Scotland,United Kingdom,633120
Manchester,Greater Manchester,United Kingdom,547627
Sheffield,South Yorkshire,United Kingdom,518090
Liverpool,Liverpool City Region,United Kingdom,513441
Edinburgh,City of Edinburgh,United Kingdom,488050
Bristol,West of England,United Kingdom,463400
Coventry,West Midlands,United Kingdom,362690
Caerdydd,Cymru / Wales,United Kingdom,361469
Belfast,County Antrim,United Kingdom,333871
Leicester,England,United Kingdom,329839
Nottingham,East Midlands,United Kingdom,321500
Southampton,Southampton,United Kingdom,269781
Plymouth,Devon,United Kingdom,267918
Kingston upon Hull,England,United Kingdom,260200
Wolverhampton,West Midlands,United Kingdom,250970
Stoke-on-Trent,Stoke-on-Trent,United Kingdom,249008
Derby,East Midlands,United Kingdom,248700
Abertawe,Cymru / Wales,United Kingdom,245508
Portsmouth,Portsmouth,United Kingdom,238800
Reading,Oxfordshire,United Kingdom,230046
Luton,Luton,United Kingdom,213052
Milton Keynes,City of Milton Keynes,United Kingdom,207057
Islington,England,United Kingdom,206125
Norwich,Norfolk,United Kingdom,195971
Swindon,Wiltshire,United Kingdom,192599
Croydon,England,United Kingdom,192064
Basildon,Essex,United Kingdom,185900
Bournemouth,England,United Kingdom,183491
Ipswich,Suffolk,United Kingdom,180000
Sunderland,North East,United Kingdom,174286
Warrington,Warrington,United Kingdom,165456
Huddersfield,England,United Kingdom,162949
York,York and North Yorkshire,United Kingdom,153717
Oxford,Oxfordshire,United Kingdom,152000
Harrow,Greater London,United Kingdom,149246
Dundee,Alba / Scotland,United Kingdom,148270
Middlesbrough,Tees Valley,United Kingdom,140545
Blackpool,England,United Kingdom,139305
Brighton,England,United Kingdom,134293
Enfield,England,United Kingdom,132640
Tottenham,England,United Kingdom,129237
Bolton,Greater Manchester,United Kingdom,128139
Newport,Newport,United Kingdom,128060
Exeter,Devon,United Kingdom,124180
Solihull,West Midlands,United Kingdom,123187
Romford,England,United Kingdom,122854
Preston,Lancashire,United Kingdom,122719
High Wycombe,Buckinghamshire,United Kingdom,120256
Cheltenham,Gloucestershire,United Kingdom,116447
Colchester,Essex,United Kingdom,111921
Chelmsford,Essex,United Kingdom,111511
Doncaster,South Yorkshire,United Kingdom,109805
Walthamstow,England,United Kingdom,109424
Worthing,West Sussex,United Kingdom,109120
Maidstone,Kent,United Kingdom,107627
Basingstoke,England,United Kingdom,107355
Crawley,West Sussex,United Kingdom,106597
Stockport,Greater Manchester,United Kingdom,105878
Salford,Greater Manchester,United Kingdom,103886
Wigan,Greater Manchester,United Kingdom,103608
Hounslow,England,United Kingdom,103337
Eastbourne,East Sussex,United Kingdom,101547
Worcester,Worcestershire,United Kingdom,101328
Wakefield,West Yorkshire,United Kingdom,99251
Lincoln,Lincolnshire,United Kingdom,97541
Oldham,Greater Manchester,United Kingdom,96555
Hemel Hempstead,England,United Kingdom,94932
Bedford,England,United Kingdom,92407
Barnsley,South Yorkshire,United Kingdom,91297
Southport,England,United Kingdom,90381
Watford,Hertfordshire,United Kingdom,90301
Wembley,England,United Kingdom,90045
Bath,West of England,United Kingdom,88859
Hartlepool,England,United Kingdom,88855
Birkenhead,England,United Kingdom,88818
Grimsby,England,United Kingdom,88243
Halifax,England,United Kingdom,88134
Nuneaton,England,United Kingdom,86552
Derry,Northern Ireland / Tuaisceart Éireann,United Kingdom,85016
Ealing,England,United Kingdom,85014
Saint Albans,Hertfordshire,United Kingdom,82146
Chester,England,United Kingdom,79645
Dudley,West Midlands,United Kingdom,79379
Bury,Greater Manchester,United Kingdom,78723
Brixton,England,United Kingdom,78536
Mansfield,East Midlands,United Kingdom,77551
Paisley,Alba / Scotland,United Kingdom,77220
Guildford,Surrey,United Kingdom,77057
South Shields,England,United Kingdom,75337
Carlisle,Cumberland,United Kingdom,75306
East Kilbride,Alba / Scotland,United Kingdom,75120
Harrogate,England,United Kingdom,73576
Burnley,Lancashire,United Kingdom,73021
Burton upon Trent,England,United Kingdom,72299
Lisburn,Northern Ireland / Tuaisceart Éireann,United Kingdom,71465
Lowestoft,Suffolk,United Kingdom,70945
Rugby,Warwickshire,United Kingdom,70627
Wimbledon,England,United Kingdom,68187
Walsall,West Midlands,United Kingdom,67594
Ashford,Kent,United Kingdom,67528
Washington,England,United Kingdom,67085
Chingford,Greater London,United Kingdom,66211
Torquay,England,United Kingdom,65245
Feltham,England,United Kingdom,63368
Stourbridge,England,United Kingdom,63298
Rochester,Kent,United Kingdom,62982
Woking,Surrey,United Kingdom,62796
Wandsworth,England,United Kingdom,61594
Widnes,Liverpool City Region,United Kingdom,61464
Bangor,Northern Ireland / Tuaisceart Éireann,United Kingdom,61011
Wallasey,England,United Kingdom,60284
Barking,England,United Kingdom,59068
Aylesbury,Buckinghamshire,United Kingdom,58740
Halesowen,England,United Kingdom,58135
Royal Tunbridge Wells,England,United Kingdom,57772
Kettering,North Northamptonshire,United Kingdom,56226
Hereford,Herefordshire,United Kingdom,55955
Corby,North Northamptonshire,United Kingdom,54927
Canterbury,Kent,United Kingdom,54880
Keighley,West Yorkshire,United Kingdom,53331
Dunfermline,Fife,United Kingdom,53100
Hendon,England,United Kingdom,52972
Brentwood,Essex,United Kingdom,52586
Lancaster,Lancashire,United Kingdom,52234
Macclesfield,Cheshire East,United Kingdom,51482
Horsham,West Sussex,United Kingdom,50934
Clacton-on-Sea,England,United Kingdom,50548
Crosby,England,United Kingdom,50044
Batley,England,United Kingdom,49448
Wellingborough,England,United Kingdom,49128
Eltham,England,United Kingdom,48964
Morden,England,United Kingdom,48233
Durham,North East,United Kingdom,48069
Beckenham,England,United Kingdom,46844
Wokingham,Berkshire,United Kingdom,46745
Folkestone,Kent,United Kingdom,46698
Welwyn Garden City,England,United Kingdom,46619
Ayr,Alba / Scotland,United Kingdom,46490
Kilmarnock,Alba / Scotland,United Kingdom,46450
Hinckley,England,United Kingdom,45249
Yeovil,Somerset,United Kingdom,45000
Catford,England,United Kingdom,44905
Wallsend,England,United Kingdom,43826
Kingston upon Thames,England,United Kingdom,43013
Middleton,England,United Kingdom,42972
Greenock,Alba / Scotland,United Kingdom,41990
Worksop,England,United Kingdom,41820
Kirkby,Liverpool City Region,United Kingdom,40472
Salisbury,Wiltshire,United Kingdom,40302
Hatfield,Hertfordshire,United Kingdom,39201
Great Yarmouth,Norfolk,United Kingdom,38693
Herne Bay,Kent,United Kingdom,38385
Camberley,England,United Kingdom,38038
Blyth,North East,United Kingdom,37339
Whitley Bay,England,United Kingdom,36623
Airdrie,Alba / Scotland,United Kingdom,36620
Grays,England,United Kingdom,36601
Accrington,England,United Kingdom,35456
Falkirk,Alba / Scotland,United Kingdom,35168
Billingham,Tees Valley,United Kingdom,35165
Chorley,Lancashire,United Kingdom,34667
Grantham,Lincolnshire,United Kingdom,34592
North Shields,England,United Kingdom,34423
Irvine,Alba / Scotland,United Kingdom,33698
Abingdon,England,United Kingdom,33130
Pontypridd,Rhondda Cynon Taf,United Kingdom,32694
Stroud,Gloucestershire,United Kingdom,32670
Windsor,England,United Kingdom,32184
Ryde,Isle of Wight,United Kingdom,32072
Bexleyheath,England,United Kingdom,31929
Prestwich,England,United Kingdom,31693
Pinner,England,United Kingdom,31130
Loughton,Essex,United Kingdom,31106
Dover,Kent,United Kingdom,31022
Sevenoaks,Kent,United Kingdom,29506
Cannock,England,United Kingdom,29018
Kendal,Westmorland and Furness,United Kingdom,28586
Bearsden,Alba / Scotland,United Kingdom,28120
Billericay,Essex,United Kingdom,27998
Ashford,Kent,United Kingdom,27382
Chichester,West Sussex,United Kingdom,26795
Hertford,Hertfordshire,United Kingdom,26783
East Grinstead,West Sussex,United Kingdom,26383
Fleetwood,Lancashire,United Kingdom,25939
Bushey,England,United Kingdom,25763
Wilmslow,Cheshire East,United Kingdom,24497
Rickmansworth,England,United Kingdom,23973
Newport,Newport,United Kingdom,23957
Stanmore,England,United Kingdom,23700
Marple,England,United Kingdom,23687
Bishopbriggs,Alba / Scotland,United Kingdom,23540
Penarth,Vale of Glamorgan,United Kingdom,22083
Reigate,England,United Kingdom,21820
Godalming,Surrey,United Kingdom,21804
Falmouth,Cornwall,United Kingdom,21797
Penzance,Cornwall,United Kingdom,21200
Wallington,England,United Kingdom,20850
Ripley,Surrey,United Kingdom,20807
Sandhurst,Berkshire,United Kingdom,20803
Leek,Staffordshire,United Kingdom,20768
Llandudno,Cymru / Wales,United Kingdom,20701
Dumbarton,Alba / Scotland,United Kingdom,20527
Rothwell,England,United Kingdom,20354
Newquay,Cornwall,United Kingdom,20342
Bellshill,Alba / Scotland,United Kingdom,20290
Davyhulme,England,United Kingdom,19634
Staines-upon-Thames,Surrey,United Kingdom,18484
Sleaford,Lincolnshire,United Kingdom,17671
Moreton,Essex,United Kingdom,17670
Haslemere,Surrey,United Kingdom,16826
Hatfield,Hertfordshire,United Kingdom,16776
Grangemouth,Alba / Scotland,United Kingdom,16650
Bangor,Northern Ireland / Tuaisceart Éireann,United Kingdom,16358
East Finchley,England,United Kingdom,15989
Chertsey,Surrey,United Kingdom,15967
Bingley,West Yorkshire,United Kingdom,15925
Lymington,England,United Kingdom,15726
Porthcawl,Cymru / Wales,United Kingdom,15640
Oswestry,England,United Kingdom,15613
Weybridge,Surrey,United Kingdom,15449
Perivale,England,United Kingdom,15339
Tredegar,Cymru / Wales,United Kingdom,15103
Teignmouth,Devon,United Kingdom,14749
Otley,West Yorkshire,United Kingdom,13668
Bridport,Dorset,United Kingdom,13569
Whitby,York and North Yorkshire,United Kingdom,13213
Hersham,England,United Kingdom,12414
New Mills,East Midlands,United Kingdom,12291
Aberystwyth,Cymru / Wales,United Kingdom,12250
Bridgnorth,England,United Kingdom,12079
Hackney,England,United Kingdom,11734
Newport,Newport,United Kingdom,11387
Epping,Essex,United Kingdom,11047
Tavistock,Devon,United Kingdom,11018
Highgate,England,United Kingdom,10955
Flixton,England,United Kingdom,10786
Hatch End,England,United Kingdom,10693
Abergele,Cymru / Wales,United Kingdom,10577
Castleton,East Midlands,United Kingdom,10159
Beccles,Suffolk,United Kingdom,10123
Mold,Cymru / Wales,United Kingdom,10058
Handsworth,England,United Kingdom,9957
Stocksbridge,South Yorkshire,United Kingdom,9869
Kilsyth,Alba / Scotland,United Kingdom,9860
Kippax,West Yorkshire,United Kingdom,9785
Lambeth,England,United Kingdom,9675
Matlock,England,United Kingdom,9543
Bradford-on-Avon,Wiltshire,United Kingdom,9402
Bude,England,United Kingdom,9222
Ferryhill,England,United Kingdom,8942
Glastonbury,Somerset,United Kingdom,8932
Skewen,Cymru / Wales,United Kingdom,8500
Blackwood,Caerphilly,United Kingdom,8496
Cinderford,Gloucestershire,United Kingdom,8494
Egremont,Cumberland,United Kingdom,8194
Totnes,Devon,United Kingdom,8076
Woodbridge,Suffolk,United Kingdom,7749
Tenterden,Kent,United Kingdom,7735
Rothwell,England,United Kingdom,7694
Kingsbury,England,United Kingdom,7652
Wivenhoe,Essex,United Kingdom,7637
Chobham,Surrey,United Kingdom,7456
Esher,Surrey,United Kingdom,6743
Battle,East Sussex,United Kingdom,6673
Anstey,Leicestershire,United Kingdom,6528
Wimborne Minster,Dorset,United Kingdom,6418
Ventnor,Isle of Wight,United Kingdom,5976
Saltburn-by-the-Sea,England,United Kingdom,5958
Selkirk,Alba / Scotland,United Kingdom,5784
Hoylake,England,United Kingdom,5710
Holmes Chapel,Cheshire East,United Kingdom,5605
Great Bookham,England,United Kingdom,5596
Brynmawr,Cymru / Wales,United Kingdom,5530
Newent,Gloucestershire,United Kingdom,5207
Whiston,Liverpool City Region,United Kingdom,5042
Marston Green,England,United Kingdom,5000
Broseley,England,United Kingdom,4929
Bethesda,Cymru / Wales,United Kingdom,4735
Cowbridge,Cymru / Wales,United Kingdom,4063
Melton,Suffolk,United Kingdom,3741
Water Orton,England,United Kingdom,3444
Menai Bridge,Cymru / Wales,United Kingdom,3376
Cuckfield,West Sussex,United Kingdom,3266
Preston,Lancashire,United Kingdom,3258
Icklesham,East Sussex,United Kingdom,2751
Meriden,West Midlands,United Kingdom,2719
Ironbridge,Shropshire,United Kingdom,2582
New York,New York,United States,18713220
Los Angeles,California,United States,12750807
Chicago,Illinois,United States,8604203
Miami,Florida,United States,6445545
Dallas,Texas,United States,5743938
Philadelphia,Pennsylvania,United States,5649300
Houston,Texas,United States,5464251
Atlanta,Georgia,United States,5449398
Washington,District of Columbia,United States,5379184
Boston,Massachusetts,United States,4688346
Phoenix,Arizona,United States,4219697
Seattle,Washington,United States,3789215
San Francisco,California,United States,3592294
Detroit,Michigan,United States,3506126
San Diego,California,United States,3220118
Minneapolis,Minnesota,United States,2977172
Tampa,Florida,United States,2908063
Denver,Colorado,United States,2876625
Brooklyn,New York,United States,2559903
Queens,New York,United States,2230722
Riverside,California,United States,2107852
Baltimore,Maryland,United States,2106068
Las Vegas,Nevada,United States,2104198
Portland,Oregon,United States,2074775
San Antonio,Texas,United States,2049293
Sacramento,California,United States,1898019
Orlando,Florida,United States,1822394
San Jose,California,United States,1798103
Cleveland,Ohio,United States,1710093
Pittsburgh,Pennsylvania,United States,1703266
Austin,Texas,United States,1687311
Cincinnati,Ohio,United States,1662691
Kansas City,Missouri,United States,1636715
Manhattan,New York,United States,1628706
Indianapolis,Indiana,United States,1588961
Columbus,Ohio,United States,1562009
Charlotte,North Carolina,United States,1512923
Virginia Beach,Virginia,United States,1478868
Bronx,New York,United States,1418207
Milwaukee,Wisconsin,United States,1365787
Providence,Rhode Island,United States,1203230
Jacksonville,Florida,United States,1181496
Salt Lake City,Utah,United States,1098526
Nashville,Tennessee,United States,1081903
Richmond,Virginia,United States,1075798
Memphis,Tennessee,United States,1066967
Raleigh,North Carolina,United States,1038738
New Orleans,Louisiana,United States,1020886
Louisville,Kentucky,United States,1005654
Oklahoma City,Oklahoma,United States,972943
Bridgeport,Connecticut,United States,924449
Buffalo,New York,United States,914341
Fort Worth,Texas,United States,909585
Hartford,Connecticut,United States,905152
Tucson,Arizona,United States,888486
Omaha,Nebraska,United States,847819
El Paso,Texas,United States,843386
Honolulu,Hawaii,United States,820987
McAllen,Texas,United States,804114
Albuquerque,New Mexico,United States,761195
Birmingham,Alabama,United States,739573
Sarasota,Florida,United States,722243
Dayton,Ohio,United States,718353
Rochester,New York,United States,703952
Fresno,California,United States,703498
Allentown,Pennsylvania,United States,683794
Tulsa,Oklahoma,United States,671033
Cape Coral,Florida,United States,668382
Concord,California,United States,652308
Colorado Springs,Colorado,United States,642413
Grand Rapids,Michigan,United States,609314
Mission Viejo,California,United States,590249
Albany,New York,United States,586383
Knoxville,Tennessee,United States,586048
Bakersfield,California,United States,579295
Baton Rouge,Louisiana,United States,570308
Akron,Ohio,United States,565208
New Haven,Connecticut,United States,564830
Columbia,South Carolina,United States,560041
Mesa,Arizona,United States,518012
Provo,Utah,United States,500617
Worcester,Massachusetts,United States,498328
Murrieta,California,United States,496046
Greenville,South Carolina,United States,484465
Wichita,Kansas,United States,482249
Toledo,Ohio,United States,482111
Staten Island,New York,United States,476143
Des Moines,Iowa,United States,473957
Long Beach,California,United States,462628
Denton,Texas,United States,457177
Reno,Nevada,United States,445020
Harrisburg,Pennsylvania,United States,442289
Little Rock,Arkansas,United States,439815
Oakland,California,United States,433031
Durham,North Carolina,United States,424700
Winston-Salem,North Carolina,United States,422269
Indio,California,United States,417059
Palm Coast,Florida,United States,417007
Chattanooga,Tennessee,United States,415501
Spokane,Washington,United States,412275
Syracuse,New York,United States,404223
Lancaster,Pennsylvania,United States,401524
Arlington,Texas,United States,398854
Stockton,California,United States,397264
Poughkeepsie,New York,United States,394760
Augusta,Georgia,United States,390809
Boise,Idaho,United States,389280
Oxnard,California,United States,387647
Scranton,Pennsylvania,United States,384250
Modesto,California,United States,383134
Fayetteville,Arkansas,United States,351246
Anaheim,California,United States,350365
Pensacola,Florida,United States,346921
Victorville,California,United States,346789
Greensboro,North Carolina,United States,343090
Corpus Christi,Texas,United States,342464
Fort Wayne,Indiana,United States,334122
Santa Ana,California,United States,332318
Flint,Michigan,United States,332190
Santa Rosa,California,United States,324634
Lansing,Michigan,United States,324286
Ann Arbor,Michigan,United States,322267
Henderson,Nevada,United States,320189
Huntsville,Alabama,United States,319249
Fort Collins,Colorado,United States,312666
Asheville,North Carolina,United States,312507
Santa Clarita,California,United States,312446
Antioch,California,United States,302419
Lakeland,Florida,United States,302284
Trenton,New Jersey,United States,290716
Lincoln,Nebraska,United States,289490
Springfield,Missouri,United States,288090
Anchorage,Alaska,United States,288000
Plano,Texas,United States,287677
Irvine,California,United States,287401
Rockford,Illinois,United States,282762
South Bend,Indiana,United States,280498
Shreveport,Louisiana,United States,280062
Savannah,Georgia,United States,276295
Myrtle Beach,South Carolina,United States,275579
Eugene,Oregon,United States,273439
Canton,Ohio,United States,269418
Lubbock,Texas,United States,267648
Reading,Pennsylvania,United States,267155
Winter Haven,Florida,United States,267069
Lafayette,Louisiana,United States,264357
Jersey City,New Jersey,United States,262075
Scottsdale,Arizona,United States,258069
Tallahassee,Florida,United States,257601
Wilmington,North Carolina,United States,255616
Montgomery,Alabama,United States,254634
Gilbert,Arizona,United States,254114
Glendale,Arizona,United States,252381
Norfolk,Virginia,United States,242742
Fremont,California,United States,241110
Nashua,New Hampshire,United States,233917
York,Pennsylvania,United States,233184
Evansville,Indiana,United States,230427
Avondale,Arizona,United States,227289
Appleton,Wisconsin,United States,220570
Bremerton,Washington,United States,218400
Tacoma,Washington,United States,217827
Kalamazoo,Michigan,United States,215193
Thousand Oaks,California,United States,215029
Fargo,North Dakota,United States,208675
Green Bay,Wisconsin,United States,207557
Santa Barbara,California,United States,202401
Gainesville,Florida,United States,202335
Olympia,Washington,United States,200915
Yonkers,New York,United States,200370
Huntington Beach,California,United States,199223
Aurora,Illinois,United States,197757
Tempe,Arizona,United States,195805
Waco,Texas,United States,192315
Salinas,California,United States,190972
Sioux Falls,South Dakota,United States,187239
Hagerstown,Maryland,United States,184755
Erie,Pennsylvania,United States,184484
Spartanburg,South Carolina,United States,182701
