artist,city,state,population
Good Tiger,London,Greater London,8825001
The Psychedelic Furs,London,Greater London,8825001
Gryphon,London,Greater London,8825001
Thomas Dolby,London,Greater London,8825001
Big Deal,London,Greater London,8825001
Beady Eye,London,Greater London,8825001
Bliss Signal,London,Greater London,8825001
Cressida,London,Greater London,8825001
Quatermass,London,Greater London,8825001
Bombay Bicycle Club,London,Greater London,8825001
Ted Maul,London,Greater London,8825001
Vacuous,London,Greater London,8825001
Joe Strummer and The Mescaleros,London,Greater London,8825001
World Party,London,Greater London,8825001
Foghat,London,Greater London,8825001
Ex:Re,London,Greater London,8825001
"The Good, The Bad and The Queen",London,Greater London,8825001
deathcrash,London,Greater London,8825001
Messenger,London,Greater London,8825001
Rina Sawayama,London,Greater London,8825001
Penguin Cafe Orchestra,London,Greater London,8825001
Peach,London,Greater London,8825001
DragonForce,London,Greater London,8825001
Akercocke,London,Greater London,8825001
Gentle Giant,London,Greater London,8825001
Hang The Bastard,London,Greater London,8825001
"Emerson, Lake and Powell",London,Greater London,8825001
Frost*,London,Greater London,8825001
Praying Mantis,London,Greater London,8825001
The Alan Parsons Project,London,Greater London,8825001
Veronica Falls,London,Greater London,8825001
Samson,London,Greater London,8825001
Dawn Treader,London,Greater London,8825001
TURQUOISEDEATH,London,Greater London,8825001
Status Quo,London,Greater London,8825001
Wolf Gang,London,Greater London,8825001
Teeth Of The Sea,London,Greater London,8825001
Tank,London,Greater London,8825001
Above and Beyond,London,Greater London,8825001
Cheatahs,London,Greater London,8825001
Pure Reason Revolution,London,Greater London,8825001
beabadoobee,London,Greater London,8825001
Voices,London,Greater London,8825001
Astronauts,London,Greater London,8825001
The Nice,London,Greater London,8825001
The Clash,London,Greater London,8825001
Brigade,London,Greater London,8825001
Defiled,London,Greater London,8825001
Tangled Hair,London,Greater London,8825001
Quickspace,London,Greater London,8825001
Nine Horses,London,Greater London,8825001
The Comet Is Coming,London,Greater London,8825001
Eye of Solitude,London,Greater London,8825001
Nurse With Wound,London,Greater London,8825001
Squeeze,London,Greater London,8825001
Bush,London,Greater London,8825001
Apartment,London,Greater London,8825001
Yuck,London,Greater London,8825001
Horsey,London,Greater London,8825001
The Defiled,London,Greater London,8825001
Iron Maiden,London,Greater London,8825001
Still Corners,London,Greater London,8825001
Sol Invictus,London,Greater London,8825001
Frou Frou,London,Greater London,8825001
Hundred Reasons,London,Greater London,8825001
The Chisel,London,Greater London,8825001
xRepentancex,London,Greater London,8825001
Sam Prekop,London,Greater London,8825001
Three Trapped Tigers,London,Greater London,8825001
Faces,London,Greater London,8825001
Pink Floyd,London,Greater London,8825001
Dire Straits,London,Greater London,8825001
Kula Shaker,London,Greater London,8825001
Employed To Serve,London,Greater London,8825001
Petrol Girls,London,Greater London,8825001
Senser,London,Greater London,8825001
Light Bearer,London,Greater London,8825001
Small Faces,London,Greater London,8825001
ProjeKct X,London,Greater London,8825001
Cat Stevens,London,Greater London,8825001
Led Zeppelin,London,Greater London,8825001
Leaf Hound,London,Greater London,8825001
Dawnwalker,London,Greater London,8825001
Fastway,London,Greater London,8825001
Burner,London,Greater London,8825001
Ghostpoet,London,Greater London,8825001
Yes,London,Greater London,8825001
Ihlo,London,Greater London,8825001
"Emerson, Lake and Palmer",London,Greater London,8825001
Pupil Slicer,London,Greater London,8825001
Breed 77,London,Greater London,8825001
Morrow,London,Greater London,8825001
Sex Pistols,London,Greater London,8825001
King Crimson,London,Greater London,8825001
Wings,London,Greater London,8825001
Julian Jay Savarin,London,Greater London,8825001
Alternative TV,London,Greater London,8825001
Talk Talk,London,Greater London,8825001
Death Goals,London,Greater London,8825001
Anna Calvi,London,Greater London,8825001
Necro Deathmort,London,Greater London,8825001
2:54,London,Greater London,8825001
Alien Sex Fiend,London,Greater London,8825001
Hadouken!,London,Greater London,8825001
Years Of Rice and Salt,London,Greater London,8825001
My Vitriol,London,Greater London,8825001
Sleep Token,London,Greater London,8825001
The Antichrist Imperium,London,Greater London,8825001
bar italia,London,Greater London,8825001
Visage,London,Greater London,8825001
Spooky Tooth,London,Greater London,8825001
Thunder,London,Greater London,8825001
Katie Melua,London,Greater London,8825001
Psychic TV,London,Greater London,8825001
Million Dead,London,Greater London,8825001
Renaissance,London,Greater London,8825001
The Duke Spirit,London,Greater London,8825001
The Last Dinner Party,London,Greater London,8825001
Daisy Chainsaw,London,Greater London,8825001
Ultravox,London,Greater London,8825001
Television Personalities,London,Greater London,8825001
Pentangle,London,Greater London,8825001
Wargasm,London,Greater London,8825001
Asian Dub Foundation,London,Greater London,8825001
Emmy the Great,London,Greater London,8825001
Foetus,London,Greater London,8825001
HMLTD,London,Greater London,8825001
Cat's Eyes,London,Greater London,8825001
Miroist,London,Greater London,8825001
Art Bears,London,Greater London,8825001
Rare Bird,London,Greater London,8825001
Lush,London,Greater London,8825001
Tellison,London,Greater London,8825001
Nova Twins,London,Greater London,8825001
Marika Hackman,London,Greater London,8825001
Acoustic Ladyland,London,Greater London,8825001
Manfred Mann's Earth Band,London,Greater London,8825001
Tat,London,Greater London,8825001
TRC,London,Greater London,8825001
Cymande,London,Greater London,8825001
Gnidrolog,London,Greater London,8825001
Pete Townshend,London,Greater London,8825001
Greenslade,London,Greater London,8825001
Death in June,London,Greater London,8825001
Clouds,London,Greater London,8825001
Anderson Bruford Wakeman Howe,London,Greater London,8825001
Urne,London,Greater London,8825001
Gillan,London,Greater London,8825001
Caroline,London,Greater London,8825001
Tapir!,London,Greater London,8825001
Phil Collins,London,Greater London,8825001
Osibisa,London,Greater London,8825001
Chapel Club,London,Greater London,8825001
Elvis Costello,London,Greater London,8825001
Pet Shop Boys,London,Greater London,8825001
Savages,London,Greater London,8825001
Eurythmics,London,Greater London,8825001
Noisettes,London,Greater London,8825001
3 Colours Red,London,Greater London,8825001
Piano Magic,London,Greater London,8825001
Cutting Pink With Knives,London,Greater London,8825001
The Kills,London,Greater London,8825001
Exit North,London,Greater London,8825001
Monuments,London,Greater London,8825001
Placebo,London,Greater London,8825001
Years and Years,London,Greater London,8825001
Cutting Crew,London,Greater London,8825001
Melt Yourself Down,London,Greater London,8825001
Tunng,London,Greater London,8825001
Demon Fuzz,London,Greater London,8825001
The Big Pink,London,Greater London,8825001
Spector,London,Greater London,8825001
The Libertines,London,Greater London,8825001
Florence and the Machine,London,Greater London,8825001
The Pretty Things,London,Greater London,8825001
The Jim Jones Revue,London,Greater London,8825001
23 Skidoo,London,Greater London,8825001
The Crazy World of Arthur Brown,London,Greater London,8825001
The Jimi Hendrix Experience,London,Greater London,8825001
40 Watt Sun,London,Greater London,8825001
The Kinks,London,Greater London,8825001
AxeWound,London,Greater London,8825001
Noah and the Whale,London,Greater London,8825001
Bad Company,London,Greater London,8825001
Spice Girls,London,Greater London,8825001
Asia,London,Greater London,8825001
Comus,London,Greater London,8825001
Biomechanical,London,Greater London,8825001
Wire,London,Greater London,8825001
Siouxsie and the Banshees,London,Greater London,8825001
The King Blues,London,Greater London,8825001
Derek and the Dominos,London,Greater London,8825001
Indesinence,London,Greater London,8825001
Shopping,London,Greater London,8825001
Nucleus (UK),London,Greater London,8825001
Echo Lake,London,Greater London,8825001
Coldplay,London,Greater London,8825001
Big Audio Dynamite,London,Greater London,8825001
Cherubs,London,Greater London,8825001
Klaxons,London,Greater London,8825001
Add N to,London,Greater London,8825001
The Raven Age,London,Greater London,8825001
