city,state,population
London,Greater London,8825001
Birmingham,West Midlands,1137100
Newcastle,North East,879996
Leeds,West Yorkshire,789194
Glasgow,Alba / Scotland,633120
Manchester,Greater Manchester,547627
Sheffield,South Yorkshire,518090
Liverpool,Liverpool City Region,513441
Edinburgh,City of Edinburgh,488050
Bristol,West of England,463400
Coventry,West Midlands,362690
Caerdydd,Cymru / Wales,361469
Belfast,County Antrim,333871
Leicester,England,329839
Nottingham,East Midlands,321500
Southampton,Southampton,269781
Plymouth,Devon,267918
Kingston upon Hull,England,260200
Wolverhampton,West Midlands,250970
Stoke-on-Trent,Stoke-on-Trent,249008
Derby,East Midlands,248700
Abertawe,Cymru / Wales,245508
Portsmouth,Portsmouth,238800
Reading,Oxfordshire,230046
Luton,Luton,213052
Milton Keynes,City of Milton Keynes,207057
Islington,England,206125
Norwich,Norfolk,195971
Swindon,Wiltshire,192599
Croydon,England,192064
Basildon,Essex,185900
Bournemouth,England,183491
Ipswich,Suffolk,180000
Sunderland,North East,174286
Warrington,Warrington,165456
Huddersfield,England,162949
York,York and North Yorkshire,153717
Oxford,Oxfordshire,152000
Harrow,Greater London,149246
Dundee,Alba / Scotland,148270
Middlesbrough,Tees Valley,140545
Blackpool,England,139305
Brighton,England,134293
Enfield,England,132640
Tottenham,England,129237
Bolton,Greater Manchester,128139
Newport,Newport,128060
Exeter,Devon,124180
Solihull,West Midlands,123187
Romford,England,122854
Preston,Lancashire,122719
High Wycombe,Buckinghamshire,120256
Cheltenham,Gloucestershire,116447
Colchester,Essex,111921
Chelmsford,Essex,111511
Doncaster,South Yorkshire,109805
Walthamstow,England,109424
Worthing,West Sussex,109120
Maidstone,Kent,107627
Basingstoke,England,107355
Crawley,West Sussex,106597
Stockport,Greater Manchester,105878
Salford,Greater Manchester,103886
Wigan,Greater Manchester,103608
Hounslow,England,103337
Eastbourne,East Sussex,101547
Worcester,Worcestershire,101328
Wakefield,West Yorkshire,99251
Lincoln,Lincolnshire,97541
Oldham,Greater Manchester,96555
Hemel Hempstead,England,94932
Bedford,England,92407
Barnsley,South Yorkshire,91297
Southport,England,90381
Watford,Hertfordshire,90301
Wembley,England,90045
Bath,West of England,88859
Hartlepool,England,88855
Birkenhead,England,88818
Grimsby,England,88243
Halifax,England,88134
Nuneaton,England,86552
Derry,Northern Ireland / Tuaisceart Éireann,85016
Ealing,England,85014
Saint Albans,Hertfordshire,82146
Chester,England,79645
Dudley,West Midlands,79379
Bury,Greater Manchester,78723
Brixton,England,78536
Mansfield,East Midlands,77551
Paisley,Alba / Scotland,77220
Guildford,Surrey,77057
South Shields,England,75337
Carlisle,Cumberland,75306
East Kilbride,Alba / Scotland,75120
Harrogate,England,73576
Burnley,Lancashire,73021
Burton upon Trent,England,72299
Lisburn,Northern Ireland / Tuaisceart Éireann,71465
Lowestoft,Suffolk,70945
Rugby,Warwickshire,70627
Wimbledon,England,68187
Walsall,West Midlands,67594
Ashford,Kent,67528
Washington,England,67085
Chingford,Greater London,66211
Torquay,England,65245
Feltham,England,63368
Stourbridge,England,63298
Rochester,Kent,62982
Woking,Surrey,62796
Wandsworth,England,61594
Widnes,Liverpool City Region,61464
Bangor,Northern Ireland / Tuaisceart Éireann,61011
Wallasey,England,60284
Barking,England,59068
Aylesbury,Buckinghamshire,58740
Halesowen,England,58135
Royal Tunbridge Wells,England,57772
Kettering,North Northamptonshire,56226
Hereford,Herefordshire,55955
Corby,North Northamptonshire,54927
Canterbury,Kent,54880
Keighley,West Yorkshire,53331
Dunfermline,Fife,53100
Hendon,England,52972
Brentwood,Essex,52586
Lancaster,Lancashire,52234
Macclesfield,Cheshire East,51482
Horsham,West Sussex,50934
Clacton-on-Sea,England,50548
Crosby,England,50044
Batley,England,49448
Wellingborough,England,49128
Eltham,England,48964
Morden,England,48233
Durham,North East,48069
Beckenham,England,46844
Wokingham,Berkshire,46745
Folkestone,Kent,46698
Welwyn Garden City,England,46619
Ayr,Alba / Scotland,46490
Kilmarnock,Alba / Scotland,46450
Hinckley,England,45249
Yeovil,Somerset,45000
Catford,England,44905
Wallsend,England,43826
Kingston upon Thames,England,43013
Middleton,England,42972
Greenock,Alba / Scotland,41990
Worksop,England,41820
Kirkby,Liverpool City Region,40472
