artist_id,master_id,main_release_id,release_country,artist,title,year,album_length,tracks,release_type,genres,styles,artist_profile
514808,3666645,3503643,US,Black 47,Live In New York City,1999,67.2,12,['Album'],['Rock'],['Alternative Rock'],"Black 47 was an American Celtic rock band from New York City, formed in 1989. Songs covering topics from the Northern Ireland conflict to civil rights and urban unrest in contemporary New York."
1711566,1415811,11932382,US,Angry Salad,Angry Salad,1999,41.07,10,['Album'],['Rock'],['Alternative Rock'],"Melodic alternative rock band, formed in Boston, Massachusetts, in 1993.
Lineup:
Bob Welhan - lead vocals
Hale Pulsifer - drums
Brian Vesco - bass guitar
Alex Grossi - guitar "
2606155,0,5094816,US,Roundhead (2),Creature Comfort,1999,0.0,10,['Album'],['Rock'],['Alternative Rock'],
373620,0,7264026,US,Betty (4),Betty3,1999,56.07,13,['Album'],['Rock'],['Alternative Rock'],
344639,82601,788009,US,Marcy Playground,Shapeshifter,1999,46.08,17,"['Album', 'Enhanced']",['Rock'],"['Alternative Rock', 'Acoustic', 'Grunge']","An American alternative rock from Minneapolis, Minnesota. "
3421895,0,6411338,US,Once For Kicks,Get Up An Antenna,1999,0.0,9,['Album'],['Rock'],['Alternative Rock'],Seattle rock band.
2121991,0,2706721,US,Hi-Fi Drowning,Narci Darvish,1999,50.32,11,['Album'],['Rock'],['Alternative Rock'],Rock band from Dallas
548551,1382284,3743232,US,Collapsis,Dirty Wake,1999,47.75,12,['Album'],['Rock'],['Alternative Rock'],"US Alternative Rock band from Chapel Hill, NC."
125054,135354,739800,Canada,Our Lady Peace,Happiness... Is Not A Fish That You Can Catch,1999,43.38,11,['Album'],['Rock'],['Alternative Rock'],"Our Lady Peace, colloquially OLP, is a Canadian alternative rock band founded in Toronto in 1992. Consisting of [a=Raine Maida] (vocals), [a=Duncan Coutts] (bass), and [a=Steve Mazur] (guitar). Until 2001, guitarist and founding member [a=Mike Turner (2)], was a member of the band. Long time drummer [a=Jeremy Taggart] left the band in June 2014."
660432,0,4815132,US,Ledenhed,Central Nervous System,1999,0.0,12,['Album'],['Rock'],['Alternative Rock'],
1353069,0,16248629,US,Speedway (4),Speedway,1999,0.0,10,['Album'],['Rock'],['Alternative Rock'],
305256,1660229,4502275,US,Jay Aston,Jezebel,1999,0.0,10,['Album'],['Rock'],[],
3592371,750689,5190520,US,Virgos Merlot,Signs Of A Vacant Soul,1999,45.63,12,"['HDCD', 'Album']",['Rock'],['Alternative Rock'],"Virgos Merlot was an American hard rock band formed in 1998. Prior to the formation of Virgos Merlot, many of the band members were in the group The Devine, which later disbanded. After formation, their first album, Signs of a Vacant Soul, was released in 1999. The original lineup disbanded after the release of Signs of a Vacant Soul, with the band later reforming without guitarist Jason Marchant. During this period, they were known simply as Virgos and self-released an album, The Path of Least Resistance. Virgos disbanded in 2002."
10464640,0,21402361,US,Left For Dead (9),Buzzard's Banquet,1999,33.7,8,['Album'],['Rock'],['Alternative Rock'],
14124304,0,29648515,US,The Zulu Dawn,Thirteenth Hour,1999,65.35,16,['Album'],['Rock'],['Alternative Rock'],"Alt rock band from the Pittsburgh, PA area."
2776978,0,7349984,US,Erick Newbill,Frozen Soul,1999,0.0,10,['Album'],['Rock'],['Alternative Rock'],American singer and guitarist
7531495,0,32444184,US,Elm FoOy,High Blood Pressure Cowboy,1999,0.0,10,['Album'],['Rock'],['Alternative Rock'],"Alternative rock band from Dallas, Texas.
Members included Mike Stoner, JT Ward and Matt Gillispie, who later formed the band Death Stairs."
12167632,0,25326094,US,Jacobs Well (3),Within The Circle ,1999,0.0,12,['Album'],['Rock'],['Alternative Rock'],
5654795,0,13417369,US,Cider (3),Dolls,1999,0.0,6,['Album'],['Rock'],['Alternative Rock'],
137516,65526,31941523,US,Live,The Distance To Here,1999,56.07,13,['Album'],['Rock'],['Alternative Rock'],"Live (/laɪv/, often typeset as LĪVE or +LĪVE+) is an American rock band from York, Pennsylvania, consisting of Ed Kowalczyk (lead vocals, lead guitar, rhythm guitar), Chad Taylor (lead guitar), Patrick Dahlheimer (bass), and Chad Gracey (drums).

Live achieved worldwide success with their 1994 album Throwing Copper, which sold eight million copies in the U.S. The band had a string of hit singles in the mid-1990s including ""Lightning Crashes"", which stayed at the top of the Billboard Hot Mainstream Rock Tracks chart for 10 consecutive weeks and the Modern Rock Tracks (now Alternative Songs) chart for nine weeks from February 25 to April 22, 1995. The band has sold over 20 million albums worldwide. Their last three studio albums fared only moderately well in the U.S., but they continued to enjoy success in the Netherlands, South Africa, Australia, and Brazil.

When touring, Live has used additional musicians, including Ed Kowalczyk's younger brother Adam, British keyboardist Michael ""Railo"" Railton, rhythm guitarist Christopher Thorn of Blind Melon, and guitarist Zak Loy of Alpha Rev, Dames Violent and Mothers Anthem.

On November 30, 2009, Taylor revealed that what had initially been termed a two-year hiatus was more likely the end of the band. An acrimonious split soon occurred, with Kowalczyk leaving the band. However, Live continued with singer Chris Shinn and released the album The Turn in October 2014. Kowalczyk rejoined the band in December 2016 and in 2018 they released a new EP ""Local 717"". In 2022, Kowalcyzk, Gracey and Dahleimer announced that Guitarist Chad Taylor was fired from the band. Currently, Ed Kowalczyk is the only original member in the band."
131497,3468634,2248705,US,Gene Loves Jezebel,Live In The Voodoo City,1999,73.77,13,['Album'],['Rock'],['Alternative Rock'],"Formed : 1980 // Porthcawl, Wales, United Kingdom 
Note: There are currently two different groups called Gene Loves Jezebel, each fronted by one of the Aston brothers. Jay owns the copyright to the name in the UK, Michael owns the copyright in the US.
"
269692,0,8486842,US,Bitch And Animal,What's That Smell?,1999,36.85,13,['Album'],['Rock'],['Alternative Rock'],
5162975,2375953,20946223,Japan,Hot Sauce Johnson,Truck Stop Jug Hop,1999,0.0,12,"['Album', 'Promo']",['Rock'],['Alternative Rock'],
2736,151740,980445,Germany,Consolidated,Tikkun - Survivor Demos,1999,53.25,12,['Album'],['Rock'],['Alternative Rock'],"Formed: 1988, USA.

Politically active band that combined confrontational left-wing politics with self-deprecating humour and a sound that encompassed elements of hip-hop, hard rock, funk, industrial and dance music.
"
11323163,0,7220034,US,Unveiled (6),Youth Music,1999,48.83,11,['Album'],['Rock'],['Alternative Rock'],"A project led by Sean Patrick Doty of [a3034754], backed by members of [a323396]."
2552421,0,5614570,US,Banjo Spiders,The Banjo Spiders,1999,34.75,11,['Album'],['Rock'],['Alternative Rock'],
3441031,0,4864677,US,Fuzzy Comets,Strong Man,1999,50.12,13,['Album'],['Rock'],['Alternative Rock'],
13724035,0,28772569,US,Action Figures (6),Action Figures,1999,0.0,7,['Album'],['Rock'],['Alternative Rock'],
4456930,0,7126977,US,Sally Firecracker,Movies In May,1999,51.75,12,['Album'],['Rock'],['Alternative Rock'],
87642,51731,1324283,US,Stone Temple Pilots,Nº4,1999,42.32,11,['Album'],['Rock'],['Alternative Rock'],"Alternative hard rock / grunge band formed in 1986 in San Diego, California. Active 1986 - 2003, then reformed in 2008.
Previously known as ""Mighty Joe Young"", changed the name (inspired by the STP Motor Oil stickers that the band members were fans of in their youth) after signing up a contract with Atlantic to release their debut album [m=51717].
"
15158650,0,32916933,US,Tom's House,Re.Wired,1999,0.0,16,['Album'],['Rock'],['Alternative Rock'],"US pop rock band from New Orleans, Louisiana."
7144005,0,31600057,US,Candyass (2),Love Dizzy,1999,37.4,10,['Album'],['Rock'],['Alternative Rock'],"San Fransico band featuring Steve “Spit” Spingola (The Fontanelles, Outer Circle) and East Bay Ray (Dead Kennedys)."
63486,683709,5572190,US,"10,000 Maniacs",The Earth Pressed Flat,1999,55.52,14,['Album'],['Rock'],['Alternative Rock'],"American alternative rock band founded in 1981 in Jamestown, New York."
2052205,0,12166298,US,Shapeshifter (7),Opiate Sea,1999,0.0,10,['Album'],['Rock'],['Alternative Rock'],"Alternative rock/pop band from Portland, OR."
264857,0,19208230,US,Tidewater Grain,"Tomorrow The World, Today The Rent",1999,0.0,9,['Album'],['Rock'],['Alternative Rock'],
7443756,0,14301054,US,Lawnboy (2),Gas Grass Or Ass,1999,0.0,8,['Album'],['Rock'],['Alternative Rock'],
7248024,0,13837593,US,Godboy (2),"Soft Jaws, Sweet Teeth",1999,0.0,20,['Album'],['Rock'],['Alternative Rock'],
14355140,0,30196730,US,Sons Of Levi (2),Behind The Mask,1999,0.0,13,['Album'],['Rock'],['Alternative Rock'],
7226531,0,13787900,US,Last December,Without Wings,1999,49.65,14,['Album'],['Rock'],['Alternative Rock'],
