artist,city,state,population
The Damned Things,New York,New York,18713220
Darwin Deez,New York,New York,18713220
Havohej,New York,New York,18713220
Zeal and Ardor,New York,New York,18713220
Alora Crucible,New York,New York,18713220
Winter,New York,New York,18713220
Luna,New York,New York,18713220
The Felice Brothers,New York,New York,18713220
Lightning Bug,New York,New York,18713220
The Rapture,New York,New York,18713220
Cactus,New York,New York,18713220
Damn Yankees,New York,New York,18713220
Chavez,New York,New York,18713220
Wooden Wand,New York,New York,18713220
"Blood, Sweat and Tears",New York,New York,18713220
Trade Wind,New York,New York,18713220
Harlem Shakes,New York,New York,18713220
Edenic Past,New York,New York,18713220
PainKiller,New York,New York,18713220
Regina Spektor,New York,New York,18713220
Mice Parade,New York,New York,18713220
Enon,New York,New York,18713220
Handsome,New York,New York,18713220
Flourishing,New York,New York,18713220
Common Holly,New York,New York,18713220
OSI,New York,New York,18713220
Iapetus,New York,New York,18713220
Funeral Leech,New York,New York,18713220
Acid Tiger,New York,New York,18713220
Son Lux,New York,New York,18713220
The Psychic Paramount,New York,New York,18713220
Electric Masada,New York,New York,18713220
Burn,New York,New York,18713220
Ash Pool,New York,New York,18713220
Killing Time,New York,New York,18713220
Aix Em Klemm,New York,New York,18713220
Ex Eye,New York,New York,18713220
Saetia,New York,New York,18713220
Attila (NY),New York,New York,18713220
H2O,New York,New York,18713220
Pyrexia,New York,New York,18713220
The Gun Club,Los Angeles,California,12750807
Crystal Fairy,Los Angeles,California,12750807
Say Anything,Los Angeles,California,12750807
Alcatrazz,Los Angeles,California,12750807
Eagles,Los Angeles,California,12750807
Armored Saint,Los Angeles,California,12750807
E.S. Posthumus,Los Angeles,California,12750807
X,Los Angeles,California,12750807
Giant Drag,Los Angeles,California,12750807
Dommin,Los Angeles,California,12750807
Fear,Los Angeles,California,12750807
Army of Anyone,Los Angeles,California,12750807
Metallica,Los Angeles,California,12750807
Silversun Pickups,Los Angeles,California,12750807
Blind Melon,Los Angeles,California,12750807
Spirit,Los Angeles,California,12750807
Girlpool,Los Angeles,California,12750807
Viking,Los Angeles,California,12750807
Street Sweeper Social Club,Los Angeles,California,12750807
Sky Ferreira,Los Angeles,California,12750807
Terror,Los Angeles,California,12750807
Saviour Machine,Los Angeles,California,12750807
Edward Sharpe and the Magnetic Zeros,Los Angeles,California,12750807
Silent Civilian,Los Angeles,California,12750807
Saccharine Trust,Los Angeles,California,12750807
The Wallflowers,Los Angeles,California,12750807
Bachelor,Los Angeles,California,12750807
Spanish Love Songs,Los Angeles,California,12750807
Deconstruction,Los Angeles,California,12750807
Vengeance Rising,Los Angeles,California,12750807
Euphoric Defilement,Los Angeles,California,12750807
Bad Religion,Los Angeles,California,12750807
The Doors,Los Angeles,California,12750807
Tool,Los Angeles,California,12750807
Palms,Los Angeles,California,12750807
Guns N' Roses,Los Angeles,California,12750807
Concrete Blonde,Los Angeles,California,12750807
Weezer,Los Angeles,California,12750807
Hexen,Los Angeles,California,12750807
The Airborne Toxic Event,Los Angeles,California,12750807
Dead By Sunrise,Los Angeles,California,12750807
Lifehouse,Los Angeles,California,12750807
Arkaea,Los Angeles,California,12750807
Glass Beach,Los Angeles,California,12750807
Captain Beyond,Los Angeles,California,12750807
As Blood Runs Black,Los Angeles,California,12750807
The Submarines,Los Angeles,California,12750807
Racer X,Los Angeles,California,12750807
Faster Pussycat,Los Angeles,California,12750807
Grant Lee Buffalo,Los Angeles,California,12750807
Poppy,Los Angeles,California,12750807
Jakob Dylan,Los Angeles,California,12750807
Badlands,Los Angeles,California,12750807
Spinal Tap,Los Angeles,California,12750807
45 Grave,Los Angeles,California,12750807
Collide,Los Angeles,California,12750807
Iress,Los Angeles,California,12750807
Spinnerette,Los Angeles,California,12750807
Maroon 5,Los Angeles,California,12750807
