album_id,artist,title,rating,votes,artist_id,master_id,main_release_id,release_country,year,album_length,tracks,release_type,genres,styles,artist_profile
53,Dream Theater,Train of Thought,3.87,2670,260935.0,52100,432029,US,2003,69.35,7,"['Album', 'Enhanced']",['Rock'],"['Progressive Metal', 'Symphonic Metal']","American progressive metal band, formed in Boston, Massachusetts, USA in 1985."
54,A Perfect Circle,Thirteenth Step,4.01,3188,242802.0,20878,1145179,Europe,2003,50.52,12,"['Album', 'Copy Protected']",['Rock'],"['Alternative Rock', 'Prog Rock']","Alternative rock band founded during 1999 in Los Angeles, California, USA."
67,Black Sabbath,Paranoid,4.52,5144,144998.0,302,696772,UK,1970,0.0,8,"['LP', 'Album']",['Rock'],"['Hard Rock', 'Heavy Metal']","Considered by many to be the first heavy metal band, Black Sabbath was formed in 1968 by [a=Tony Iommi], [a=Ozzy Osbourne], [a=Geezer Butler] and [a=Bill Ward] in Birmingham, UK.
The band's original name was the [b]Polka Tulk Blues Band[/b] (later shortened to Polka Tulk) and later on changed to [b][a=Earth (12)][/b] before becoming [b]Black Sabbath[/b] inspired by an Italian horror movie of the same name.

The original line-up lasted until 1979, after which Osbourne was fired and replaced by [a=Ronnie James Dio]. The line-up changes would continue, with no line-up remaining intact for consecutive studio releases. Throughout the changes, only Tony Iommi and keyboardist [a=Geoff Nicholls], who also joined the band in 1979, would remain with Black Sabbath, although Nicholls would not always be credited as a full member. In 1997, Iommi, Butler, Ward, and Osbourne reunited, touring and releasing a live album in 1998, although a long-rumored studio release did not appear (the group attempted to record a new album in 2001 with producer [a=Rick Rubin] but the sessions were scrapped). After that, the group periodically reunited to tour with Ozzy's ""Ozzfest"" tour. In 2004, longtime keyboardist Geoff Nicholls was replaced by [a=Adam Wakeman] for an Ozzfest tour. No reason was given for the replacement. In 2006, the original line-up was inducted into the Rock 'n' Roll Hall Of Fame.

In 2007, Tony Iommi, Geezer Butler, Ronnie James Dio, and drummer [a=Vinny Appice] (who were featured on 1981's ""Mob Rules"" and 1992's ""Dehumanizer"") announced that they would tour together as [a=Heaven & Hell (2)] (with Iommi, who owns the Black Sabbath name, deciding to keep the Black Sabbath name solely for the original line-up in light of their Rock 'n' Roll HOF induction) to support a Dio-era greatest hits release, which also featured 3 new Dio/Iommi compositions. A brand new live album was released under the Heaven & Hell name that same year, followed by a studio album in 2009.

In 2009, Osbourne sued Iommi over control of the Black Sabbath name.  The lawsuit was settled the following year.  In late 2011, it was announced that the original line-up would be recording and touring.  Shortly, afterward, Bill Ward dropped out, stating he had been given a contract that was ""unsignable"".  The three remaining members opted to continue without him.  In 2013, the band released ""13"", their first studio album with Osbourne in 34 years.  The band played their final live show in Birmingham, UK, on February 4, 2017.  Although the band has announced that full-scale touring is done, Tony Iommi has stated that the door is still open for future music and possible live appearances. During the years 1968 to 2017, Black Sabbath has recorded 19 studio albums.

Line-Ups:
Guitar:
[a=Tony Iommi] - 1968-2017

Vocals:
[a=Ozzy Osbourne] - 1968-1977, 1978-1979, 1997-2017
[a=Dave Walker (6)] - 1977-1978 (rehearsals and a TV appearance only)
[a=Ronnie James Dio] - 1979-1982, 1991-1992
[a=Ian Gillan] - 1983-1984
[a=Glenn Hughes] - 1985-1986
[a=Ray Gillen] - 1986-1987 (live only)
[a=Tony Martin] - 1987-1991, 1993-1996
[a=Rob Halford] - (live only) - replaced [a=Ronnie James Dio] in 1992 (November 14 and 15)  and filling in for a sick [a=Ozzy Osbourne] in 2004 (August 26), hit by a bronchitis crisis during [l3432481]

Bass:
[a=Geezer Butler] - 1968-1984, 1991-1994, 1997-2017
[a=Craig Gruber] - 1979 (rehearsals only while Butler contemplated leaving the band, the extent of his participation has been disputed)
[a=Gordon Copley] -1985 (rehearsals and one studio track only)
[a=Dave Spitz] ""The Beast""  - 1985-1986, 1987 (live appearances only in 1987)
[a=Bob Daisley] - 1987 (studio only)
[a=Jo Burt] - 1987 (live only)
[a=Laurence Cottle] - 1988 (studio only)
[a=Neil Murray] - 1989-1992, 1995-1996

Drums:
[a=Bill Ward] - 1968-1980, 1983 (studio only in 1983), 1994 (live appearances), 1997-2011
[a=Vinny Appice] - 1981-1982, 1991-1992, 1998 (live only in 1998, filling in for a sick Bill Ward)
[a=Bev Bevan] - 1983-1984, 1987 (live only)
[a=Eric Singer] - 1985-1987
[a=Terry Chimes] - 1987-1988 (live only)
[a=Cozy Powell] - 1988-1991, 1994-1995
[a=Bobby Rondinelli] - 1993-1994, 1995 (live appearances only in 1995)
[a=Mike Bordin] - 1997 (live only, not a full member)
[a=Brad Wilk] - 2013 (studio only, not a full member)
[a=Tommy Clufetos] - 2012-2017 (live only, not a full member)

Keyboards:
[a=Rick Wakeman] - 1973 (studio only, not a full member)
[a=Jezz Woodroffe] - ?-1977 (not a full member)
[a=Don Airey] - 1978 (not a full member)
[a=Geoff Nicholls] - 1979-2004
[a=Adam Wakeman] - 2004-2017 (live only, not a full member)"
68,Raised Fist,Dedication,3.99,88,253136.0,242289,748669,Europe,2002,35.4,11,['Album'],['Rock'],"['Hardcore', 'Punk', 'Metalcore']","Hardcore punk/metalcore band from Luleå, Sweden, formed in 1993.
"
72,Rise Against,Revolutions per Minute,3.97,1600,263017.0,187761,383394,US,2003,37.82,13,['Album'],['Rock'],"['Melodic Hardcore', 'Punk']","Chicago, Illinois based political punk rock band with a traditional hardcore influence. The band was formed in 1999 by Joe Principe (ex. 88 Fingers Louie) and fronted by vocalist, Tim Mcllrath. Originally 88 Fingers Louie member Dan Precision was on guitar but eventually left the band and was replaced by Chris Chasse, (ex. Reach The Sky)They released 2 albums on Fat Wreck Chords before signing to Geffen Records in 2003 and making their major label debut in 2004."
78,Streetlight Manifesto,Everything Goes Numb,4.35,1857,1029887.0,305405,1214316,US,2003,55.05,12,['Album'],['Rock'],"['Alternative Rock', 'Punk', 'Ska']","A ska punk band from New Brunswick, New Jersey, lead by former [a=Catch Twenty-Two] member Tomas Kalnoky.
Formed in 2002 by several artists from [a=Bandits Of The Acoustic Revolution] as well as some other musicians.
In September 2004, founding member [a=Josh Ansley] announced his departure to pursue an acting career.
In January 2005 left another founding member, [a=James Egan].


Current members:
    Tomas Kalnoky – lead vocals, guitar (2002–present)
    Matt Stewart – trumpet, backing vocals (2007–present)
    Nadav Nirenberg - trombone, backing vocals (2010–present)
    Jim Conti – vocals, tenor and alto saxophone (2002–present)
    Mike Brown – baritone and alto saxophone, backing vocals (2005–present)
    Pete McCullough – bass, backing vocals (2006–present)
    Chris Thatcher – drums (2003–present)


Former members:
    Jamie Egan - trumpet, trombone (2002-2005)
    Delano Bonner - trumpet (2005-2007)
    Mike Soprano - trombone, backing vocals (2003-2010)
    Pete Sibilia - tenor saxophone (2002)
    Dan Ross - baritone saxophone and alto saxophone (2002-2005)
    Josh Ansley - bass (2002-2004)
    Chris Paszik - bass (2004-2006)
    Stuart Karmatz - drums (2002)
    Paul Lowndes - drums (2002-2003)
"
82,Metallica,St. Anger,1.97,6326,18839.0,6607,588888,US,2003,156.32,24,"['Album', 'Enhanced']",['Rock'],['Heavy Metal'],"Thrash Metal (Heavy Metal) band from Los Angeles, California (USA).

Metallica formed in 1981 by vocalist/guitarist [a251874] and drummer [a251550].  The duo first met through an ad in a Los Angeles-based music newspaper.  At the time, Ulrich had little musical experience and no band but managed to secure a slot on an upcoming compilation record called “[m=63482]”.   Metallica’s contribution, “Hit The Lights”, featured Hetfield, Ulrich and lead guitarist [a648330].  Afterwards, [a509874] became the band's bassist and [a251808] joined the band as lead guitarist.  This line-up would re-record ""Hit The Lights"" for subsequent re-pressings of ""Metal Massacre"" and would also issue several demos.  In 1983, McGovney quit the group and was replaced by [a364982], which also saw the band relocate to San Francisco.  Metallica then traveled to New York after signing a deal with [l=Megaforce Records].  However, once in New York, the band fired Mustaine.  It would mark the beginning of a long feud between Mustaine and Metallica, mostly fueled by remarks Mustaine would make to the press.  Mustaine was replaced by Kirk Hammett of [a=Exodus (6)].

Metallica's debut LP, ""Kill 'Em All"", was released in 1983.  It was followed in 1984 by ""Ride The Lightning"".  This led to a major label deal with [l=Elektra].  In 1986, the band released ""Master Of Puppets"", which is considered by many to be one of the greatest heavy metal records of all time.  In September of that year, while on tour in Sweden, the band was involved in a bus accident which took the life of Cliff Burton.  Eventually, [a390503] (of [a=Flotsam And Jetsam]) was hired as the band's new bassist and he made his debut on 1987's ""Garage Days Re-Revisited"", an EP of cover tunes.  The full-length ""...And Justice For All"" followed in 1988, featuring the track ""One"" which was chosen as the subject for their first promotional music video.

In 1990, Metallica hooked up with producer [a=Bob Rock] for a self-titled release that would become better known as ""The Black Album"", due to its cover art. Released in 1991, the black album would become one of the best-selling rock albums of all time, selling over 16 million copies in the US alone.

In 1996, the band experimented with Rock music style Alternative Rock, this could be heard on the album ""Load"".  The following year, ""Reload"" appeared which had the similiar formula as ''Load''. The albums continued the band’s trend of more accessible music.  In 1999, the group released an album and accompanying film called ""S&M"", which featured Metallica performing their songs with the San Francisco Symphony Orchestra.

In 2001, as the band was preparing to begin work on a new album, Newsted quit the group, citing personal and musical reasons.  Work on the new album was further complicated when Hetfield entered rehab for alcohol abuse.  The album, called ""St. Anger"", was eventually completed in 2003 with producer Bob Rock handling the bass.  Upon its release, ""St. Anger"" drew mostly negative reviews.  Following the recording, Robert Trujillo, formerly of [a=Suicidal Tendencies], was hired as bassist.  The making of the album was captured in the documentary “Some Kind Of Monster”.

In 2008, ""Death Magnetic"", produced by [a=Rick Rubin], would surface and was hailed by many as Metallica's return to thrash metal.  The following year, Metallica was inducted into Rock And Roll Hall of Fame.  Former bassist Jason Newsted was present and Cliff Burton's father appeared on Cliff's behalf.  Dave Mustaine, who was not inducted, was invited to the ceremony by the band but declined to attend.  In 2011, Metallica collaborated with [a=Lou Reed] on the album, “Lulu”, which was largely panned by critics and ignored by consumers.

Winner of 9 Grammy Awards:
- Best Metal Performance for One on [m=6571]
- Best Metal Performance for Stone Cold Crazy on [m=63484]
- Best Metal Performance for [m=6651]
- Best Metal Performance for Better Than You on [m=8879]
- Best Hard Rock Performance for Whiskey In The Jar on [m=26984]
- Best Rock Instrumental Performance for The Call Of Ktulu on [m=8928]
- Best Metal Performance for St. Anger on [m=6607]
- Best Metal Performance for My Apocalypse on [m=8956]
- Best Metal Performance for 72 Seasons on [m=3054827]"
85,The Flower Kings,The Rainmaker,3.53,34,267071.0,101505,5340229,US,2001,77.03,11,['Album'],['Rock'],['Prog Rock'],"Symphonic progressive rock outfit from Sweden, formed in 1993 by [a=Roine Stolt] as a touring band to support his solo album [i]The Flower King[/i].

Current line-up:
● Hasse Fröberg – vocals, guitar
● Roine Stolt – guitar, vocals
● Lalle Larsson – keyboards
● Michael Stolt – bass
● Mirko DeMaio – drums

Former members are: [a=Jonas Reingold] (bass), [a=Jaime Salazar] (drums), [a=Marcus Liliequist] (drums), [a=Zoltan Csörsz] (drums), [a=Felix Lehrmann] (drums), [a=Tomas Bodin] (keyboards), [a=Zach Kamins] (keyboards) and [a=Daniel Gildenlöw] (vocals, guitars, keyboards); other regular contributors are [a=Ulf Wallander] (saxophone) and [a=Hasse Bruniusson] (percussion). Other guest musicians include [a=Pat Mastelotto] (drums), [a=Erik Hammarström] (drums), [a1468371] (vocals, keyboards, guitar), [a=Aliaksandr Yasinski] (Accordion), [a=Marjana Semkina] (vocals) and [a=Daniel Lantz] (keyboards)."
94,Revis,Places For Breathing,3.97,73,262617.0,657012,754415,US,2003,41.08,13,"['Album', 'Stereo']",['Rock'],"['Alternative Rock', 'Grunge']","Revis was a post-grunge rock band from Carbondale, IL created in 2002. They released one major label album before disbanding in 2005.

Members:
Justin Holman (Vocals)
Robert Davis (Guitar)
Nathaniel Cox (Guitar)
David Piribauer (Drums)
Bob Thiemann (Bass)
"
124,From Autumn to Ashes,Too Bad You're Beautiful,3.62,402,252171.0,126544,480660,US,2001,47.85,10,"['Album', 'Stereo']",['Rock'],"['Hardcore', 'Emo']","Melodic hardcore/rock band formed in Long Island, USA in 2000. They released 4 albums (3 of which entered the us-american charts) as well as a few ep's and a live-album. In 2008 the band was put on ""indefinite hiatus""."
