city,state,population
New York,New York,18713220
Los Angeles,California,12750807
Chicago,Illinois,8604203
Miami,Florida,6445545
Dallas,Texas,5743938
Philadelphia,Pennsylvania,5649300
Houston,Texas,5464251
Atlanta,Georgia,5449398
Washington,District of Columbia,5379184
Boston,Massachusetts,4688346
Phoenix,Arizona,4219697
Seattle,Washington,3789215
San Francisco,California,3592294
Detroit,Michigan,3506126
San Diego,California,3220118
Minneapolis,Minnesota,2977172
Tampa,Florida,2908063
Denver,Colorado,2876625
Brooklyn,New York,2559903
Queens,New York,2230722
Riverside,California,2107852
Baltimore,Maryland,2106068
Las Vegas,Nevada,2104198
Portland,Oregon,2074775
San Antonio,Texas,2049293
Sacramento,California,1898019
Orlando,Florida,1822394
San Jose,California,1798103
Cleveland,Ohio,1710093
Pittsburgh,Pennsylvania,1703266
Austin,Texas,1687311
Cincinnati,Ohio,1662691
Kansas City,Missouri,1636715
Manhattan,New York,1628706
Indianapolis,Indiana,1588961
Columbus,Ohio,1562009
Charlotte,North Carolina,1512923
Virginia Beach,Virginia,1478868
Bronx,New York,1418207
Milwaukee,Wisconsin,1365787
Providence,Rhode Island,1203230
Jacksonville,Florida,1181496
Salt Lake City,Utah,1098526
Nashville,Tennessee,1081903
Richmond,Virginia,1075798
Memphis,Tennessee,1066967
Raleigh,North Carolina,1038738
New Orleans,Louisiana,1020886
Louisville,Kentucky,1005654
Oklahoma City,Oklahoma,972943
Bridgeport,Connecticut,924449
Buffalo,New York,914341
Fort Worth,Texas,909585
Hartford,Connecticut,905152
Tucson,Arizona,888486
Omaha,Nebraska,847819
El Paso,Texas,843386
Honolulu,Hawaii,820987
McAllen,Texas,804114
Albuquerque,New Mexico,761195
Birmingham,Alabama,739573
Sarasota,Florida,722243
Dayton,Ohio,718353
Rochester,New York,703952
Fresno,California,703498
Allentown,Pennsylvania,683794
Tulsa,Oklahoma,671033
Cape Coral,Florida,668382
Concord,California,652308
Colorado Springs,Colorado,642413
Grand Rapids,Michigan,609314
Mission Viejo,California,590249
Albany,New York,586383
Knoxville,Tennessee,586048
Bakersfield,California,579295
Baton Rouge,Louisiana,570308
Akron,Ohio,565208
New Haven,Connecticut,564830
Columbia,South Carolina,560041
Mesa,Arizona,518012
Provo,Utah,500617
Worcester,Massachusetts,498328
Murrieta,California,496046
Greenville,South Carolina,484465
Wichita,Kansas,482249
Toledo,Ohio,482111
Staten Island,New York,476143
Des Moines,Iowa,473957
Long Beach,California,462628
Denton,Texas,457177
Reno,Nevada,445020
Harrisburg,Pennsylvania,442289
Little Rock,Arkansas,439815
Oakland,California,433031
Durham,North Carolina,424700
Winston-Salem,North Carolina,422269
Indio,California,417059
Palm Coast,Florida,417007
Chattanooga,Tennessee,415501
Spokane,Washington,412275
Syracuse,New York,404223
Lancaster,Pennsylvania,401524
Arlington,Texas,398854
Stockton,California,397264
Poughkeepsie,New York,394760
Augusta,Georgia,390809
Boise,Idaho,389280
Oxnard,California,387647
Scranton,Pennsylvania,384250
Modesto,California,383134
Fayetteville,Arkansas,351246
Anaheim,California,350365
Pensacola,Florida,346921
Victorville,California,346789
Greensboro,North Carolina,343090
Corpus Christi,Texas,342464
Fort Wayne,Indiana,334122
Santa Ana,California,332318
Flint,Michigan,332190
Santa Rosa,California,324634
Lansing,Michigan,324286
Ann Arbor,Michigan,322267
Henderson,Nevada,320189
Huntsville,Alabama,319249
Fort Collins,Colorado,312666
Asheville,North Carolina,312507
Santa Clarita,California,312446
Antioch,California,302419
Lakeland,Florida,302284
Trenton,New Jersey,290716
Lincoln,Nebraska,289490
Springfield,Missouri,288090
Anchorage,Alaska,288000
Plano,Texas,287677
Irvine,California,287401
Rockford,Illinois,282762
South Bend,Indiana,280498
Shreveport,Louisiana,280062
Savannah,Georgia,276295
Myrtle Beach,South Carolina,275579
Eugene,Oregon,273439
Canton,Ohio,269418
Lubbock,Texas,267648
Reading,Pennsylvania,267155
Winter Haven,Florida,267069
Lafayette,Louisiana,264357
Jersey City,New Jersey,262075
Scottsdale,Arizona,258069
Tallahassee,Florida,257601
Wilmington,North Carolina,255616
Montgomery,Alabama,254634
Gilbert,Arizona,254114
Glendale,Arizona,252381
Norfolk,Virginia,242742
Fremont,California,241110
Nashua,New Hampshire,233917
York,Pennsylvania,233184
Evansville,Indiana,230427
Avondale,Arizona,227289
Appleton,Wisconsin,220570
Bremerton,Washington,218400
Tacoma,Washington,217827
Kalamazoo,Michigan,215193
Thousand Oaks,California,215029
Fargo,North Dakota,208675
Green Bay,Wisconsin,207557
Santa Barbara,California,202401
Gainesville,Florida,202335
Olympia,Washington,200915
Yonkers,New York,200370
Huntington Beach,California,199223
Aurora,Illinois,197757
Tempe,Arizona,195805
Waco,Texas,192315
Salinas,California,190972
Sioux Falls,South Dakota,187239
Hagerstown,Maryland,184755
Erie,Pennsylvania,184484
Spartanburg,South Carolina,182701
Fort Lauderdale,Florida,182437
Murfreesboro,Tennessee,179951
High Point,North Carolina,179913
Newport News,Virginia,179225
Rancho Cucamonga,California,177603
Santa Cruz,California,176428
