city,region
A' Chill,Scotland
A' Chrìon Làraich,Scotland
A' Glas Pheighinn,Scotland
A' Mhointeach,Scotland
A' Phairce Dhubh,Scotland
Aaron's Hill,South East (England)
Ab Kettleby,East Midlands (England)
Ab Lench,West Midlands (England)
Abaty Cwm-hir,Wales
Abbas Combe,South West (England)
Abberley,West Midlands (England)
Abberton,East
Abberton,West Midlands (England)
Abberwick,North East (England)
Abbess Roding,East
Abbey,South West (England)
Abbey Dore,West Midlands (England)
Abbey End,West Midlands (England)
Abbey Fields,West Midlands (England)
Abbey Green,West Midlands (England)
Abbey Green,West Midlands (England)
Abbey Hulton,West Midlands (England)
Abbey Meads,South West (England)
Abbey Parks,Scotland
Abbey St Bathans,Scotland
Abbey Village,North West (England)
Abbey Wood,London
Abbeydale,South West (England)
Abbeydale,West Midlands (England)
Abbeydale,Yorkshire and The Humber
Abbeydale Park,Yorkshire and The Humber
Abbeyhill,Scotland
Abbeystead,North West (England)
Abbeytown,North West (England)
Abbot's Mead,North West (England)
Abbot's Salford,West Midlands (England)
Abbotrule,Scotland
Abbots Bickington,South West (England)
Abbots Bromley,West Midlands (England)
Abbots Langley,East
Abbots Leigh,South West (England)
Abbots Morton,West Midlands (England)
Abbots Ripton,East
Abbots Worthy,South East (England)
Abbotsbury,South West (England)
Abbotsbury,South West (England)
Abbotsford,South East (England)
Abbotsham,South West (England)
Abbotside,South West (England)
Abbotskerswell,South West (England)
Abbotsley,East
Abbotsmead,North West (England)
Abbotstone,South East (England)
Abbotswood,South East (England)
Abbotswood,South East (England)
Abbotswood,West Midlands (England)
Abbotts Ann,South East (England)
Abbotts Barton,South East (England)
Abcott,West Midlands (England)
Abdon,West Midlands (England)
Abenhall,South West (England)
Aber,Wales
Aber,Wales
Aber Pwll,Wales
Aber Rhaeadr,Wales
Aber-Arad,Wales
Aber-Clydach,Wales
Aber-Cywarch,Wales
Aber-Giâr,Wales
Aber-Tafol,Wales
Aber-banc,Wales
Aber-miwl,Wales
Aber-oer,Wales
Aberaeron,Wales
Aberaman,Wales
Aberangell,Wales
Aberargie,Scotland
Aberarth,Wales
Aberavon,Wales
Aberbargod,Wales
Aberbechan,Wales
Aberbeeg,Wales
Aberbran,Wales
Abercanaid,Wales
Abercarn,Wales
Abercastle,Wales
Abercegir,Wales
Aberchalder,Scotland
Aberchirder,Scotland
Aberchwiler,Wales
Abercorn,Scotland
Abercraf,Wales
Abercregan,Wales
Abercrombie,Scotland
Abercwmboi,Wales
Abercych,Wales
Abercynon,Wales
Aberdalgie,Scotland
Aberdare,Wales
Aberdaron,Wales
Aberdaugleddau,Wales
Aberdeen,Scotland
Aberdesach,Wales
Aberdour,Scotland
Aberdulais,Wales
Aberdyfi,Wales
Aberedw,Wales
Abererch,Wales
Aberfan,Wales
Aberfeldy,Scotland
Aberffraw,Wales
Aberffrwd,Wales
Aberford,Yorkshire and The Humber
Aberfoyle,Scotland
Abergarw,Wales
Abergarwed,Wales
Abergeirw,Wales
Abergeldie,Scotland
Abergele,Wales
Abergorlech,Wales
Abergwaun,Wales
Abergwesyn,Wales
Abergwili,Wales
Abergwynfi,Wales
Abergwyngregyn,Wales
Abergynolwyn,Wales
Aberhafesp,Wales
Aberhonddu,Wales
Aberhosan,Wales
Aberkenfig,Wales
Aberlady,Scotland
Aberlemno,Scotland
Aberllefenni,Wales
Aberllynfi,Wales
Abermagwr,Wales
Abermaw,Wales
Abermeurig,Wales
Abermorlais,Wales
Abernant,Wales
Abernant,Wales
Abernethy,Scotland
Abernyte,Scotland
Aberogwr,Wales
Aberpennar,Wales
Aberporth,Wales
Aberriw,Wales
Abersoch,Wales
Abersychan,Wales
Aberteifi,Wales
Aberthin,Wales
Abertridwr,Wales
Abertridwr,Wales
Abertyleri,Wales
Abertysswg,Wales
Aberuthven,Scotland
Aberyscir,Wales
Aberystwyth,Wales
Abhainn Suidhe,Scotland
Abingdon-on-Thames,South East (England)
Abinger Bottom,South East (England)
Abinger Common,South East (England)
Abinger Hammer,South East (England)
Abington,East Midlands (England)
Abington,Scotland
Abington Pigotts,East
Abington Vale,East Midlands (England)
Abingworth,South East (England)
Ablington,South West (England)
Ablington,South West (England)
Abney,East Midlands (England)
