artist,country,city,latitude,longitude,address
Sparta,United States,El Paso,31.7601164,-106.4870404,"El Paso, El Paso County, Texas, United States"
Muse,United Kingdom,Teignmouth,50.5463385,-3.4957798,"Teignmouth, Teignbridge, Devon, England, United Kingdom"
Finch,United States,Temecula,33.4946353,-117.147366,"Temecula, Riverside County, California, United States"
Transplants,United States,Los Angeles,34.0536909,-118.242766,"Los Angeles, Los Angeles County, California, United States"
Rooney,United States,Los Angeles,34.0536909,-118.242766,"Los Angeles, Los Angeles County, California, United States"
The Cure,United Kingdom,Crawley,51.1103444,-0.1801094,"Crawley, West Sussex, England, United Kingdom"
AFI,United States,Ukiah,39.1501662,-123.2077861,"Ukiah, Mendocino County, California, 95482, United States"
Jimmy Eat World,United States,Mesa,33.4151005,-111.831455,"Mesa, Maricopa County, Arizona, United States"
Black Sabbath,United Kingdom,Birmingham,52.4796992,-1.9026911,"Birmingham, West Midlands, England, United Kingdom"
Yes,United Kingdom,London,51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom"
Joe Satriani,United States,Westbury,40.7556561,-73.5876273,"Village of Westbury, Town of North Hempstead, Nassau County, New York, United States"
Iron Maiden,United Kingdom,London,51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom"
NOFX,United States,Los Angeles,34.0536909,-118.242766,"Los Angeles, Los Angeles County, California, United States"
Coheed and Cambria,United States,Nyack,41.091121,-73.9196794,"Village of Nyack, Town of Orangetown, Rockland County, New York, 10960, United States"
King Crimson,United Kingdom,London,51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom"
Radiohead,United Kingdom,Abingdon,51.6714842,-1.2779715,"Abingdon, Vale of White Horse, Oxfordshire, England, OX14 3UJ, United Kingdom"
Big Black,United States,Evanston,42.0470043,-87.6846053,"Evanston, Evanston Township, Cook County, Illinois, United States"
Filter,United States,Cleveland,41.4996574,-81.6936772,"Cleveland, Cuyahoga County, Ohio, United States"
Melvins,United States,Montesano,46.9812063,-123.602662,"Montesano, Grays Harbor County, Washington, United States"
Pink Floyd,United Kingdom,London,51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom"
The New Pornographers,Canada,Vancouver,49.2608724,-123.113952,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada"
Regurgitator,Australia,Brisbane,-27.4689682,153.0234991,"City of Brisbane, Queensland, Australia"
Sunny Day Real Estate,United States,Seattle,47.6038321,-122.330062,"Seattle, King County, Washington, United States"
...And You Will Know Us by the Trail of Dead,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States"
Children of Bodom,Suomi / Finland,Espoo,60.2049651,24.6559808,"Espoo, Helsingin seutukunta, Uusimaa, Manner-Suomi, Suomi / Finland"
Audioslave,United States,Glendale,34.1469416,-118.2478471,"Glendale, Los Angeles County, California, United States"
Led Zeppelin,United Kingdom,London,51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom"
Less Than Jake,United States,Gainesville,29.6519684,-82.3249846,"Gainesville, Alachua County, Florida, United States"
Alexisonfire,Canada,St Catharines,43.1579812,-79.2441003,"St. Catharines, Niagara Region, Golden Horseshoe, Ontario, Canada"
Rammstein,Deutschland,Berlin,52.510885,13.3989367,"Berlin, Pankow, Deutschland"
Thrice,United States,Irvine,33.6856969,-117.825981,"Irvine, Orange County, California, United States"
Lostprophets,United Kingdom,Pontypridd,51.6001047,-3.3449362,"Pontypridd, Rhondda Cynon Taf, Cymru / Wales, United Kingdom"
New Found Glory,United States,Coral Springs,26.271192,-80.2706044,"Coral Springs, Broward County, Florida, United States"
Placebo,United Kingdom,London,51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom"
Box Car Racer,United States,San Diego,32.7174202,-117.162772,"San Diego, San Diego County, California, United States"
Thursday,United States,New Brunswick,40.4951365,-74.4439254,"New Brunswick, Middlesex County, New Jersey, United States"
Million Dead,United Kingdom,London,51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom"
The Jesus Lizard,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States"
The Offspring,United States,Garden Grove,33.7746292,-117.9463717,"Garden Grove, Orange County, California, United States"
Taproot,United States,Ann Arbor,42.2813722,-83.7484616,"Ann Arbor, Washtenaw County, Michigan, United States"
Television,United States,New York City,40.7127281,-74.0060152,"City of New York, New York, United States"
Emery,United States,Rock Hill,34.9248667,-81.0250784,"Rock Hill, York County, South Carolina, United States"
Damien Rice,Éire / Ireland,Celbridge,53.3383004,-6.5396223,"Celbridge, The Municipal District of Celbridge — Leixlip, County Kildare, Leinster, Éire / Ireland"
Hatebreed,United States,Bridgeport,41.1792695,-73.1887863,"Bridgeport, Connecticut, United States"
Cradle of Filth,United Kingdom,Suffolk,52.241001350000005,1.0465716091328372,"Suffolk, England, United Kingdom"
KISS,United States,New York City,40.7127281,-74.0060152,"City of New York, New York, United States"
The Polyphonic Spree,United States,Dallas,32.7762719,-96.7968559,"Dallas, Dallas County, Texas, United States"
Cake,United States,Sacramento,38.5810606,-121.493895,"Sacramento, Sacramento County, California, United States"
Dinosaur Jr.,United States,Amherst,42.3731948,-72.5198761,"Amherst, Hampshire County, Massachusetts, United States"
U2,Éire / Ireland,Dublin,53.3493795,-6.2605593,"Dublin, County Dublin, Leinster, Éire / Ireland"
