artist,country,city,latitude,longitude,address
Holy Moses,Deutschland,Aachen,51.132302,6.4107342,"Wickrath Bahnhof, Ri. Aachen, Kohlenweg, Wickrath, Wickrath-Mitte, West, Mönchengladbach, Nordrhein-Westfalen, 41189, Deutschland"
Mnemic,Danmark,Aalborg,57.0462626,9.9215263,"Aalborg, Aalborg Kommune, Region Nordjylland, 9000, Danmark"
The Seven Mile Journey,Danmark,Aalborg,57.0462626,9.9215263,"Aalborg, Aalborg Kommune, Region Nordjylland, 9000, Danmark"
Mercenary,Danmark,Aalborg,57.0462626,9.9215263,"Aalborg, Aalborg Kommune, Region Nordjylland, 9000, Danmark"
Oh No Ono,Danmark,Aalborg,57.0462626,9.9215263,"Aalborg, Aalborg Kommune, Region Nordjylland, 9000, Danmark"
Hatesphere,Danmark,Aarhus,56.1496278,10.2134046,"Aarhus, Aarhus Kommune, Region Midtjylland, 8000, Danmark"
Illdisposed,Danmark,Aarhus,56.1496278,10.2134046,"Aarhus, Aarhus Kommune, Region Midtjylland, 8000, Danmark"
Hedley,Canada,Abbotsford,49.0521162,-122.329479,"Abbotsford, Fraser Valley Regional District, British Columbia, Canada"
Teen Daze,Canada,Abbotsford,49.0521162,-122.329479,"Abbotsford, Fraser Valley Regional District, British Columbia, Canada"
Korpse,United Kingdom,Aberdeen,57.1426487,-2.0976346,"Aberdeen, Guild Street, City Centre, Aberdeen City, Alba / Scotland, AB11 6LX, United Kingdom"
Nirvana,United States,Aberdeen,46.975371,-123.815722,"Aberdeen, Grays Harbor County, Washington, 98520, United States"
Pallas,United Kingdom,Aberdeen,57.1482429,-2.0928095,"Aberdeen City, Alba / Scotland, United Kingdom"
The Xcerts,United Kingdom,Aberdeen,57.1482429,-2.0928095,"Aberdeen City, Alba / Scotland, United Kingdom"
Annie Lennox,United Kingdom,Aberdeen,57.1482429,-2.0928095,"Aberdeen City, Alba / Scotland, United Kingdom"
Hellripper,United Kingdom,Aberdeen,57.1482429,-2.0928095,"Aberdeen City, Alba / Scotland, United Kingdom"
Jesu,United Kingdom,Abergele,53.2840692,-3.5810655,"Abergele, Conwy, Cymru / Wales, LL22 7BE, United Kingdom"
Warpath,United Kingdom,Abertawe,51.6195955,-3.9459248,"Swansea, Cymru / Wales, SA1 3BN, United Kingdom"
Novo Amor,United Kingdom,Aberystwyth,52.4143113,-4.0816846,"Aberystwyth, Ceredigion, Cymru / Wales, SY23 1LH, United Kingdom"
Close Your Eyes,United States,Abilene,32.44645,-99.7475905,"Abilene, Taylor County, Texas, United States"
Micah P. Hinson,United States,Abilene,32.44645,-99.7475905,"Abilene, Taylor County, Texas, United States"
Radiohead,United Kingdom,Abingdon,51.6714842,-1.2779715,"Abingdon, Vale of White Horse, Oxfordshire, England, OX14 3UJ, United Kingdom"
A Loss For Words,United States,Abington,42.1048228,-70.9453218,"Abington, Plymouth County, Massachusetts, 02351, United States"
Jon Anderson,United Kingdom,Accrington,53.7541156,-2.3655434,"Accrington, Hyndburn, Lancashire, England, BB5 1ES, United Kingdom"
Pretty Boy Floyd,United States,Adairsville,34.3683267,-84.9349057,"Adairsville, Bartow County, Georgia, 30103, United States"
Mournful Congregation,Australia,Adelaide,-34.9281805,138.5999312,"Adelaide, Adelaide City Council, South Australia, Australia"
I Killed the Prom Queen,Australia,Adelaide,-34.9281805,138.5999312,"Adelaide, Adelaide City Council, South Australia, Australia"
Cold Chisel,Australia,Adelaide,-34.9281805,138.5999312,"Adelaide, Adelaide City Council, South Australia, Australia"
Orianthi,Australia,Adelaide,-34.9281805,138.5999312,"Adelaide, Adelaide City Council, South Australia, Australia"
Virgin Black,Australia,Adelaide,-34.9281805,138.5999312,"Adelaide, Adelaide City Council, South Australia, Australia"
Unitopia,Australia,Adelaide,-34.9281805,138.5999312,"Adelaide, Adelaide City Council, South Australia, Australia"
Sia,Australia,Adelaide,-34.9281805,138.5999312,"Adelaide, Adelaide City Council, South Australia, Australia"
Linkin Park,United States,Agoura Hills,34.1481692,-118.7655456,"Agoura Hills, Los Angeles County, California, 91301, United States"
Foxygen,United States,Agoura Hills,34.1481692,-118.7655456,"Agoura Hills, Los Angeles County, California, 91301, United States"
Hoobastank,United States,Agoura Hills,34.1481692,-118.7655456,"Agoura Hills, Los Angeles County, California, 91301, United States"
Vangelis,Ελλάς,Agria,39.3376802,23.0156694,"Αγριά, Δήμος Βόλου, Περιφερειακή Ενότητα Μαγνησίας, Περιφέρεια Θεσσαλίας, Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδος, 373 00, Ελλάς"
Lost Eden,日本,Aichi,34.9991645,137.254574,"愛知県, 日本"
Flood of Red,United Kingdom,Airdrie,55.8657845,-3.9795866,"Airdrie, North Lanarkshire, Alba / Scotland, ML6 6BU, United Kingdom"
Melody's Echo Chamber,France,Aix-en-Provence,43.5298424,5.4474738,"Aix-en-Provence, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, France"
Sum 41,Canada,Ajax,43.8505287,-79.0208814,"Ajax, Durham Region, Golden Horseshoe, Ontario, Canada"
Joseph Arthur,United States,Akron,41.083064,-81.518485,"Akron, Summit County, Ohio, United States"
Blakroc,United States,Akron,41.083064,-81.518485,"Akron, Summit County, Ohio, United States"
The Black Keys,United States,Akron,41.083064,-81.518485,"Akron, Summit County, Ohio, United States"
Beyond Fear,United States,Akron,41.083064,-81.518485,"Akron, Summit County, Ohio, United States"
Dan Auerbach,United States,Akron,41.083064,-81.518485,"Akron, Summit County, Ohio, United States"
Devo,United States,Akron,41.083064,-81.518485,"Akron, Summit County, Ohio, United States"
If These Trees Could Talk,United States,Akron,41.083064,-81.518485,"Akron, Summit County, Ohio, United States"
Prince Daddy and The Hyena,United States,Albany,42.6511674,-73.754968,"City of Albany, Albany County, New York, United States"
One King Down,United States,Albany,42.6511674,-73.754968,"City of Albany, Albany County, New York, United States"
Drug Church,United States,Albany,42.6511674,-73.754968,"City of Albany, Albany County, New York, United States"
State Champs,United States,Albany,42.6511674,-73.754968,"City of Albany, Albany County, New York, United States"
Falling Up,United States,Albany,44.6365071,-123.1059324,"Albany, Linn County, Oregon, United States"
Limp Wrist,United States,Albany,42.6511674,-73.754968,"City of Albany, Albany County, New York, United States"
The Shins,United States,Albuquerque,35.0841034,-106.650985,"Albuquerque, Bernalillo County, New Mexico, United States"
Flake Music,United States,Albuquerque,35.0841034,-106.650985,"Albuquerque, Bernalillo County, New Mexico, United States"
A Hawk And A Hacksaw,United States,Albuquerque,35.0841034,-106.650985,"Albuquerque, Bernalillo County, New Mexico, United States"
Last House on the Left,United States,Albuquerque,35.0841034,-106.650985,"Albuquerque, Bernalillo County, New Mexico, United States"
Demi Lovato,United States,Albuquerque,35.0841034,-106.650985,"Albuquerque, Bernalillo County, New Mexico, United States"
PlayRadioPlay!,United States,Aledo,32.6979939,-97.60399378280016,"Aledo, Parker County, Texas, United States"
Scream,United States,Alexandria,38.8051095,-77.0470229,"Alexandria, Virginia, United States"
Pig Destroyer,United States,Alexandria,38.8051095,-77.0470229,"Alexandria, Virginia, United States"
Pentagram,United States,Alexandria,38.8051095,-77.0470229,"Alexandria, Virginia, United States"
ABACABB,United States,Alexandria,38.8051095,-77.0470229,"Alexandria, Virginia, United States"
Probot,United States,Alexandria,38.8051095,-77.0470229,"Alexandria, Virginia, United States"
Xasthur,United States,Alhambra,34.093042,-118.12706,"Alhambra, Los Angeles County, California, United States"
Tobacco,United States,Allegheny County,40.4597204,-79.9760405,"Allegheny County, Pennsylvania, United States"
Oktober Skyline,United States,Allentown,40.6022059,-75.4712794,"Allentown, Lehigh County, Pennsylvania, United States"
Pissed Jeans,United States,Allentown,40.6022059,-75.4712794,"Allentown, Lehigh County, Pennsylvania, United States"
Death,United States,Altamonte Springs,28.6619154,-81.3885899,"Altamonte Springs, Seminole County, Florida, United States"
By The End Of Tonight,United States,Alvin,29.4238472,-95.2441009,"Alvin, Brazoria County, Texas, 77511, United States"
The Envy Corps,United States,Ames,42.0267567,-93.6170448,"Ames, Story County, Iowa, United States"
Dinosaur Jr.,United States,Amherst,42.3731948,-72.5198761,"Amherst, Hampshire County, Massachusetts, United States"
