artist_id,master_id,main_release_id,release_country,artist,title,year,album_length,tracks,release_type,genres,styles,artist_profile
1441645,396963,3314361,Europe,Devin Townsend Project,Contain Us,2011,1177.03,219,['Album'],"['Electronic', 'Rock', 'Pop']","['Alternative Rock', 'Industrial', 'Prog Rock', 'Blues Rock', 'Symphonic Rock', 'Power Pop', 'Ethereal', 'Acoustic', 'Hard Rock', 'Classic Rock', 'Heavy Metal', 'Ambient']","Rock/metal project of [a251249]. It was founded in 2009, when Townsend returned from a two-year hiatus and announced plans for a four-album series called Devin Townsend Project. Each of the albums ([m=141607], [m=199024], [m=349141] and [m=349120]) represented a different style: progressive/blues rock, alternative rock, technical/progressive metal and new age/ambient, respectively. Each of the albums also featured a different line-up of musicians. After the four original albums, Townsend decided to continue working under the Devin Townsend Project name and released the fifth album [m=473033] in 2012. The varying line-up of the project stabilized and mostly consisted of members of Townsend's previous band [a441053]. Following the 2016 album [m=1054155] and subsequent tour, Townsend announced in January 2018 that he is retiring the moniker to focus on other projects."
34278,3370798,5882431,US,Led Zeppelin,Led Zeppelin,2006,367.78,101,"['12""', '45 RPM', 'Single Sided', 'Album', 'Reissue', 'Stereo']",['Rock'],"['Hard Rock', 'Arena Rock', 'Blues Rock']","The English rock band Led Zeppelin was active from 1968 to 1980. During that time, the band members recorded eight studio albums.

Led Zeppelin formed out of the ashes of [url=http://www.discogs.com/artist/262455-Yardbirds-The]The Yardbirds[/url]. [a180585] had joined the band in its final days, playing a pivotal role on the group's final album, 1967's [m=86344], which also featured string arrangements from [a60149]. During 1967, the Yardbirds were fairly inactive. Whilst the band members decided the group's future, Page returned to session work in 1967. In the spring of 1968, he played on Jones' arrangement of [a=Donovan]'s ""Hurdy Gurdy Man."" During the sessions, Jones requested to be part of any future project Page would develop. Page would have to assemble a band sooner than he had planned. In the summer of 1968, the Yardbirds' [a=Keith Relf] and [a=Jim McCarty] left, leaving Page and bassist [a=Chris Dreja] with the rights to the name, as well as the obligation of fulfilling an upcoming fall tour. Page set out to find a replacement vocalist and drummer. Initially, he wanted to enlist singer Terry Reid and Procol Harum's drummer B.J. Wilson, but neither musician was able to join the group. Reid suggested that Page contact Robert Plant, who was singing with a band called Hobbstweedle.

Inducted into Rock And Roll Hall of Fame in 1995 (Performer)."
255680,267825,1911585,Europe,Eagles,Eagles,2005,325.5,84,['Album'],['Rock'],"['Country Rock', 'Classic Rock']","American rock band founded in 1971 by [a=Glenn Frey] (guitar), [a=Bernie Leadon] (banjo, mandolin, electric guitar, acoustic guitar), [a=Randy Meisner] (bass) and [a=Don Henley] (drums).

[a=Don Henley]: drums, percussion, vocals
[a=Timothy B. Schmit]: bass, vocals
[a=Joe Walsh]: guitars, organ, vocals

Former members: [a=Bernie Leadon], [a=Randy Meisner], [a=Don Felder], [a=Glenn Frey]

Inducted into the Rock And Roll Hall of Fame in 1998 (Performer)."
260935,52094,921280,Europe,Dream Theater,Systematic Chaos,2007,248.18,19,['Album'],['Rock'],"['Prog Rock', 'Progressive Metal']","American progressive metal band, formed in Boston, Massachusetts, USA in 1985."
9902,65199,479669,US,Tori Amos,To Venus and Back,1999,246.33,26,['Album'],"['Rock', 'Pop']",['Alternative Rock'],"American singer, songwriter and pianist, born August 22, 1963 in Newton, North Carolina.
Married to engineer [a=Mark Hawley] (since 1998), with whom she has a daughter, [a=Natashya Hawley] (born 2000)."
1173000,611495,1399896,US,Munly and The Lee Lewis Harlots,Munly and the Lee Lewis Harlots,2004,222.18,51,"['Album', 'Stereo']","['Rock', 'Folk, World, & Country']","['Acoustic', 'Southern Rock', 'Goth Rock', 'Folk', 'Shoegaze']",
144998,551626,4530474,US,Black Sabbath,The Rules Of Hell,2008,220.47,46,"['Album', 'Reissue', 'Remastered']",['Rock'],['Heavy Metal'],"Considered by many to be the first heavy metal band, Black Sabbath was formed in 1968 by [a=Tony Iommi], [a=Ozzy Osbourne], [a=Geezer Butler] and [a=Bill Ward] in Birmingham, UK.
The band's original name was the [b]Polka Tulk Blues Band[/b] (later shortened to Polka Tulk) and later on changed to [b][a=Earth (12)][/b] before becoming [b]Black Sabbath[/b] inspired by an Italian horror movie of the same name.

The original line-up lasted until 1979, after which Osbourne was fired and replaced by [a=Ronnie James Dio]. The line-up changes would continue, with no line-up remaining intact for consecutive studio releases. Throughout the changes, only Tony Iommi and keyboardist [a=Geoff Nicholls], who also joined the band in 1979, would remain with Black Sabbath, although Nicholls would not always be credited as a full member. In 1997, Iommi, Butler, Ward, and Osbourne reunited, touring and releasing a live album in 1998, although a long-rumored studio release did not appear (the group attempted to record a new album in 2001 with producer [a=Rick Rubin] but the sessions were scrapped). After that, the group periodically reunited to tour with Ozzy's ""Ozzfest"" tour. In 2004, longtime keyboardist Geoff Nicholls was replaced by [a=Adam Wakeman] for an Ozzfest tour. No reason was given for the replacement. In 2006, the original line-up was inducted into the Rock 'n' Roll Hall Of Fame.

In 2007, Tony Iommi, Geezer Butler, Ronnie James Dio, and drummer [a=Vinny Appice] (who were featured on 1981's ""Mob Rules"" and 1992's ""Dehumanizer"") announced that they would tour together as [a=Heaven & Hell (2)] (with Iommi, who owns the Black Sabbath name, deciding to keep the Black Sabbath name solely for the original line-up in light of their Rock 'n' Roll HOF induction) to support a Dio-era greatest hits release, which also featured 3 new Dio/Iommi compositions. A brand new live album was released under the Heaven & Hell name that same year, followed by a studio album in 2009.

In 2009, Osbourne sued Iommi over control of the Black Sabbath name.  The lawsuit was settled the following year.  In late 2011, it was announced that the original line-up would be recording and touring.  Shortly, afterward, Bill Ward dropped out, stating he had been given a contract that was ""unsignable"".  The three remaining members opted to continue without him.  In 2013, the band released ""13"", their first studio album with Osbourne in 34 years.  The band played their final live show in Birmingham, UK, on February 4, 2017.  Although the band has announced that full-scale touring is done, Tony Iommi has stated that the door is still open for future music and possible live appearances. During the years 1968 to 2017, Black Sabbath has recorded 19 studio albums.

Line-Ups:
Guitar:
[a=Tony Iommi] - 1968-2017

Vocals:
[a=Ozzy Osbourne] - 1968-1977, 1978-1979, 1997-2017
[a=Dave Walker (6)] - 1977-1978 (rehearsals and a TV appearance only)
[a=Ronnie James Dio] - 1979-1982, 1991-1992
[a=Ian Gillan] - 1983-1984
[a=Glenn Hughes] - 1985-1986
[a=Ray Gillen] - 1986-1987 (live only)
[a=Tony Martin] - 1987-1991, 1993-1996
[a=Rob Halford] - (live only) - replaced [a=Ronnie James Dio] in 1992 (November 14 and 15)  and filling in for a sick [a=Ozzy Osbourne] in 2004 (August 26), hit by a bronchitis crisis during [l3432481]

Bass:
[a=Geezer Butler] - 1968-1984, 1991-1994, 1997-2017
[a=Craig Gruber] - 1979 (rehearsals only while Butler contemplated leaving the band, the extent of his participation has been disputed)
[a=Gordon Copley] -1985 (rehearsals and one studio track only)
[a=Dave Spitz] ""The Beast""  - 1985-1986, 1987 (live appearances only in 1987)
[a=Bob Daisley] - 1987 (studio only)
[a=Jo Burt] - 1987 (live only)
[a=Laurence Cottle] - 1988 (studio only)
[a=Neil Murray] - 1989-1992, 1995-1996

Drums:
[a=Bill Ward] - 1968-1980, 1983 (studio only in 1983), 1994 (live appearances), 1997-2011
[a=Vinny Appice] - 1981-1982, 1991-1992, 1998 (live only in 1998, filling in for a sick Bill Ward)
[a=Bev Bevan] - 1983-1984, 1987 (live only)
[a=Eric Singer] - 1985-1987
[a=Terry Chimes] - 1987-1988 (live only)
[a=Cozy Powell] - 1988-1991, 1994-1995
[a=Bobby Rondinelli] - 1993-1994, 1995 (live appearances only in 1995)
[a=Mike Bordin] - 1997 (live only, not a full member)
[a=Brad Wilk] - 2013 (studio only, not a full member)
[a=Tommy Clufetos] - 2012-2017 (live only, not a full member)

Keyboards:
[a=Rick Wakeman] - 1973 (studio only, not a full member)
[a=Jezz Woodroffe] - ?-1977 (not a full member)
[a=Don Airey] - 1978 (not a full member)
[a=Geoff Nicholls] - 1979-2004
[a=Adam Wakeman] - 2004-2017 (live only, not a full member)"
135478,266477,511367,Europe,Ramones,Weird Tales Of The Ramones,2005,218.97,103,[],['Rock'],['Punk'],"USA punk rock band formed in 1974 and disbanded in 1996.

Hailing from Forest Hills - a neighborhood of Queens, New York City (USA) - the original line-up consisted of singer [a=Joey Ramone] (Jeffrey Hyman, born May 19th, 1951, died April 15th, 2001), guitarist [a=Johnny Ramone] (John Cummings, born October 8th, 1948, died September 15th, 2004), bassist [a=Dee Dee Ramone] (Douglas Colvin, born September 18th, 1952, died June 5th, 2002) and drummer [a=Tommy Ramone] (Tom Erdelyi, born January 29, 1952, died July 11th, 2014).

After Tommy left the band in early 1978 he was replaced by [a=Marky Ramone] (Marc Bell). He was fired in 1983 and was then replaced by [a=Richie Ramone] (Richard Beau). In 1987, he then left the band and was briefly replaced by Elvis Ramone ([a=Clem Burke]) for two performances (August 28 & 29, 1987) before Marky returned in September, 1987. In 1989, Dee Dee left and was replaced by [a=C.J. Ramone] (Christopher John Ward).

In 2001, Joey Ramone passed away, a victim of Lymphoma. The following year, Dee Dee died in Los Angeles on June 5th, 2002. Johnny Ramone died in his sleep in Los Angeles on September 15th, 2004. Tommy died 10 years later, on July 11th, 2014, making him the last original member of the Ramones to die.

Inducted into Rock And Roll Hall of Fame in 2002 (Performer)."
480129,599958,4933187,US,Comeback Kid,Through the Noise,2008,210.05,40,['Album'],['Rock'],['Hardcore'],"Comeback Kid, formed in 2001, is a Canadian hardcore/punk band from Winnipeg, Manitoba.
Their name is based on hockey player Mario Lemieux' comeback."
260844,227329,2148730,US,Dark Tranquillity,Where Death Is Most Alive,2009,206.37,23,['Album'],['Rock'],['Melodic Death Metal'],"Swedish metal band from Gothenburg, founded in December 1989 under the name Septic Broiler. They changed name to Dark Tranquillity in 1991.

The band is often considered to be one of the progenitors of the so-called Gothenburg metal or melodic death metal style together with At The Gates and In Flames.

Current line-up: 
Mikael Stanne - Guitar (1991–1993), vocals (1993– ) 
Martin Brändström - Keyboards, electronics (1999– ) 
Johan Reinholdz - Guitar (2020– )
Christian Jansson - Bass (2022– )
Joakim Strandberg Nilsson - Drums (2022– )"
