artist_id,master_id,main_release_id,release_country,artist,title,year,album_length,tracks,release_type,genres,styles,artist_profile
9613234,0,19370755,US,Sylvia Platypus,Last Hurrah,2014,31.12,11,['Album'],"['Rock', 'Blues', 'Folk, World, & Country']","['Psychedelic Rock', 'Glam', 'Blues Rock', 'Folk Rock']","Sylvia Platypus is Philadelphia's (and possibly the world's) only psycho-celtic glam-blues band. Their distinctive vocals,  unusual poetic sensibilities, soul-searing guitar, magical violin, wailing bagpipes and solid rhythmic foundations of bass & drums makes for an original sonic signature that rattles your imagination."
8102295,0,23265050,US,Adam Foster (5),Adam Foster and the Phantoms,2014,31.08,12,"['Album', 'Stereo']","['Rock', 'Pop']","['Indie Rock', 'Blues Rock', 'Country Rock', 'Art Rock', 'Rock & Roll']",Nashville based singer/songwriter.
1523478,781094,6500503,US,The Yolks,Kings Of Awesome,2014,0.0,9,"['LP', 'Album']",['Rock'],"['Punk', 'Rock & Roll', 'Garage Rock']",
1541418,1618261,12938909,US,Jono Manson,Angels On The Other Side,2014,41.9,12,"['MP3', 'Album']","['Rock', 'Blues', 'Pop', 'Folk, World, & Country']","['Pop Rock', 'Blues Rock', 'Country Rock', 'Country Blues', 'Folk Rock', 'Country', 'Folk']","Singer, songwriter, producer and engineer based in Santa Fe, New Mexico.  Founder of, and chief engineer at [l1664814]"
3559202,659264,5447357,US,Jesus Sons,Jesus Sons,2014,29.42,9,"['LP', 'Album', 'Limited Edition']",['Rock'],"['Blues Rock', 'Country Rock', 'Garage Rock', 'Psychedelic Rock', 'Southern Rock']",
1989193,723499,4283640,US,Black Eyed Vermillion,Hymns For Heretics,2009,0.0,14,[],"['Rock', 'Blues']","['Punk', 'Folk Rock', 'Rock & Roll', 'Blues Rock']","Austin, Texas-based roots / punk project fronted by [a=Gary Lindsey]. "
7606850,0,14671632,US,Hardin Burns,Down The Deep Well,2014,0.0,10,['Album'],"['Rock', 'Blues', 'Folk, World, & Country']","['Folk Rock', 'Country Blues', 'Folk']","Jeannie Burns and Andrew Hardin are combining their
 skills to create a duo known simply as
""Hardin Burns"" 
Jeannie Burns, one-third of the Ithaca, NY based trio ""The Burns Sisters,"" has been traveling
all over the country playing music with her sisters. They sang back-up vocals on two recent
Arlo Guthrie tours, playing at the Philadelphia Folk Festival, Woody Guthrie Folk Festival,
Winnipeg Folk Festival, New Orleans Jazz and Heritage Festival, and more. Jeannie has lent
her soulful vocals to eight Burns Sisters albums and also released a solo record
""Coming Up Close"" in 2001.
Guitarist Andrew Hardin has toured and recorded with artists such as John Fullbright, Jimmy
Lafave, Dave Alvin, Eliza Gilkyson, Katy Moffatt, Ian Tyson, and Ray Wylie Hubbard.
Andrew is internationally recognized for his unique acoustic guitar style, but he also wields a
mean Telecaster. He has recorded five albums of instrumental guitar music including the new
compilation ""Lost Pines."""
5563283,1770501,15608672,US,Roger Street Friedman,The Waiting Sky,2014,66.1,14,"['AAC', 'Album']","['Rock', 'Blues', 'Folk, World, & Country']","['Country Rock', 'Folk', 'Folk Rock', 'Rhythm & Blues']","Sea Cliff, New York based Roots Rock, Folk, Blues, R&B, Rock and Roll, and Country singer/songwriter.
"
3095919,754864,6273450,US,Shakey Graves,And The War Came,2014,42.22,11,"['LP', 'Album', 'Limited Edition']","['Rock', 'Blues', 'Folk, World, & Country']",['Indie Rock'],"Americana singer and actor, born June 4, 1987 in Austin, Texas, USA. Married to [a5761867] in April 2023.
"
7478787,0,14383192,US,Frankie Bourne,Californicana,2014,58.87,13,"['WAV', 'Album', 'Stereo']",['Rock'],"['Alternative Rock', 'Classic Rock', 'Country Rock', 'Blues Rock', 'Folk Rock', 'Indie Rock', 'Rock & Roll', 'Southern Rock']","“California native Frankie Bourne combines the style of new Americana with all the things you loved about 90s adult alternative bands.” 
— Ryan Clark, TourWorthy.com 

Prolific singer-songwriter and indie darling Frankie Bourne is a recording artist and performing artist from the San Francisco Bay Area known for his rootsy, emotionally-evocative songwriting and melodic harmonica playing. Rooted in classic rock and themes of California soul, his infectious songs blend the tones of alt country with the spirit of indie rock to produce a sound that is as authentic as it is familiar.
"
