artist,artist_bandcamp,location_bandcamp,origin
10 Years,10 Years,"Knoxville, Tennessee","Knoxville, Tennessee, U.S."
1905,1905,"Tourcoing, France","Washington, D.C."
23 Skidoo,23 Skidoo,Saint Paul,"London, England"
5ive,5ive,"Hereford, Texas","London, England"
65daysofstatic,65daysofstatic,"Sheffield, UK","Sheffield, England"
88 Fingers Louie,88 Fingers Louie,"Chicago, Illinois","Chicago, Illinois, United States"
A Certain Ratio,A Certain Ratio,"Manchester, UK","Flixton, Greater Manchester, England[1]"
A City Safe From Sea,A City Safe From Sea,"Boston, Massachusetts","Boston, MA, United States"
A Day To Remember,A Day To Remember,"Ocala, Florida","Ocala, Florida, U.S."
A Dozen Furies,A Dozen Furies,"Dallas, Texas","Dallas, Texas, U.S."
A Global Threat,A Global Threat,"Bangor, Maine","Bangor, Maine, U.S."
A Great Big Pile of Leaves,A Great Big Pile of Leaves,"Brooklyn, New York","Brooklyn, New York, U.S."
A Hope For Home,A Hope For Home,"Portland, Oregon","Portland, OR, United States"
A Life Once Lost,A Life Once Lost,"Philadelphia, Pennsylvania","Philadelphia, Pennsylvania, U.S."
A Loathing Requiem,A Loathing Requiem,"Nashville, Tennessee","Nashville, Tennessee, USA"
A Loss For Words,A Loss For Words,"Boston, Massachusetts","Abington, Massachusetts, U.S."
A Lot Like Birds,A Lot Like Birds,"Sacramento, California","Sacramento, California, U.S."
A Minor Forest,A Minor Forest,"Oakland, California","San Francisco, California, U.S."
A Pale Horse Named Death,A Pale Horse Named Death,"Brooklyn, New York","Brooklyn, New York, U.S."
A Silent Film,A Silent Film,"Oxford, UK","Oxford, England"
A Sunny Day in Glasgow,A Sunny Day in Glasgow,"Philadelphia, Pennsylvania","Philadelphia, Pennsylvania, United States"
A Voice Like Rhetoric,A Voice Like Rhetoric,"Pittsburgh, Pennsylvania","Pittsburgh, PA, United States"
A Wilhelm Scream,A Wilhelm Scream,"New Bedford, Massachusetts","New Bedford, Massachusetts, U.S."
Abe Vigoda,Abe Vigoda,"Los Angeles, California","Chino, California, United States"
Abigail Williams,Abigail Williams,"Chicago, Illinois","Phoenix, Arizona, U.S."
Abysmal Dawn,Abysmal Dawn,"Los Angeles, California","Los Angeles, California, U.S."
Accidental Suicide,Accidental Suicide,"Milwaukee, Wisconsin","Milwaukee, WI, United States"
Ace Frehley,Ace Frehley,"San Diego, California","New York City, U.S."
Achilles,Achilles,"Mundelein, Illinois","Rochester, New York, United States"
Acid Bath,Acid Bath,"Winnipeg, Manitoba","Houma, Louisiana, U.S."
Acid King,Acid King,"San Francisco, California","San Francisco, California, U.S."
Acumen Nation,Acumen Nation,"Chicago, Illinois","Chicago, Illinois, U.S."
Adam Green,Adam Green,"Chicago, Illinois","Mount Kisco, New York U.S."
Adam Lambert,Adam Lambert,"Belton, Texas","San Diego, California, U.S."
Addaura,Addaura,"Seattle, Washington","Seattle, Washington"
Adema,Adema,"Bakersfield, California","Bakersfield, California, U.S."
Adeste,Adeste,"Orlando, Florida","Orlando, FL"
Adolescents,Adolescents,"Fullerton, California","Fullerton, California, United States"
Adorable,Adorable,UK,"Coventry, England"
Adrian Belew,Adrian Belew,"Nashville, Tennessee","Covington, Kentucky, U.S."
Aereogramme,Aereogramme,"Glasgow, UK","Glasgow, Scotland"
Aerial M,Aerial M,"Los Angeles, California","Louisville, Kentucky[1]"
Aftermath,Aftermath,"Methuen, Massachusetts","Chicago, IL, United States"
Aftershock,Aftershock,"London, UK","Westhampton, MA"
Age Sixteen,Age Sixteen,"Baltimore, Maryland","Baltimore, MD, United States"
Agoraphobic Nosebleed,Agoraphobic Nosebleed,"Bethesda, Maryland","Springfield, Massachusetts, United States"
Airiel,Airiel,"Chicago, Illinois","Chicago, Illinois, U.S."
